ProbeName	ZT22a	ZT00a	ZT02a	ZT04a	ZT06a	ZT08a	ZT10a	ZT12a	ZT14a	ZT16a	ZT18a	ZT20a
GS1_SS_00003_16888	0.482	-0.474	0.295	-0.581	-0.923	-0.278	0.156	-0.0644	0.096	0.807	0.8443	1.0323
GS1_SS_00007_14861	1.06	0.137	1	0.317	0.0206	-0.368	0.494	-0.314	0.331	-0.000176	0.3634	1.4275
GS1_SS_00009_12762	0.195	-0.109	-0.556	-0.411	-0.786	0.102	0.11	0.401	0.562	0.387	0.9902	1.2815
GS1_SS_00016_00323	0.0752	0.284	0.0205	-1.58	-0.819	-0.664	-0.0518	0.448	0.621	0.414	1.1918	1.5585
GS1_SS_00019_02015	0.922	1.35	0.325	-0.574	-0.787	-1.21	-0.0162	-0.463	-0.869	0.274	1.9635	1.2047
GS1_SS_00020_18986	-0.122	-0.321	-0.416	-0.149	-0.239	0.122	0.319	0.284	0.169	0.188	0.9152	0.9619
GS1_SS_00027_18006	0.0479	0.00642	-0.648	-0.645	-0.434	0.0283	0.0294	-0.116	-0.128	-0.0243	1.2383	1.0961
GS1_SS_00031_10674	0.417	0.182	0.461	0.36	0.103	-0.36	-0.176	-0.00197	0.159	0.331	1.1704	1.2311
GS1_SS_00032_11430	-0.26	-0.0197	-1.25	0.137	-0.00685	0.415	-0.0655	0.315	-0.326	-0.193	-1.52	0.9222
GS1_SS_00033_11874	-0.803	-0.692	-1.24	-0.864	0.344	0.591	0.946	0.591	0.219	-0.837	-1.35	0.8801
GS1_SS_00034_11858	0.532	0.713	1.01	0.633	0.524	0.497	-0.285	-0.155	0.315	0.103	0.8046	0.9754
GS1_SS_00037_14514	0.0292	0.139	0.144	0.546	-0.112	-0.87	-0.96	-0.636	-0.559	-0.527	1.0727	0.7541
GS1_SS_00038_20270	-0.0165	-0.225	-0.315	0.0193	0.12	0.712	0.452	0.0995	0.341	0.198	1.0017	1.0273
GS1_SS_00039_13324	-0.848	-0.932	0.296	0.00276	0.0751	0.724	0.935	0.832	1.06	0.381	-0.817	1.0083
GS1_SS_00040_10111	0.0139	0.027	0.371	0.275	0.274	-0.00922	0.583	0.4	0.816	0.65	0.8414	1.2508
GS1_SS_00041_12635	0.303	0.78	0.467	0.158	0.0961	-0.646	-1.11	-1.16	-0.954	-0.713	1.7827	0.7965
GS1_SS_00042_09899	1.15	1.14	0.652	-1.3	-0.438	-1.36	-1.04	-1.77	-1.5	-0.273	1.3372	-0.275
GS1_SS_00045_14409	-1.35	-1.14	-1.52	0.107	0.718	0.913	1.11	0.394	0.12	-0.338	0.3716	0.6285
GS1_SS_00048_16360	-0.0962	-0.724	-0.222	-0.0289	-0.0179	0.043	-0.0923	-0.0431	-0.163	0.15	0.7668	0.9724
GS1_SS_00050_15319	-0.107	-0.194	-0.461	-0.407	-0.233	-0.143	0.28	0.238	0.242	0.384	1.0995	1.0648
GS1_SS_00054_14737	-0.113	0.391	-0.111	-0.405	0.036	-0.0466	-0.598	-0.202	-0.376	-0.0971	1.6089	1.0366
GS1_SS_00061_18971	-0.163	0.291	1.25	0.569	0.439	-0.0155	-0.98	-0.919	-0.892	-0.75	1.3309	0.8627
GS1_SS_00064_19601	-0.104	-0.187	0.244	0.0388	-0.0247	-0.197	0.0116	0.421	0.579	0.243	0.961	0.8146
GS1_SS_00069_01155	0.282	-0.47	-0.191	0.621	0.727	0.532	0.188	0.0477	-0.366	0.147	-1.02	1.1051
GS1_SS_00070_12058	-0.757	-0.263	-0.375	0.455	0.535	0.551	0.415	0.223	0.392	0.308	1.2452	0.9851
GS1_SS_00075_12059	0.172	0.592	1.87	0.89	-2.68	-3.69	-3.8	-4.28	-3.75	-1.48	2.2406	0.1469
GS1_SS_00079_10928	0.671	-0.705	0.498	0.319	0.311	0.622	0.24	0.807	0.461	0.492	1.2679	1.3407
GS1_SS_00082_06509	-0.101	-0.0381	-0.409	0.027	0.204	0.223	0.514	0.492	0.385	0.536	1.1165	1.4784
GS1_SS_00083_12679	0.26	-0.0711	-0.424	-1.61	-1.16	-1.12	-0.351	0.131	0.579	0.723	0.6962	1.5909
GS1_SS_00084_18450	0.0136	0.136	0.039	-0.396	-0.18	-0.4	-0.474	-0.13	-0.0336	0.0452	1.0998	1.1497
GS1_SS_00089_09220	-0.269	-0.393	-0.809	-0.861	-0.217	0.00828	0.0882	0.223	0.00858	0.145	0.8669	1.0695
GS1_SS_00091_09993	-0.23	-0.075	-0.966	-1.36	-1.72	-0.0877	0.21	0.123	0.179	-0.133	1.8134	0.9347
GS1_SS_00094_20065	0.278	0.485	0.619	-0.247	-0.198	-0.505	-0.372	-0.262	-0.202	0.137	1.0935	1.3581
GS1_SS_00096_09570	-2.2	-2.55	-1.43	0.572	1.27	1.35	1.48	0.22	-0.176	-0.772	-2.58	0.3997
GS1_SS_00099_21780	-0.197	-0.688	-0.129	-0.484	-0.564	-0.144	0.199	0.759	0.734	0.431	0.534	0.9212
GS1_SS_00101_20807	-0.00222	-0.098	-0.239	-0.342	-0.316	-0.357	-0.347	-0.132	-0.0269	-0.132	1.2353	0.9252
GS1_SS_00102_14702	-1.76	-2.01	-0.888	0.493	1.04	0.892	0.937	0.296	-0.665	-0.528	0.258	0.5555
GS1_SS_00114_09277	0.0344	-0.022	-0.18	-0.2	-0.746	-0.657	-0.749	0.329	0.434	0.804	1.4663	1.2776
GS1_SS_00121_19999	0.135	0.156	0.0503	-0.0777	-0.193	-0.123	-0.353	-0.288	-0.137	-0.0208	1.0451	1.052
GS1_SS_00125_11304	-0.775	-1.13	-2.46	-0.63	0.465	0.784	0.856	0.527	0.316	0.239	-1.86	0.8912
