nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_00003_16888	NA	cornflowerblue
GS1_SS_00009_12762	NA	antiquewhite2
GS1_SS_00011_16789	NA	cornflowerblue
GS1_SS_00016_00323	NA	lightskyblue4
GS1_SS_00019_02015	NA	darkviolet
GS1_SS_00020_18986	NA	lavender
GS1_SS_00022_20026	NA	blue1
GS1_SS_00027_18006	NA	lightskyblue4
GS1_SS_00031_10674	NA	lightskyblue4
GS1_SS_00033_11874	NA	lavender
GS1_SS_00034_11858	NA	lavender
GS1_SS_00037_14514	NA	lightskyblue3
GS1_SS_00038_20270	NA	cornflowerblue
GS1_SS_00039_13324	NA	lavender
GS1_SS_00040_10111	NA	cornflowerblue
GS1_SS_00041_12635	NA	darkviolet
GS1_SS_00042_09899	NA	darkviolet
GS1_SS_00045_14409	NA	cornflowerblue
GS1_SS_00048_16360	NA	lavender
GS1_SS_00050_15319	NA	coral4
GS1_SS_00054_14737	NA	blue1
GS1_SS_00061_18971	NA	coral4
GS1_SS_00064_19601	NA	lightskyblue4
GS1_SS_00069_01155	NA	coral4
GS1_SS_00072_09999	NA	coral4
GS1_SS_00075_12059	NA	coral4
GS1_SS_00079_10928	NA	darkviolet
GS1_SS_00082_06509	NA	coral4
GS1_SS_00083_12679	NA	lightskyblue4
GS1_SS_00084_18450	NA	cornflowerblue
GS1_SS_00089_09220	NA	coral4
GS1_SS_00090_17329	NA	darkviolet
GS1_SS_00094_20065	NA	cornflowerblue
GS1_SS_00096_09570	NA	cornflowerblue
GS1_SS_00101_20807	NA	lightskyblue4
GS1_SS_00102_14702	NA	blue1
GS1_SS_00114_09277	NA	lightskyblue4
GS1_SS_00121_19999	NA	cornflowerblue
GS1_SS_00125_11304	NA	darkviolet
GS1_SS_00133_18900	NA	antiquewhite4
GS1_SS_00136_07237	NA	darkviolet
GS1_SS_00137_14312	NA	darkviolet
GS1_SS_00138_18549	NA	darkviolet
GS1_SS_00141_15755	NA	lightskyblue4
GS1_SS_00150_11144	NA	coral4
GS1_SS_00154_16809	NA	darkviolet
GS1_SS_00155_19594	NA	lavender
GS1_SS_00158_13733	NA	darkviolet
GS1_SS_00161_20790	NA	antiquewhite2
GS1_SS_00166_14818	NA	cornflowerblue
GS1_SS_00173_02848	NA	coral4
GS1_SS_00174_21558	NA	blue1
GS1_SS_00176_04703	NA	lavender
GS1_SS_00179_05530	NA	darkviolet
GS1_SS_00180_12338	NA	darkviolet
GS1_SS_00184_14092	NA	cornflowerblue
GS1_SS_00188_11083	NA	lavender
GS1_SS_00190_10768	NA	darkviolet
