V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00009_12762 0.0249321821869452 -0.49989528819953 -1.27159883840596 -1.02126994628083 -1.66867225350099 -0.135623590003654 -0.121812340782957 0.380571849619886 0.658523240186407 0.356402163483666 1.3977703547242 1.90067246697282
GS1_SS_00241_19560 0.039333869791202 -0.271881490833764 -1.21314399213932 -1.49452837666087 -1.07774098003872 -0.15128818318167 -0.212642673039753 -0.0998773520247242 0.509013068015148 0.339759302889402 1.76297190039052 1.87002490683255
GS1_SS_00325_21070 0.129118022918215 -0.143756440685772 -0.839017193498635 -1.49736144616214 -1.12973463217481 -0.722114943025675 -0.405248316743707 0.315700167423083 0.44844574921014 0.242020985874994 1.47826228462654 2.12368576223777
GS1_SS_00352_18730 -0.0910011919158233 -0.436239176810484 -0.937920668146921 -0.907452812417057 -0.291384078253284 -0.453138938308824 -0.363811627531884 -0.153771734623943 -0.547294752371004 -0.115143708342023 1.91789759990828 2.37926108881297
GS1_SS_00636_12830 0.190854244627365 -0.00760536839000816 -1.54262972213663 -1.34822030530328 -0.617834926783563 -0.480128256526611 -0.627285384546295 0.448716735010482 0.0112955471354559 0.404164576986174 1.90233214545814 1.66634071446877
GS1_SS_00637_10747 -0.0601697643214034 -0.204655298981777 -1.28634430170944 -1.13209623092337 -1.24924666443178 -0.511589434773814 -0.00354705479233805 0.0452656258361666 0.426004534738503 0.277613985627849 2.06708685746883 1.63167774626257
GS1_SS_00846_08805 -0.210557849044792 0.0230096612072538 -1.48970351433751 -1.43404945732126 -1.06242397982569 -0.21163502434188 -0.0800401088808892 0.44203085177472 0.492299032305522 0.0533500987419161 1.66264999259229 1.81507029713033
GS1_SS_00916_19267 -0.441305258422209 -0.464950503676338 -0.798229575051584 -0.919758209877278 -0.236027542640547 -0.0426384976570511 -0.468992651747715 -0.66877515969378 -0.0479223513451247 -0.214363742519445 1.95756431596323 2.34539917666784
GS1_SS_01046_15449 -0.0575844828456608 0.00799005006912094 -1.01639049114017 -1.63137327280042 -1.00398449842657 -0.596359023550895 0.399664962884439 0.282694174441856 -0.105258940559381 0.0700200136371578 1.92418423891945 1.72639726937108
GS1_SS_01171_02095 -1.62454178568878 -1.68159963084933 0.401995473461553 -0.290175213692902 0.659739532635042 -0.605370620407352 -0.319097638653591 -0.467644787261213 0.142283902385976 1.17522765098202 0.880494368049283 1.72868874903929
GS1_SS_01294_05868 0.329185619263946 0.32771822423008 -0.678914769002017 -1.39060136042704 -1.50652556810246 -0.872610913472333 -0.367827021822418 0.0923480607979689 0.317446458993018 0.274892003010903 1.75842838224946 1.71646088428089
GS1_SS_01573_08120 0.0294768531799448 0.0878000386161992 -0.534839373473544 -1.93459582394365 -0.593162558909799 -0.506465931909961 -0.0518603459689938 0.122478689416134 -0.396124770273804 0.0357820624162966 2.16993775869048 1.57157340216069
GS1_SS_01811_20552 0.00702765770890531 -0.378489565179616 -1.33864566746801 -1.03177759500368 -0.881753204021116 -0.356667835582152 -0.443272824922085 0.316168827006304 -0.378034945813002 0.702595288628053 1.83027862751364 1.95257123713276
GS1_SS_01888_14274 -0.527188014779466 0.484678472279073 -1.728605248725 -0.814301646093597 -0.422656352893254 -0.566213168550319 -0.644263476092025 0.796879702445895 0.169550355579437 -0.265161982318026 1.72721149323319 1.7900698659141
GS1_SS_02493_13834 -0.584937070563383 0.197150020773695 -0.51523045607554 -0.681575786103346 -0.504668847819807 -0.130259835154048 -0.0959346083229141 -0.398788725056077 -0.40222124773919 -1.12833181532088 2.07236356657921 2.17243480480228
GS1_SS_02840_06031 -0.184688859649473 -0.321551314411716 -0.214464279196984 -1.18399372972646 -0.416101330869602 -1.15265118283435 -0.299959782108258 0.592083927493487 -0.847931976938766 0.10453319806056 2.10505831608017 1.81966701410139
GS1_SS_03090_15723 0.358048915239324 -1.5460877882184 -0.184152973958768 -0.313999333039871 0.256411988802038 -0.0578742784179115 -0.811812850283719 -0.378300245683868 -1.44445086178111 0.679553478459309 1.67974380352174 1.76292014536123
GS1_SS_03177_04780 -0.501043289696189 0.0644900140038077 -1.36439844674514 -0.418275357284885 -1.06329441676608 -0.629476288265454 -0.766471486739337 0.425101333319955 0.646291497522578 -0.106183170761571 1.64435859973751 2.0689010116748
GS1_SS_03606_02156 0.322786927600777 0.571358288055366 -1.42358837127981 -2.10311183387926 -0.534335444915096 -0.405981013090756 0.0369676143814777 -0.00917286764687999 0.261218746217847 0.287049026975176 1.61421707368176 1.3825918538994
GS1_SS_03977_10727 -0.680780356608978 -1.2658141859309 0.497279640010895 0.348584979991707 -0.0682911204192289 -0.627754778741421 -1.47823512881545 -0.190433162577847 0.0485403981672756 -0.251504183657156 1.55938435443366 2.10902354414744
GS1_SS_03988_11888 0.200889165873142 0.348121875277712 -0.278755536929373 -1.30027732486005 -1.31242022872846 -0.268130496044507 -0.146853243658681 -0.0195045393386466 -1.06349069942589 0.0749065382383042 2.00016394657599 1.76535054302046
GS1_SS_04060_13843 -0.691520283664025 0.559038914958551 0.234429129462749 -0.201765269797234 -1.68888384959988 -0.473625965149968 -0.778353401284152 -0.573037711958057 -0.0901806560330524 -0.009028209659102 1.538954704924 2.17397259780016
GS1_SS_04117_13354 -1.31430650622357 -1.06865084921016 -1.38741830890614 -0.140130955141583 -0.0816415129955307 0.548582226128178 -0.268807727862897 1.0764494414963 -0.539321397788387 -0.0948016374783924 1.61323629679169 1.6568109311905
GS1_SS_04866_19783 -0.03927321344392 -0.331635841626654 -0.722702092144583 -0.913112624345646 0.410515445298747 -0.554031345116083 -0.486563046304683 -0.424092399257091 -0.566525474525602 -0.509052479241817 1.56572265050283 2.5707504202045
GS1_SS_04952_13983 -0.439810029213913 -0.278870466233148 -0.651957634961285 -0.94457502219904 -1.16586692129759 -0.642813341610105 -0.309961063627159 0.037339197850651 0.19846164669844 0.0775740885958422 2.1194947939143 2.00098475208301
GS1_SS_05259_21833 0.373957737926079 -0.355977507782372 -0.897924789978901 -1.20954447724191 -1.26373920546156 -0.875908181639667 -0.206942005178326 0.373957737926079 0.192066681338869 0.351941129586845 1.22616983918012 2.29194304132474
GS1_SS_05802_11149 -0.303700125636295 -0.225911406156348 -0.283778624306065 -0.425363580188774 -0.639519719488752 -0.63003329028388 -0.777072942959391 -0.415165668793537 -0.359385465068892 -0.340792063827343 2.40609837673529 1.99462450997398
GS1_SS_06117_08206 -0.563644844213397 -0.0959369564846399 -0.310303071693653 -0.778985350855178 -1.02721156835289 -0.0715771706654338 -1.23597493282348 1.07820472000109 0.0429138226848347 -0.702495623382871 1.76904824583378 1.89596272995184
GS1_SS_06306_15240 0.181857228294173 0.557958968240149 -0.629398918160352 -1.30888986200017 -2.00939598967008 -0.88858618539822 -0.17056740453656 0.456385579728012 0.887897354372677 0.233764732354514 1.45250529327463 1.23646920350123
GS1_SS_06423_17998 0.119599680675568 0.285454399640147 -0.868157312269033 -1.55184732044524 -0.962141653015628 -0.621218064032883 -0.267763229617259 0.0845859066719351 -0.283058720366214 0.289140060061582 1.71272639784088 2.06267985485614
GS1_SS_07434_05326 0.418195731407142 0.344930568339453 -1.60236929588945 -1.48690843718678 -0.804639726671052 -1.01456856067589 0.0329763210082603 0.444436835657747 0.917826356338662 0.381458185456295 0.390904982986513 1.9777570392291
GS1_SS_07679_15841 -0.52023772909998 -1.01026126652915 -0.958431853916446 -0.600337730410517 -0.932517147610096 -0.517881846708493 0.0169034561589148 0.181815223562961 0.459809345758354 -0.120444487264741 1.88606054556421 2.11552349049498
GS1_SS_07897_15170 -0.288770836042378 0.474363301893977 -0.929577676898923 -0.861827173900874 -1.17423227105854 -0.763965336237026 -0.368754068748408 -0.0732865973402505 0.17889583048582 -0.114689682505725 2.31115471650775 1.61068979384459
GS1_SS_07916_11980 -0.197876532074263 -0.0213117735288326 -1.8502561592164 -1.45048689458524 -0.844170176561309 -0.447732322468739 -0.0102070717335225 0.710488074782101 1.07139088312968 0.324044452305311 1.16633608347958 1.54978143647164
GS1_SS_07934_08197 -0.28412283709422 0.120671706850055 -0.615318373048626 -0.244660211099652 -0.141573179513844 -0.913103833007632 -0.579003073053626 -0.876788533012631 -0.253860087098386 -0.484583293066624 2.3395365365446 1.93280517660059
GS1_SS_08891_08911 0.505238142513689 0.231250479890665 -1.36179207278892 -0.106341461555561 -0.882313663198625 -1.43028898844467 -0.559399632250061 -0.0398016006328268 -0.12982611835182 0.14024743480516 1.97586692164277 1.6571605583702
GS1_SS_09342_06996 -0.30703163965267 -0.0203248233318483 -0.21689148105239 -0.806622010199982 -0.407866393341118 -0.91509576037998 -0.699676059318295 -0.227586076140559 -0.852455989149277 0.29950468177633 2.40725659372456 1.74678895706523
GS1_SS_09462_11900 -0.468707988259411 0.214689817844869 -0.662248767112913 -1.84672620921126 -0.684497096726795 -0.558882633951073 -0.0648909613738218 0.015833066428758 0.0197708238825424 0.334791420185293 1.58660451474335 2.11426401355046
GS1_SS_09561_13065 -0.630546991193136 0.00191968204342804 -1.57153399283778 -1.99317844166215 -0.224328558789164 -0.145141674497757 0.04819773130464 0.984042727475816 0.355689658618026 0.426649334151885 1.24577080607534 1.50245971931086
GS1_SS_09843_18601 -0.214628057352616 -1.45932075209255 1.15973470264409 0.334137524570385 -1.37069732619763 -0.0903220415579033 -0.85294994333785 -0.752665540351496 -0.383385717819885 0.772590263208397 1.00441048778615 1.8530964005009
GS1_SS_09912_17924 0.379228089365343 0.22369676703435 -1.03931135802537 -0.984601847657686 -1.28941197684908 -1.85213836920242 0.285440357306453 0.563208357087533 0.455821403880104 0.503496834343373 1.44707957529919 1.30749216741821
GS1_SS_10251_08669 -1.22010486389907 0.465838423700133 -0.974739903293117 -0.011945861553428 -0.950654999184557 -0.0474259359183506 -0.193636356922378 0.456806584659423 -0.38917567215375 -0.845283543709607 2.32564461283301 1.3846775154417
GS1_SS_10342_08054 -0.437899650492873 0.146894795316369 -1.8671115708003 -1.18206664856661 -0.25230774285583 -0.619121665567825 -0.332508123995383 0.463069374808839 0.909055468645777 0.114763232359817 0.972547437047924 2.08468509410009
GS1_SS_10588_20437 0.0302583093194287 0.0240033616564977 -1.30830049054781 -1.72894572087991 -0.857944258816773 -0.701570567243498 -0.027599956562683 0.455594750398737 0.433702433578478 0.360206798539039 1.53785706977737 1.78273827078112
GS1_SS_11050_16267 -0.206654345456669 0.258440222146773 -1.02120574845757 -0.661183028899158 -0.97033297286779 -0.698359287983993 -0.412689086595257 0.213437382201972 -0.115279013916573 -0.476867049646973 2.32622288534962 1.76447004412561
GS1_SS_11065_12321 0.985558018330738 -0.302003847235243 0.371548979401319 -1.01664536948258 -0.369092169447191 -1.11646536446922 -0.872718865083249 -0.46078728112096 -0.955128395828029 0.226461777385861 2.13418437924672 1.37508813830184
GS1_SS_11599_10645 -1.07037945174828 -0.710457951205608 -1.16906760512289 -0.762704620639222 -0.127036809196917 -0.793665609933216 -0.331572844720362 0.464124580135272 0.396397416054661 0.317059880988803 1.8832989268987 1.90400408848906
GS1_SS_12073_14180 -0.39098560722314 0.0134986938009165 -0.346042907109356 -1.71799908290424 -0.847234268199679 -0.492106682479154 -0.160252995031838 -0.190418776112674 0.196078413013164 0.0215241759640922 1.7905410817821 2.12339795449981
GS1_SS_12257_21064 0.0530959047785025 -0.177368091148802 -0.675389232743689 -2.16397989773061 -0.866327741242828 -0.599986764419189 0.263493114780738 0.387542336862981 0.106607333912019 0.520104740852829 1.92721209329553 1.22499620280252
GS1_SS_13089_17233 0.394782538457758 0.57433526548064 -0.356537383127352 -1.73438171389869 -0.411294597751352 -1.08238883279432 -0.13496167743954 0.1464649372559 0.561601029521571 0.727146096989476 -0.968672105679831 2.28390644298574
GS1_SS_13175_04767 -0.346184579797414 -0.456845977009735 -1.29636486323173 -1.15485412510856 -1.27578148314109 0.311711706349772 -0.288808407794746 0.496962127165562 0.821150363593193 -0.0742266703497896 1.08487492100456 2.17836698831999
GS1_SS_14266_20857 -0.463065150656667 -0.239054289588358 -0.295739104285399 -0.881168580554847 0.231359110387092 -0.483034199485625 -0.393585091480293 -0.569519703071111 -0.347249371582711 -0.838831374557057 1.89968023340003 2.38020752147495
GS1_SS_14345_19050 -1.1675680875759 -0.0356204941334896 -1.10926172841101 -1.45708931929118 0.0890344806328145 -0.707953132227878 -0.0899057250801059 -0.0637683916613647 0.778657970065755 0.288080327437074 1.61083045483629 1.86456364540899
GS1_SS_14411_03659 -0.107193792630934 0.07275547575593 -1.3397230281574 -1.23242048294686 -1.15846872881527 -0.994614842209991 -0.0419422448677683 0.517771031500722 0.407568417500708 0.520671100290196 1.65416298665612 1.70143410792455
GS1_SS_14416_13483 -0.455821266423371 -0.389336838613554 -0.903527851001268 -1.55046386571633 -0.333373515541317 -0.728922283015888 -0.278977165515102 0.224692742135032 0.222454209212143 0.329903789510838 2.05088790062827 1.81248414434054
GS1_SS_14929_05148 -0.388580957727773 -0.232775387642447 -1.45962763112869 -0.580539017877807 -0.763867128786588 -0.717218754509544 -0.244437481211708 0.259364960980362 0.00746373988432692 0.100760488438414 1.92564489015636 2.0938122794251
GS1_SS_15053_18095 -0.0118177948923882 0.270648606240855 -1.28012042530762 -1.79714895184961 -1.16405279690024 -0.499301834203402 -0.0603551667718398 0.564299706111537 0.583292590760018 0.34060573136276 1.6051097848483 1.44884055060163
GS1_SS_15374_11943 -0.110202251254989 -0.0368080858664364 -1.06677916261736 -1.17998353082592 -1.50450271969048 -0.168691174829414 0.060057118530692 0.0772189007511104 0.112433006221855 0.0700379703277472 1.63257899731586 2.11464093193733
GS1_SS_15426_08898 -0.165336054028843 0.0108575440949065 -1.38246288317317 -1.14599252779655 -0.728691900661358 -0.645231775234319 -0.267342873995224 -0.353121336239682 0.539438338466155 0.365563077159823 1.70625725867251 2.06606313273575
