V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00987_13482 -0.20541559857269 -0.330397663618069 -1.14846208936964 -0.917245269035691 -0.51218975822953 -0.299152147356724 -0.100317043875439 -0.228139610399122 -0.228139610399122 -0.256544625182163 1.77611823269223 2.44988518334596
GS1_SS_02240_16896 0.534832162526301 0.994798616530838 1.01330301410573 -0.381135517431011 -0.858284626326522 -0.748579983561072 -1.04465034475939 -1.16096370094445 -0.728753843302256 -0.632266627376017 1.92424807186414 1.08745277867371
GS1_SS_03855_09826 -0.281432268001661 0.110996687033204 0.577141578372961 0.527274915578475 -0.18169894241269 -0.157849668902284 -1.12699741973424 -1.35031334442259 -1.10314814622384 -0.616059256510396 1.9770939334338 1.62499193178926
GS1_SS_03996_21860 0.0438758074412119 0.508775667285293 1.88934455198945 0.275619202621848 -0.898641537592229 -0.565157139649362 -0.969295011732666 -0.860488661556392 -0.969295011732666 -0.925489857765595 1.7035259150001 0.767226075691014
GS1_SS_08371_19254 0.134225095016688 -0.7420107045064 -1.01162171974427 -1.73957146088653 -0.534859574465301 -0.196273074495738 -0.449707428819339 0.140965370397635 0.388108801032353 0.50718699942908 1.37106562742043 2.13249206962139
GS1_SS_08686_07485 0.19511213978169 0.952002855351558 0.366856418615817 -0.950862959695579 -0.603878722015658 -0.328783903706128 -0.891588385584686 -0.735042715496942 -0.9675814293166 -0.694006471881708 2.05405397555178 1.60371919839646
GS1_SS_08977_00122 -0.382600558902928 -0.395040605977084 -1.0108229361478 -1.41927114841592 -0.518819074364935 -0.570030601486877 0.0590211122296064 0.637483301177856 -0.378453876544876 0.106707959347204 1.99655844402939 1.87526798505637
GS1_SS_09013_20374 0.355348775989311 0.966898783069979 0.688643529848275 0.0877956478915184 -0.575736109791007 -0.57879385982641 -1.00076336471207 -1.13989099132292 -0.933492863933198 -1.05580286534933 2.05591645817888 1.12987685995698
GS1_SS_09858_12618 0.0767249695694107 0.156639510738098 -0.144512128613376 -0.98950325076018 -1.50474173987408 -0.631990829742368 -0.568900402503931 -0.466483608953535 -0.0862586341298857 0.234451037665504 1.98584129780452 1.93873377879982
GS1_SS_11829_20861 0.353812233504566 0.488998173680338 0.497447294941324 -0.117226276795389 -0.478426210702529 -1.08887522180875 -1.05296645644956 -1.00227172888365 -0.612556010720678 -0.627194113305336 2.29711012353129 1.34214819300837
GS1_SS_11851_12611 0.206667300731879 1.03321221119166 0.117176723960294 -0.696938939725653 -1.10461823390732 -1.52721262421758 -0.704396487789952 -0.505528539408652 -0.520443635537249 0.359547036050004 1.89443472015043 1.44810046850214
