V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00034_11858 0.15130233070496 0.609640771836304 1.36172097634464 0.407060245369412 0.131044278058271 0.0626733503756948 -1.91755129583818 -1.58835794032948 -0.398197347336485 -0.93503574247375 0.841595474640895 1.27410489864771
GS1_SS_00155_19594 0.195691583968666 0.0153414933313927 -2.37781789577983 -1.19668380092615 -0.265404995368443 -0.079035663670858 0.313804993454034 0.0696282334602445 0.0143193580570001 0.451225402566818 1.87937552206538 0.979555768841752
GS1_SS_00240_19339 0.0687466927138341 0.256038764524916 0.851172450653588 -0.0672588584985124 -0.89747035064801 -1.65364021067032 -0.774942827033283 -0.64191294425158 -0.321941068297694 -0.393182071313685 1.81686437605708 1.75752604676367
GS1_SS_00465_21240 1.26066779685975 1.12971703890487 1.0278664493844 0.44222555964172 -0.819994246201202 -1.24922173060888 -0.834544330418411 -1.4383728254326 -0.965495088373297 -0.424231955493104 1.03783325707319 0.833550074663569
GS1_SS_00696_07735 0.339436920173193 0.459761272240285 0.650961612511279 0.0394501794031842 -0.690737326976563 -0.984130952564813 -1.73080124689896 -0.634695847931616 -0.596785435636505 -0.180611522575958 2.15237876727722 1.17577358097925
GS1_SS_00748_05585 0.106176822230345 0.179680405369967 0.672692243501582 -0.562526507308172 -0.937215504288199 -1.03043956095309 -0.5517698853853 -0.766902323842732 -0.585832521474394 -0.469302450643285 2.03609407222555 1.90934521056772
GS1_SS_00752_15697 0.413562356171324 -0.32447913934021 0.379608873326968 -1.02320607576881 -2.01500517990658 -1.00354879622734 -0.283377554844411 0.158017722132221 0.0255991390392318 0.526144957181558 1.82995869840484 1.3167249998312
GS1_SS_00809_14652 0.18506621937489 0.499034964606014 0.633827829050789 -0.056574647373671 -0.54314401171091 -0.986974175126634 -1.15135571713246 -1.2088892568345 -0.674649245315569 -0.306598972764529 2.11293294401919 1.49732406920738
GS1_SS_00899_08808 -0.316001916767462 0.037179305490783 0.171415943046341 0.368142049808797 -0.805271316409617 -1.21492450343261 -0.70806547542111 -0.565728351116509 -0.640947156643331 -0.370321466481754 2.19676907278546 1.84775381514101
GS1_SS_00902_02110 1.01073574400809 0.931397101040747 0.733050493622384 -0.880168580046971 -1.07190363388472 -1.07851518746533 -1.09173829462656 -0.93967256227248 -0.409425965107389 0.00379613368086812 1.81172546029925 0.980719290752113
GS1_SS_00940_09958 -0.239806693149476 -0.261216412052785 0.554493878163274 0.275953435231229 -0.479595544866533 -0.44748096651157 -0.661578155544656 -1.226794734592 -0.980582967203955 -0.507428179440834 1.95404720287256 2.01998913709475
GS1_SS_00958_09209 -0.916817231956359 -0.207447439682014 -1.19260208940596 0.162579130644408 -0.164344640769361 -0.204890493983806 -1.29853269690316 -0.546060105716163 0.131530504309022 0.414620920896363 2.15736205320373 1.66460208936331
GS1_SS_00992_07996 0.466274543875519 0.763976658871218 0.576658474154823 0.275611391574903 -0.583710780811557 -1.20453676444304 -0.57952957133128 -0.88843732773412 -0.900144714278895 -1.21122669961148 1.9591335767135 1.3259312130204
