V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00578_20354 -0.545199729903169 0.093884519494908 -0.510709468824543 -0.701420324200477 -0.279421835709048 -1.14573604044866 -0.45187314110218 -0.374777263397015 0.139533394451914 -0.449844302215202 2.28036418799112 1.94520000386235
GS1_SS_00604_17302 0.553378410813792 0.824182734058105 0.371146551304636 -0.698904564630902 -1.12830147496857 -1.1432630397887 -1.26295555834972 -0.612127488674161 -0.16477670055234 -0.136349727394098 1.79788137255202 1.60008948562993
GS1_SS_00836_18856 0.190565761802373 -0.792901544502755 -0.669968131214614 -1.57603291804202 -0.0530245200833879 -0.160022120537881 -0.239701184706121 -0.556140896688557 -0.0780665116791204 0.154141046754035 1.24688249820418 2.53426852069388
GS1_SS_01455_12201 -0.383702894394346 -0.194434300461511 -0.26047336782228 -0.273517228881855 -0.530054533269799 -0.800093801046583 -0.0702644585820082 -0.522821338597207 -0.465920207172813 -0.819382320173496 1.80650845246664 2.51415599793526
GS1_SS_01932_15183 0.0583023220602114 -0.115634523916484 -0.886708888364357 -1.01453649170681 -1.0898634722479 -0.815947179371213 -0.473551813275355 0.0446065074163771 0.291131171005395 0.00351906348487412 1.93462892826551 2.06405437664975
GS1_SS_02394_15385 -0.170522988902857 -0.061181349892493 -0.0664720743607364 -0.473857858415482 -0.422714188555795 -1.44735116057228 -0.625525293171794 -0.0453091764877626 -0.562036599552872 -0.232248107699031 2.41893392333776 1.68828487427334
GS1_SS_07270_14269 0.0765036949639157 0.462608939817655 -0.338337907457626 -1.37803704712443 -1.58691365499613 -1.12232144233605 -0.609624313923712 0.315762354889675 0.596796336389774 0.43855648194152 1.46433051441688 1.68067604341853
GS1_SS_08582_19866 0.0231143141011475 0.390900085434324 0.372789422452009 0.707140123663987 0.769830880141233 0.227625493009141 -1.39926929397148 -1.48285696927447 -0.887991346701494 -1.39926929397148 1.53145391494369 1.1465326701734
GS1_SS_08852_20214 0.157752306474995 -0.409398607554665 -0.523006999603026 -0.683395317788948 -0.768044707942628 -0.204457978761544 -0.487365151117266 -0.645525853772827 -0.104215279895343 -0.616566851878147 1.81598930727499 2.46823513456441
GS1_SS_09632_00442 0.270175704475128 0.176541949142811 -0.193232033779729 -1.12639556149841 -0.974042332483119 -0.889930653964258 -0.859777410721647 -0.445567069336313 -0.0408788047644339 0.111474424250862 2.05731082108059 1.91432096759853
GS1_SS_09746_21777 -0.322824010874038 -0.485871747115471 -0.133700098889248 -1.00682215921903 -0.962406695040784 -0.989629076311322 -0.145162154161053 -0.176682806158518 0.144254741452035 -0.0133485185352901 1.67443912023807 2.41775340461465
GS1_SS_11283_16303 -0.195952360636427 0.0586972881739799 -0.316747706867004 -0.486514139407275 -0.543647073435251 -0.98601921976615 -0.811355678594909 -0.533852856173312 -0.329806663216256 -0.132289948433825 2.39886226595987 1.87862609239656
GS1_SS_11335_18086 -0.210741909266776 -0.449981570772535 0.119914533464762 -0.180682232654818 -0.674368215599444 -1.2840491859408 -0.642717144343324 0.0668680453260123 -0.557665941694196 -0.2690930462194 2.52504230567565 1.55747436202487
GS1_SS_19568_16501 -0.152299089886062 -0.504616859786164 -0.351724242659704 0.640653303285327 -0.254385775234474 -1.04733816840586 -1.37496520510542 -0.692883700440329 -0.164169634694017 -0.0027302253058296 2.00885229785021 1.89560730038232
GS1_SS_19989_11843 0.0199456312025254 -0.818349013541295 -0.479176927392071 -1.66242500066266 -1.43695264793846 -0.338497596205177 -0.145786183620391 0.280106038191987 0.831260678184476 0.750321884898866 1.10934324654432 1.89020989033788
GS1_SS_20473_17303 0.0142400058990132 0.0754507775246221 0.995652710962943 1.56695324613529 0.677356698509777 -0.194080653533476 -1.32015481553926 -1.5649979020417 -1.22833865810085 -0.800883436248679 1.14102829357376 0.63777373285855
GS1_SS_20543_01182 -0.578936523941787 -1.00828213744428 0.0854134162198044 -1.77106467743563 -0.662225646874667 -0.380641107019768 0.141500367689757 0.0770003734993114 0.301348179379123 0.306956874526118 1.18611983881763 2.30281104258439
GS1_SS_22596_08519 0.291634306735812 0.236233153888989 -0.20381028872292 -0.806891409712622 -1.6853954048551 -1.31974779606607 -0.55679477686125 0.157405227838367 0.299548757142501 0.0803184808772156 1.78524938748616 1.72225036224892
GS1_SS_22822_06592 0.0403883169496121 -0.468491593579791 0.265841441867702 -1.57256775389295 -1.65373087886346 -1.21184275402401 0.0133339419594414 0.540250102482292 0.497736084640595 0.91385813806084 1.01370166481028 1.62152328958945
GS1_SS_22932_17080 -0.418223088832223 -0.0809279269917959 -0.351942380173624 -0.0394411130536356 -0.337213333805046 -0.761900837432367 -0.941104234916728 -0.629339420115169 -0.636703943299458 -0.111367956153523 2.2521530177909 2.05601121698267
GS1_SS_23483_11148 0.0474219826117051 0.320462003965464 -0.13057246168853 -1.08621253642669 -1.24346976391524 -0.823541123478767 -0.664555794589237 -0.158222084104101 -0.16340638830702 -0.0908261294661476 1.98272274156155 2.01019955383702
GS1_SS_25263_12271 0.104934236307853 -0.273451769512037 -1.39466007247144 -0.421169281988137 -0.259003850922469 -0.273949973601333 -1.06833639398292 -0.229609809654038 0.124862399879671 -0.377825526219433 1.92910850926312 2.13910153290115
GS1_SS_25370_19926 -0.649945438683098 -0.708596256197287 -1.62274003262534 -0.720730908096775 -0.585227295219165 -0.690394278348056 -0.0737517176557732 0.49475672383521 0.658574524478289 0.349140901041361 1.76120989374504 1.78770388372559
GS1_SS_25530_18942 -0.416041414166511 -0.272448791776219 -0.213138795571533 -0.49252009348308 -0.64391666274241 -1.15429478797747 -0.445696412268854 -0.0242832813408221 -0.52997903845446 -0.00867538760274682 2.55507723781349 1.64591742757061
GS1_SS_25636_20097 0.0861866482139684 1.19040041258222 0.0457392575777689 -0.0574015885445398 0.179215646677227 -0.374913605038706 -1.41238917485722 -0.838036227823191 -0.603441362133234 -1.43463523970713 1.82886247377463 1.39041275927822
GS1_SS_26118_19348 0.491596576121596 0.685685168142599 0.635272546838442 0.623929707045007 -0.457421019929153 -1.16193740265474 -1.78201264469587 -1.14051203860048 -0.55320500040705 -0.173850025093272 1.65285130786284 1.17960282537007
GS1_SS_26139_15673 -0.0494662541139418 0.474303110800898 0.590935023292922 0.933157608631362 0.402175480707146 -0.357466580918537 -1.36418414137601 -1.50383551028093 -0.945230034661238 -1.0296347081752 1.67745336598178 1.17179264011175
GS1_SS_33814_16408 -0.0768912182837316 -0.229911760119831 -0.196227993048991 -1.02388626964676 -0.184198076237977 -0.869903334465779 -0.595621231174659 -0.518629763584168 -0.2034459431356 -0.393518628749622 2.01944208520358 2.27279213324354
