V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00876_18113 0.59977750507296 -0.172426964299475 -1.09274092926164 -1.77110503119936 -1.57890186898368 -0.495780519556453 0.0567470414718177 0.294513659200988 0.992098077360274 0.849641615953353 0.989045438901554 1.32913197533966
GS1_SS_04749_17330 0.141990037865488 0.417295135266889 -0.107075042439842 -0.683925254338714 -0.686076075412163 -0.645210475016642 -1.03665991038426 -0.750600707615616 -0.409050321152003 -0.364098160716931 2.0499834121216 2.07342736182219
GS1_SS_05815_18476 -1.57267302764259 -1.86483726153376 0.197644152291211 -0.865784139710982 -0.486465829269222 0.977574098695613 1.08651669438385 0.123365109776506 -0.00786119866613957 0.0367062268426834 1.03179779973135 1.34401737510149
GS1_SS_06809_12303 -0.919477404758573 -0.62590519074562 -1.13213878012684 -0.522062403180243 -0.344664307756057 -1.07805399493653 -0.113181427141569 0.295699548897104 0.0317657971684366 0.628861825669357 1.50892945028593 2.2702268866246
GS1_SS_06863_19125 0.0689146408469522 0.870639164898517 -1.93329240543931 0.305644323145643 0.508705783961853 -1.13682854099438 -1.27044929500297 0.372980766110604 -0.154452966050879 -0.387710613009189 1.12262476005646 1.6332243814767
GS1_SS_08041_14258 -0.271096402632856 -0.505369940712563 -1.03375311534255 -1.42927986794466 -1.53069698399648 -0.506384111873082 0.503730364003059 0.699465397983074 0.603119137733844 0.509815390966168 1.80531763141213 1.15513250040391
GS1_SS_08764_21659 1.48632428953252 -0.753254114944953 1.38925277974093 -0.37176308146399 -0.643701982465869 -0.785149039590762 -1.2150371543821 -0.961264493069796 -0.422073858253119 -0.251255735736998 1.64316411463866 0.884758275995479
GS1_SS_09027_04193 -0.128549599715158 0.130473192400703 -0.482364516630175 -0.605348311279781 -0.00178168830710327 -0.906185593576507 -0.891049126542709 -0.626160953451252 -0.408574239840412 -0.336676021429874 2.23330687507103 2.02290998330124
GS1_SS_11388_10068 -0.277958789880718 0.00897340870481981 -1.05970263704744 -0.786433876489782 -1.18495081896969 -0.859630865924868 -0.352782379081028 0.313147564801733 0.0171064075309405 0.57177692747237 1.10855484999633 2.50190020888733
GS1_SS_13162_05757 -0.0577970726816688 -0.0492844630200545 -1.40704570404754 0.193324912335953 -0.932467715412539 -0.537056996630554 -1.07931023207539 -0.283381228714448 0.267810246875078 0.0379697860114922 1.69984400720015 2.14739446015952
GS1_SS_14553_14264 -0.0928608673967772 -0.0458254064359982 -0.766486732538532 -0.485384053785494 -1.09414144726341 -1.3322730158886 -0.517612386381383 -0.104373543985198 0.178877690274233 0.316743335267761 1.90846487292031 2.03487155521308
GS1_SS_14918_08292 -0.951228414799297 0.136649863169285 -0.347907273742485 -0.1056287052866 -0.806336329742346 -0.471184310045038 -0.398500739508273 -0.317883733494619 -0.0319950227166742 -0.90372281314128 2.4021920062401 1.79554547306723
GS1_SS_16547_07460 0.194628999397881 0.1454114606023 -1.60356893588351 -0.372251581372646 -0.360474527446561 -0.483869928284053 0.377437000638609 0.484660924443267 -0.916281161988083 -1.04108277821973 2.08300049682975 1.49239003128278
GS1_SS_16660_13328 1.61964252104014 -0.714700562677368 -1.66797089680597 0.268832321741028 -0.863262173190916 -0.86738888459407 -1.01732606557534 0.629231784283154 0.619602791009128 -0.161721234654717 0.65866899229232 1.4963914071326
GS1_SS_16780_11663 -0.101039983578676 -0.333594249307588 -0.67079793461451 -1.01585032638978 -0.353942747558868 -0.409174385669484 -0.333594249307588 -0.67079793461451 -0.0603429870761166 -0.348128890915645 1.84485783490799 2.45240585412478
GS1_SS_17840_11230 0.0448128758276395 0.123680769989753 -0.750300025580404 -0.683677409722408 -0.202168161153716 -0.368205833073954 -0.968432017065618 -0.87980940967819 -0.0568851982235068 -0.399337896558999 1.66388772413987 2.47643458109954
GS1_SS_18923_17003 -0.619966544615127 -0.520440142804003 -0.55029806334734 -0.651759700749236 -0.0421604896561011 -0.556933156801415 -0.581814757254196 -0.390502895995035 -0.177626981010131 -0.127863780104569 1.45211784864702 2.76724866369013
GS1_SS_20851_03446 -0.907340767777192 -0.326196886041086 -1.42365788361037 -0.423181811407674 0.0438771712787873 -0.354271469699835 -0.282808893113929 -0.124570330673707 -0.0275854053071193 -0.224107490918363 1.58338524972946 2.46645851754102
GS1_SS_21403_20239 -0.230555337797812 0.189762313694633 1.25593391748034 -0.738524597101485 -0.540667751398945 -0.943045015327687 -1.04120456442623 -0.865388766301949 -0.6903418419304 0.0564908632214185 1.79722103940232 1.75031974048579
GS1_SS_22954_08822 -0.313342497973747 -1.0521901117164 -0.704879701735259 -0.685888196170747 -0.443681460820603 -0.31074092186902 -0.0427785830820717 -0.237896790936645 -0.596602104256494 0.20957429907651 1.67322101559629 2.50520505388819
GS1_SS_24191_15599 -0.699315294196055 -0.279164132047523 -0.495930018251543 0.218594569606153 -1.00385798370244 -1.23159597031926 -0.212261080749986 -0.613679388535208 0.210566203450448 0.215918447554251 1.42900457368119 2.46172007350997
