ZT	CT	Alanine	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.676977246	C1	L1	10	0
-1.5	-1.44	-0.557449173	C1	L1	10	0
-1.5	-1.44	-0.754549342	C1	L1	10	0
0.5	0.52173913	-0.569083319	C1	L1	10	0.073333333
0.5	0.52173913	-0.412529911	C1	L1	10	0.073333333
0.5	0.52173913	-0.297890912	C1	L1	10	0.073333333
2.5	2.608695652	0.802032313	C1	L1	19	1.166666667
2.5	2.608695652	0.889461018	C1	L1	19	1.166666667
2.5	2.608695652	1.523989044	C1	L1	19	1.166666667
4.5	4.695652174	1.590419447	C1	L1	24	2.313333333
4.5	4.695652174	1.465894221	C1	L1	24	2.313333333
4.5	4.695652174	1.384475036	C1	L1	24	2.313333333
6.5	6.782608696	1.411132539	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	1.058716936	C1	L1	26	2.786666667
8.5	8.869565217	1.852222856	C1	L1	27	2.206666667
8.5	8.869565217	1.454167849	C1	L1	27	2.206666667
8.5	8.869565217	1.032895436	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	0.028948061	C1	L1	26	0.866666667
10.5	10.95652174	0.711863181	C1	L1	26	0.866666667
12.5	12.96	0.099709214	C1	L1	21	0
12.5	12.96	-0.610618488	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.171248496	C1	L1	18	0
14.5	14.88	-0.868773277	C1	L1	18	0
14.5	14.88	-0.579650144	C1	L1	18	0
16.5	16.8	-0.638858602	C1	L1	14	0
16.5	16.8	-1.112092251	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.216466894	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-1.129748523	C1	L1	14	0
20.5	20.64	-0.49645612	C1	L1	13	0
20.5	20.64	-0.15811831	C1	L1	13	0
20.5	20.64	-0.089982278	C1	L1	13	0
22.5	22.56	-0.942694809	C1	L1	12	0
22.5	22.56	-0.855804066	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-1.079449035	C1	L1	12	0.073333333
24.5	24.52173913	-1.087485955	C1	L1	12	0.073333333
-1.5	-1.953488372	-1.298371827	C2	L1	10	0
-1.5	-1.953488372	-0.901921573	C2	L1	10	0
-1.5	-1.953488372	-1.162944873	C2	L1	10	0
0.5	0.226415094	-0.023852607	C2	L1	10	0.073333333
0.5	0.226415094	0.061687719	C2	L1	10	0.073333333
0.5	0.226415094	-0.248216485	C2	L1	10	0.073333333
2.5	2.037735849	-0.151795563	C2	L1	19	1.166666667
2.5	2.037735849	0.3340367	C2	L1	19	1.166666667
2.5	2.037735849	0.446066245	C2	L1	19	1.166666667
4.5	3.849056604	0.744856977	C2	L1	24	2.313333333
4.5	3.849056604	0.865601939	C2	L1	24	2.313333333
4.5	3.849056604	0.748045766	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	0.60512088	C2	L1	26	2.786666667
6.5	5.660377358	1.140328336	C2	L1	26	2.786666667
8.5	7.471698113	1.682597762	C2	L1	27	2.206666667
8.5	7.471698113	1.608355162	C2	L1	27	2.206666667
8.5	7.471698113	1.060858108	C2	L1	27	2.206666667
10.5	9.283018868	1.395645979	C2	L1	26	0.866666667
10.5	9.283018868	1.569081879	C2	L1	26	0.866666667
10.5	9.283018868	1.275976011	C2	L1	26	0.866666667
12.5	11.09433962	0.288983398	C2	L1	21	0
12.5	11.09433962	0.86710963	C2	L1	21	0
12.5	11.09433962	0.63774171	C2	L1	21	0
14.5	13.11627907	0.475233493	C2	L1	18	0
14.5	13.11627907	0.596857415	C2	L1	18	0
14.5	13.11627907	0.384146833	C2	L1	18	0
16.5	15.34883721	-0.064662361	C2	L1	14	0
16.5	15.34883721	-0.285672198	C2	L1	14	0
16.5	15.34883721	-0.043719285	C2	L1	14	0
18.5	17.58139535	-0.502791098	C2	L1	14	0
18.5	17.58139535	-0.311648475	C2	L1	14	0
18.5	17.58139535	-0.621971311	C2	L1	14	0
20.5	19.81395349	-1.265236382	C2	L1	13	0
20.5	19.81395349	-1.63428435	C2	L1	13	0
20.5	19.81395349	-1.202918276	C2	L1	13	0
22.5	22.04651163	-1.506535754	C2	L1	12	0
22.5	22.04651163	-1.633036265	C2	L1	12	0
22.5	22.04651163	-1.31618886	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.449006949	C2	L1	12	0.073333333
24.5	24.22641509	-1.163557452	C2	L1	12	0.073333333
