ZT	CT	TOC1	Campo	Organ	Temperature	Light
-1.5	-1.44	0.013804667	C1	L1	10	0
0.5	0.52173913	0.000930567	C1	L1	10	0.073333333
2.5	2.608695652	0.006267791	C1	L1	19	1.166666667
4.5	4.695652174	0.000619234	C1	L1	24	2.313333333
6.5	6.782608696	0.001652529	C1	L1	26	2.786666667
8.5	8.869565217	0.037390208	C1	L1	27	2.206666667
10.5	10.95652174	0.01859759	C1	L1	26	0.866666667
12.5	12.96	0.008122615	C1	L1	21	0
14.5	14.88		C1	L1	18	0
16.5	16.8	0.004637447	C1	L1	14	0
18.5	18.72	0.00450178	C1	L1	14	0
20.5	20.64	0.003259443	C1	L1	13	0
22.5	22.56	0.005623087	C1	L1	12	0
24.5	24.52173913	0.005059865	C1	L1	12	0.073333333
-1.5	-1.44	0.00125865	C1	L1	10	0
0.5	0.52173913	0.001037203	C1	L1	10	0.073333333
2.5	2.608695652	0.002010996	C1	L1	19	1.166666667
4.5	4.695652174	0.001049977	C1	L1	24	2.313333333
6.5	6.782608696	0.001902401	C1	L1	26	2.786666667
8.5	8.869565217	0.009013326	C1	L1	27	2.206666667
10.5	10.95652174	0.031284434	C1	L1	26	0.866666667
12.5	12.96	0.008398159	C1	L1	21	0
14.5	14.88	0.007181862	C1	L1	18	0
16.5	16.8	0.002274844	C1	L1	14	0
18.5	18.72	0.008614099	C1	L1	14	0
20.5	20.64	0.001105583	C1	L1	13	0
22.5	22.56	0.001521176	C1	L1	12	0
24.5	24.52173913	0.003272108	C1	L1	12	0.073333333
-1.5	-1.44	0.002482744	C1	L1	10	0
0.5	0.52173913	0.002085653	C1	L1	10	0.073333333
2.5	2.608695652	0.002966042	C1	L1	19	1.166666667
4.5	4.695652174	0.000949224	C1	L1	24	2.313333333
6.5	6.782608696	0.005251336	C1	L1	26	2.786666667
8.5	8.869565217	0.027757867	C1	L1	27	2.206666667
10.5	10.95652174	0.043118748	C1	L1	26	0.866666667
12.5	12.96	0.03757508	C1	L1	21	0
14.5	14.88	0.015476413	C1	L1	18	0
16.5	16.8	0.012793038	C1	L1	14	0
18.5	18.72	0.013574416	C1	L1	14	0
20.5	20.64	0.007668133	C1	L1	13	0
22.5	22.56	0.020716269	C1	L1	12	0
24.5	24.52173913	0.015878553	C1	L1	12	0.073333333
-1.5	-1.953488372	0.001288975	C2	L1	10	0
0.5	0.226415094	0.001011966	C2	L1	10	0.073333333
2.5	2.037735849	0.000349165	C2	L1	19	1.166666667
4.5	3.849056604	0.000738869	C2	L1	24	2.313333333
6.5	5.660377358	0.000136467	C2	L1	26	2.786666667
8.5	7.471698113	0.002818359	C2	L1	27	2.206666667
10.5	9.283018868	0.003203857	C2	L1	26	0.866666667
12.5	11.09433962	0.013031168	C2	L1	21	0
14.5	13.11627907	0.004343218	C2	L1	18	0
16.5	15.34883721	0.00188934	C2	L1	14	0
18.5	17.58139535	0.000705662	C2	L1	14	0
20.5	19.81395349	0.001129971	C2	L1	13	0
22.5	22.04651163	0.001006692	C2	L1	12	0
24.5	24.22641509	0.000292602	C2	L1	12	0.073333333
-1.5	-1.953488372	0.005813609	C2	L1	10	0
0.5	0.226415094	0.002763238	C2	L1	10	0.073333333
2.5	2.037735849	0.002789883	C2	L1	19	1.166666667
4.5	3.849056604	0.001488223	C2	L1	24	2.313333333
6.5	5.660377358	0.000975355	C2	L1	26	2.786666667
8.5	7.471698113	0.007140285	C2	L1	27	2.206666667
10.5	9.283018868	0.027259451	C2	L1	26	0.866666667
12.5	11.09433962	0.042411485	C2	L1	21	0
14.5	13.11627907	0.03002174	C2	L1	18	0
16.5	15.34883721	0.007894942	C2	L1	14	0
18.5	17.58139535	0.004469893	C2	L1	14	0
20.5	19.81395349	0.003694348	C2	L1	13	0
22.5	22.04651163	0.00447788	C2	L1	12	0
24.5	24.22641509	0.002810119	C2	L1	12	0.073333333
-1.5	-1.953488372	0.007177417	C2	L1	10	0
0.5	0.226415094	0.005809549	C2	L1	10	0.073333333
2.5	2.037735849	0.00233527	C2	L1	19	1.166666667
4.5	3.849056604	0.001251089	C2	L1	24	2.313333333
6.5	5.660377358	0.002200998	C2	L1	26	2.786666667
8.5	7.471698113	0.00805853	C2	L1	27	2.206666667
10.5	9.283018868	0.022837073	C2	L1	26	0.866666667
12.5	11.09433962	0.049934823	C2	L1	21	0
14.5	13.11627907	0.035292373	C2	L1	18	0
16.5	15.34883721	0.012443198	C2	L1	14	0
18.5	17.58139535	0.009622826	C2	L1	14	0
20.5	19.81395349	0.004294669	C2	L1	13	0
22.5	22.04651163	0.004103474	C2	L1	12	0
24.5	24.22641509	0.003086341	C2	L1	12	0.073333333
