ZT	CT	Tyrosine	Campo	Organ	Temperature	Light
-1.5	-1.44	0.427910158	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	0.325865888	C1	L1	10	0
0.5	0.52173913	0.755136053	C1	L1	10	0.073333333
0.5	0.52173913	1.641880609	C1	L1	10	0.073333333
0.5	0.52173913	1.079398519	C1	L1	10	0.073333333
2.5	2.608695652	0.633873295	C1	L1	19	1.166666667
2.5	2.608695652	1.121204613	C1	L1	19	1.166666667
2.5	2.608695652	2.144741647	C1	L1	19	1.166666667
4.5	4.695652174	0.3084225	C1	L1	24	2.313333333
4.5	4.695652174	0.800664611	C1	L1	24	2.313333333
4.5	4.695652174	0.167684788	C1	L1	24	2.313333333
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	-1.716156828	C1	L1	26	2.786666667
6.5	6.782608696	-1.526573747	C1	L1	26	2.786666667
8.5	8.869565217	-1.421819179	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	-0.035800737	C1	L1	27	2.206666667
10.5	10.95652174	-0.120566737	C1	L1	26	0.866666667
10.5	10.95652174	-1.29975851	C1	L1	26	0.866666667
10.5	10.95652174	-0.040485618	C1	L1	26	0.866666667
12.5	12.96		C1	L1	21	0
12.5	12.96	-1.317666234	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-0.897851987	C1	L1	18	0
14.5	14.88	-0.872539921	C1	L1	18	0
14.5	14.88		C1	L1	18	0
16.5	16.8	0.537112784	C1	L1	14	0
16.5	16.8	0.473357612	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.746349228	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-0.733587646	C1	L1	14	0
20.5	20.64	-0.602286059	C1	L1	13	0
20.5	20.64	1.158199934	C1	L1	13	0
20.5	20.64	1.610751042	C1	L1	13	0
22.5	22.56	-0.68491801	C1	L1	12	0
22.5	22.56	-0.115539675	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-0.572278071	C1	L1	12	0.073333333
24.5	24.52173913	-0.482025865	C1	L1	12	0.073333333
-1.5	-1.953488372	0.147467591	C2	L1	10	0
-1.5	-1.953488372	1.284553842	C2	L1	10	0
-1.5	-1.953488372	1.197012576	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	1.92743484	C2	L1	10	0.073333333
0.5	0.226415094	2.038652665	C2	L1	10	0.073333333
2.5	2.037735849	0.383550125	C2	L1	19	1.166666667
2.5	2.037735849	0.520357467	C2	L1	19	1.166666667
2.5	2.037735849		C2	L1	19	1.166666667
4.5	3.849056604	1.237345557	C2	L1	24	2.313333333
4.5	3.849056604		C2	L1	24	2.313333333
4.5	3.849056604	1.020625687	C2	L1	24	2.313333333
6.5	5.660377358	1.277313604	C2	L1	26	2.786666667
6.5	5.660377358	-0.786869803	C2	L1	26	2.786666667
6.5	5.660377358	0.099603985	C2	L1	26	2.786666667
8.5	7.471698113	-0.446032948	C2	L1	27	2.206666667
8.5	7.471698113	-0.174964896	C2	L1	27	2.206666667
8.5	7.471698113	-0.230766393	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	-1.735929933	C2	L1	26	0.866666667
10.5	9.283018868	-0.907120971	C2	L1	26	0.866666667
12.5	11.09433962	-1.810226799	C2	L1	21	0
12.5	11.09433962	-2.002534726	C2	L1	21	0
12.5	11.09433962	-1.758969217	C2	L1	21	0
14.5	13.11627907	-0.854750357	C2	L1	18	0
14.5	13.11627907	-0.178747032	C2	L1	18	0
14.5	13.11627907	-0.889748728	C2	L1	18	0
16.5	15.34883721	0.023523798	C2	L1	14	0
16.5	15.34883721	-0.073667373	C2	L1	14	0
16.5	15.34883721	0.160254199	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	0.216944439	C2	L1	14	0
18.5	17.58139535	-0.058927784	C2	L1	14	0
20.5	19.81395349	0.204228782	C2	L1	13	0
20.5	19.81395349	-0.977823058	C2	L1	13	0
20.5	19.81395349	-0.266502511	C2	L1	13	0
22.5	22.04651163		C2	L1	12	0
22.5	22.04651163	0.514212176	C2	L1	12	0
22.5	22.04651163	0.448191644	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	0.227286791	C2	L1	12	0.073333333
24.5	24.22641509	0.225022761	C2	L1	12	0.073333333
