Time	Day_night	Malate	C6H12O6 [Talose|Altrose|Gulose]	myo-Inositol	2-Hydroxypyridine	Similar too Succite	C5H10O5 [Ribose|Ribulose]	Glutamate	C18H32O16 [Raffinose|1-Kestose|Inulotriose]	Glycerol	Glycerate	Threote	5-Oxoproline	Citrate	Caffeate	Orthophosphate	Urea	C5H10O5 [Xylose|Arabinose|Lyxose]	Tagatose	Shikimate	Isocitrate	Tryptophan	5-Caffeoylquite	Benzoate	C4H4O4 [Fumarate|Maleate]	Similar to Pipecolate	Aspartate	Dehydroascorbate	4-Coumarate	Sucrose	Alanine	Pyruvate	Proline	Similar to Nicotite	Putrescine	4-Hydroxybenzoate	Quite	Fructose [|Psicose]	cis-aconitate	Gulose	Itacote	Trehalose	Melibiose	Galactinol	Leucine	Similar to Ribote	Glucose	Tetradecanoate	Maltose	Valine	Serine	Threonine	Diethanolamine	Tyrosine	Glycine	4-Aminobutanoate	Methionine	C6H12O6 [Sorbose|Tagatose]	C6H10O7 [2-Keto-[Glucon|Gulon]ate]	Isoleucine	Phenylalanine	b-Alanine	Spermidine	C6H12O5 [Fucose|Epifucose]
ZT01a	day	0.907141282	0.988089751	0.847626772	0.93669184	0.684426431	0.763745638	0.674648417	0.927151079	0.893914831	1.019643475	0.964638354	0.753933109	0.784100845	0.807160825	0.698080129	1.040074146	0.91250603	1.016180101	1.058330765	1.027616151	1.009813985	1.014677619	0.933809935	1.002049755	0.855052092		1.199233179	0.882867841	0.890187534	0.864822474	0.874215561	1.177051777		0.808901259	0.906209853	1.040597834	1.0519463	1.063568867	0.933104584	0.950680824	0.936970978	0.8614875	0.979644569	1.75032366	0.698888137	1.222570452	0.76676168	1.044868038	1.108165942	0.783958639	0.967570493	0.865744625	1.283813552	1.28834985	0.712316101	1.037716355	0.961525411	1.142975195	1.43487167	1.515937151	1.286766612	0.946522353	0.884099103
ZT01b	day	0.749602809	0.877927425	1.247726066	1.122754577	0.850076475	1.009209139	0.952579504	0.857264015	1.005619019		1.013362949	1.032288248	1.176709901				0.936451901	0.925672202	0.987055068	0.896630574	1.014422787	1.119760815		1.092070734	1.026520812	0.462228252	1.107560382		0.935069554	1	1.227293685		0.736143215	1.36244874		0.988867747	0.978983208	1.262876839	0.964159853		0.950567796		1.064754511	1.809015354		1.052954252		0.894293752	1.228154183	1.042611445	1.146171295		1.601066433	1.301245102	0.854010839		0.909345067	1.365143341	1.507358716		0.979273274		
ZT01c	day	0.590673758	0.916048506	0.986744207	1.06411442	0.509128789	0.876780328	0.829749444	0.977741009	1.024341414	1.0864281	0.734131473	0.826801946	0.82870493	0.898059074	0.606396772	1.108196939	0.792076041	0.847570225	0.84917252	0.990712198	0.804668454	0.960915237	0.739216209	0.599117809	0.456287328	0.40666678	1.428020276	0.761882893	0.878834538	1.098986131	1.281963939	1.130690341	0.601026594	1.199067754	0.612690506	0.713065797	1.147815745	0.640862054	0.979786346	0.495251802	1.001274315	0.937032066	0.928812144	1.690657397	1.000756589	0.801288639	0.989813146	1.117006634	1.176363926	1.001734546	0.99925083	0.748749403	1.399825768	1.000394393	0.50343242	1	1.00201194	0.969263783	1.438243002	1.811540985		0.82958318	
ZT03a	day	1.008037615	1.103297054	1.089563561	1.107329788	1.060992531	1.14179479	1.125775276	0.667767414	1.349138058	1.866216992	0.902279701	1.180120812	1.060585765	1.185027439	1.063823683	1.903610518	0.965127384	1.441664296	0.966756242		1.320100833	1.022529475	1.338571104	1.451973104		0.476004591	1.040299909	1.222836763	0.710863005	2.048725277	2.853358796	1.545995964	0.75930962	0.765679879	1.563495707	0.764259894	0.854281136	1.445081191	0.838484105	1.923320459	1.004081266	1.401967833	1.300695206	1.291375109	1.491375421	0.808887297	1.263226625		1.269195674	0.948695391	0.699380309	1.270212633	1.240429062	1.262203764	1.230604809	1.310707422	1	1.025793554	1.043255878	1.749781202	0.925578123		1.79155533
ZT03b	day	0.979521629	0.909569597	0.879241465	0.858723253	0.678961112	1.088996769	1.019605014	0.875526184	0.87546571	1.365126735	0.647725604	1.019826062	0.778765248	1.068928717	0.824731439	1.392479879	1.122048634	1.156700735	0.7308181	0.886535753	1	1.237579488	0.877694293	1.015176919	0.812474173	0.390916637	1.000924187	1.042450183	0.849379737	2.124216422	2.182881599	1.078279554	0.59984631	0.847573387	0.847480945		0.914580383	1.219308264	1.259638072	0.957286413	0.998725685	1.018638438	1.130819951	1.379022505	0.915299422		0.776807457	0.667940492	1.447682627	1.23194266	1.134638953	0.898735215	1.414782842	2.558532611		0.801356243	0.875891012		1.388114105	1.667926776	0.66227433	1.399354789	0.896119869
ZT05a	day	1.024069866	0.786530413	0.717179666	1.334608524	0.900860254	1.040182751	1.457520636	0.839289193	0.788516642	1.350927876	1.172768961	1.285575178	0.871448444	0.715273605	1.091963906		0.752147709	1.063947071	0.693794895	0.789516827	0.985775432	0.843273784	0.618035195	0.708089394	1.436675018	0.417907953	1.599356588	0.684698206	0.843841258	2.729465629	2.425984445	1.525380853	0.663252232	1.211848357	0.615384487	0.710918163	0.944468071	0.63656937	0.813484379	0.446888875	0.820526561	0.844856041	0.789006445	2.233363873	1.200859395	0.656093903	0.967838656	0.660958252	1.679545809	1.384475372	1.714442942	0.923761919	1.123991694	2.464145734	0.917887338	1.72119176	0.81591301	0.900885429	2.042206882	1.725728905		1.390685247	0.743033033
ZT05b	day	1.327103789	1.039857003	0.97261091	1.445874008	1.125552686	1.480022725	1.285505444	1.223793974	1.124719398	1.847611861	1.200105941	1.274131991	0.865161715	1.343673592	1.199950846	1.884632595	1.291241499	1.161857516	0.804494108	1	1.013726514	0.999526159	1.180774732	1.06000101	1.320868957	0.499957486	1.719844136	1.031283425	1.162883538	2.621943141	3.686575134	1.736936266	0.782623957	1.580708035	0.897342815			0.818594123	1.207901338	0.941155866	1.219117782	1.147515072	0.993733414	2.203205002	1.216179393		1.402427233	0.798597629	1.89139585	1.623534851	1.768517718	1.33868447	1.300102421	2.643387818			1.126948275		1.97093532	1.754141559	1.406868193	1.367811573	0.949901212
ZT05c	day	1.182533476	0.943207776	1.004071822	1.074886369	1.056387943	1.377948728	1.534038829	1.307500719	1.23701148	1.878773583	1.1071916	1.42254344	0.991878601	1.048683327	1.439270219	1.916418706	1.006555032	1.184039268	0.832279253	0.931937106	0.770803167	0.837985305	1.014214951	0.997950245	1.142791083	0.44267187	1.514106288	1.087709367	1.345500791	2.551640973	2.872857612	1.41347626	0.713358479	0.955227176	0.94789031	0.708584013	1.130517034	0.834812223	1.045157814	0.876471834		1.152559682		1.305126178	1.224627415	1	1.257293599		1.40277906	1.367913795	1.287968852	1.388939703	1.073639601	1.399306113	1.33844663	1.16589373		1.16246556	1.26875112	1.632761546	0.928990438	1.576819324	0.890007093
ZT07b	day	1.035538645	0.95883415	0.654499058	1.109444534	1	1.015492057	0.847215835	0.964803342		1.278235369	0.632257914	0.828323944	0.631589333	0.88832745	0.581246682	1.303847465	1.196013125	0.865836337	0.87900053	0.951861206		0.793106312	0.803334777	0.686439914	0.854873472	0.321736139	1.285054231	0.61244647	0.938698067		2.705916949	1.350566407	0.520397532	0.489297476	0.446104715	0.63699008	1.139544141	0.77808793	1.095762177	0.332560969	0.834317217	0.919324528	0.589188218		1.059765658	1.118584243	1.006851337	0.544536961		1.330163979	1.478078054	0.715489205	0.399652738		2.273491117	0.716427287		0.91724685					
ZT07c	day	1.065516301	0.869358213	0.774934769	0.992859419	0.70268674	1.005203049	0.901103572	1.054319766	0.872165014	1.331607751	0.754682553	0.855181426	0.76625173	0.830783769	1.069311786	1.358289273	0.756747244	1	0.784099563	0.841772066	0.56730062	0.792666038	0.747339806	0.635224767	0.622680304	0.263752495	1.109018302	0.729828297	0.974781796	2.270362051	2.490237772	0.935192397	0.415891102	0.72944406	0.598671512	1.078778721	1.046561803	0.718567278	0.858099236	0.5291913	0.786379153	0.681103399	0.706733322	0.791550303	0.947960467	0.686296431	0.680606453	0.931507001	0.859232586	0.830855047	0.848607298	1.066251986	0.467480365	0.652976817		0.881271262	0.912472155	0.707289189	0.651960707	0.571777827	1.097401558	0.979581673	0.596589196
