Metabolites	C1	C2	Shift
Sucrose	14.33	8.32	-6.01
myo-Inositol	18.84	15.8	-3.04
Tyrosine	1.19	0.37	-0.82
Pyruvate	4.8	4.35	-0.45
Phenylalanine	2.17	2.03	-0.14
Citrate	12.89	16.51	3.62
Valine	4.15	6	1.85
Alanine	5.79	7.66	1.87
Isoleucine	3.16	6	2.84
Leucine	2.83	5.67	2.84
Glycerate	4.47	8.65	4.18
Malate	4.8	8.99	4.19
Aspartate	16.89	22.21	5.32
Glycine	3.16	8.99	5.83
GABA	7.43	13.29	5.86
Threonine	5.46	15.28	9.82
Serine	4.8	15.28	10.48
Tagatose	4.15	15.28	11.13
5-Oxoproline	4.47	16.28	11.81
Glutamate	4.8	16.94	12.14
