CT	CESA	Campo
-1.44	1.960331558	C1
-1.44	0.533984158	C1
0.52173913	1.49164557	C1
0.52173913	0.768214433	C1
2.608695652	1.13635499	C1
2.608695652	1.952892098	C1
4.695652174	-0.390537841	C1
4.695652174	-0.390537841	C1
6.782608696	-0.402711503	C1
6.782608696	-0.906791286	C1
8.869565217	-0.827211606	C1
8.869565217	0.531955215	C1
10.95652174	-3.17379768	C1
10.95652174	-1.228266138	C1
12.96	-3.17379768	C1
12.96	-0.836454572	C1
14.88	-0.57697522	C1
14.88	-0.958867507	C1
16.8	-0.529407763	C1
16.8	-0.014957824	C1
18.72	-0.871172052	C1
20.64	-0.441486871	C1
-1.953488372	0.854182491	C2
-1.953488372	0.178297566	C2
0.226415094	0.81180726	C2
0.226415094	1.42412934	C2
2.037735849	1.171996719	C2
2.037735849	1.167759196	C2
3.849056604	1.402941725	C2
3.849056604	0.627475008	C2
5.660377358	-0.254565413	C2
5.660377358	-0.399912454	C2
7.471698113	-1.283647884	C2
7.471698113	-0.285075579	C2
9.283018868	-1.262460269	C2
9.283018868	-1.961651571	C2
11.09433962	-1.41712986	C2
11.09433962	-1.448911283	C2
13.11627907	-0.022984779	C2
13.11627907	-0.921339664	C2
15.34883721	-0.917102141	C2
15.34883721	-0.341328698	C2
17.58139535	-0.172569342	C2
17.58139535	-0.60988172	C2
19.81395349	1.735587284	C2
19.81395349	-0.282533065	C2
