CT	ERF11	Campo
-1.44	-0.737710668	C1
-1.44	-1.110904683	C1
0.52173913	-0.854781875	C1
0.52173913	-1.110904683	C1
2.608695652	2.598424803	C1
2.608695652	1.794288999	C1
4.695652174	0.187514264	C1
4.695652174	-0.21687773	C1
6.782608696	-0.129428848	C1
6.782608696	-0.484345258	C1
8.869565217	0.179084507	C1
8.869565217	-0.033471426	C1
10.95652174	-0.524366908	C1
10.95652174	-0.501913817	C1
12.96	-0.487181438	C1
12.96	-1.110904683	C1
14.88	-0.789234604	C1
14.88	-1.110904683	C1
16.8	-1.110904683	C1
16.8	-1.110904683	C1
18.72	-1.110904683	C1
20.64	-1.110904683	C1
-1.953488372	-1.291756911	C2
-1.953488372	-1.268351883	C2
0.226415094	0.009562626	C2
0.226415094	-1.280054397	C2
2.037735849	-0.472580944	C2
2.037735849	-0.63056488	C2
3.849056604	0.705277072	C2
3.849056604	0.363563669	C2
5.660377358	1.127152695	C2
5.660377358	0.963902627	C2
7.471698113	1.575358974	C2
7.471698113	1.288647386	C2
9.283018868	1.873773077	C2
9.283018868	1.628020287	C2
11.09433962	0.344254521	C2
11.09433962	1.01246806	C2
13.11627907	-0.297043236	C2
13.11627907	0.491355119	C2
15.34883721	0.30095522	C2
15.34883721	-0.006820894	C2
17.58139535	-0.70663122	C2
17.58139535	-0.080546731	C2
19.81395349	-1.163029259	C2
19.81395349	-1.10451669	C2
