CT	FT	Campo
-1.44	1.462314855	C1
-1.44	1.366267017	C1
0.52173913	1.263643514	C1
0.52173913	1.48850972	C1
2.608695652	1.352145506	C1
2.608695652	0.832775716	C1
4.695652174	-0.786993992	C1
4.695652174	-0.830436504	C1
6.782608696	-0.928963691	C1
6.782608696	-0.87075288	C1
8.869565217	-0.990839627	C1
8.869565217	-1.22907276	C1
10.95652174	-0.966800718	C1
10.95652174	-1.22907276	C1
12.96	-0.631226174	C1
12.96	-0.78365226	C1
14.88	-0.453683201	C1
14.88	-0.757457395	C1
16.8	-0.468343702	C1
16.8	-0.636184873	C1
18.72	1.170075025	C1
20.64	0.169603665	C1
-1.953488372	0.526223345	C2
-1.953488372	0.88730632	C2
0.226415094	1.059660962	C2
0.226415094	1.398337834	C2
2.037735849	1.200129996	C2
2.037735849	1.674105262	C2
3.849056604	0.296474607	C2
3.849056604	0.556385407	C2
5.660377358	-0.695771069	C2
5.660377358	-0.687153336	C2
7.471698113	-1.824693975	C2
7.471698113	-1.574779744	C2
9.283018868	-1.505837887	C2
9.283018868	-2.065990474	C2
11.09433962	-0.911214371	C2
11.09433962	-0.919832103	C2
13.11627907	-0.265746236	C2
13.11627907	-0.326070361	C2
15.34883721	-0.246787226	C2
15.34883721	-0.235584174	C2
17.58139535	-0.085635635	C2
17.58139535	0.025533109	C2
19.81395349	0.72356941	C2
19.81395349	-0.088220955	C2
