CT	POP2	Campo
-1.44	0.284467583	C1
-1.44	2.433276418	C1
0.52173913	-0.30531861	C1
0.52173913	0.330974021	C1
2.608695652	0.852057521	C1
2.608695652	0.441955294	C1
4.695652174	-1.591644411	C1
4.695652174	-1.821005708	C1
6.782608696	-1.622296381	C1
6.782608696	-0.790465317	C1
8.869565217	0.509601022	C1
8.869565217	0.166087559	C1
10.95652174	-0.695338512	C1
10.95652174	-0.108723212	C1
12.96	-0.271495746	C1
12.96	-0.696395476	C1
14.88	0.180885062	C1
14.88	1.291754755	C1
16.8	0.049821463	C1
16.8	0.959867901	C1
18.72	-0.399388451	C1
20.64	0.801323225	C1
-1.953488372	-0.7114909	C2
-1.953488372	-0.506306763	C2
0.226415094	-0.746267872	C2
0.226415094	-0.304600323	C2
2.037735849	-1.379208769	C2
2.037735849	-0.558472221	C2
3.849056604	-1.570482117	C2
3.849056604	-0.37067657	C2
5.660377358	-1.50440587	C2
5.660377358	-0.132802079	C2
7.471698113	-1.097515293	C2
7.471698113	-0.042729721	C2
9.283018868	-0.892331156	C2
9.283018868	-0.066378062	C2
11.09433962	1.691597892	C2
11.09433962	1.121255545	C2
13.11627907	1.698553286	C2
13.11627907	1.576833883	C2
15.34883721	0.351293376	C2
15.34883721	1.576833883	C2
17.58139535	-0.041686412	C2
17.58139535	0.853472857	C2
19.81395349	0.999536141	C2
19.81395349	1.083000875	C2
