CT	SOC1	Campo
-1.44	1.294810819	C1
-1.44	0.595433295	C1
0.52173913	0.534617858	C1
0.52173913	0.884869726	C1
2.608695652	0.502520822	C1
2.608695652	0.775627182	C1
4.695652174	-0.28920607	C1
4.695652174	-0.532467817	C1
6.782608696	0.446773338	C1
6.782608696	-0.931709898	C1
8.869565217	-1.465534289	C1
8.869565217	-1.577592362	C1
10.95652174	-0.788117894	C1
10.95652174	-1.398524687	C1
12.96	-0.625943396	C1
12.96	-0.80106933	C1
14.88	0.277841569	C1
14.88	-0.172080043	C1
16.8	2.658090196	C1
16.8	0.256443545	C1
18.72	0.000230362	C1
20.64	0.354987077	C1
-1.953488372	0.136796375	C2
-1.953488372	0.37913473	C2
0.226415094	0.270812381	C2
0.226415094	1.178897868	C2
2.037735849	0.790152241	C2
2.037735849	-0.056179383	C2
3.849056604	0.038577363	C2
3.849056604	0.031085911	C2
5.660377358	-1.236589281	C2
5.660377358	-1.341874555	C2
7.471698113	-1.185971361	C2
7.471698113	-1.773139234	C2
9.283018868	-1.161674759	C2
9.283018868	-1.785287535	C2
11.09433962	-0.48946878	C2
11.09433962	-0.920733459	C2
13.11627907	-0.54616085	C2
13.11627907	-0.959203079	C2
15.34883721	0.101950999	C2
15.34883721	0.085550793	C2
17.58139535	0.300373246	C2
17.58139535	1.11410693	C2
19.81395349	1.314553894	C2
19.81395349	0.923783551	C2
