CT	SVP	Campo
-1.44	1.472094251	C1
-1.44	1.293425778	C1
0.52173913	1.035427562	C1
0.52173913	1.562723186	C1
2.608695652	0.340762657	C1
2.608695652	0.724935183	C1
4.695652174	-0.601307471	C1
4.695652174	-0.132155606	C1
6.782608696	-0.344721654	C1
6.782608696	-1.10788791	C1
8.869565217	-1.310096366	C1
8.869565217	-0.985244598	C1
10.95652174	-0.943578827	C1
10.95652174	-0.933692034	C1
12.96	-0.450651579	C1
12.96	-0.712416192	C1
14.88	-0.548107109	C1
14.88	0.115485018	C1
16.8	-0.807753124	C1
16.8	0.01355689	C1
18.72	2.269393482	C1
20.64	0.049808464	C1
-1.953488372	-0.050245564	C2
-1.953488372	1.010692822	C2
0.226415094	1.26680117	C2
0.226415094	1.039361667	C2
2.037735849	1.148303278	C2
2.037735849	1.165504585	C2
3.849056604	1.97396601	C2
3.849056604	1.089054332	C2
5.660377358	1.293558759	C2
5.660377358	0.945710107	C2
7.471698113	0.597861456	C2
7.471698113	0.227077729	C2
9.283018868	-0.453329523	C2
9.283018868	-0.008006799	C2
11.09433962	-1.160494363	C2
11.09433962	-1.08404411	C2
13.11627907	-0.80308943	C2
13.11627907	-0.489643393	C2
15.34883721	-0.577561184	C2
15.34883721	-1.347797483	C2
17.58139535	-0.01756308	C2
17.58139535	-0.568004902	C2
19.81395349	-2.100832475	C2
19.81395349	-0.389493561	C2
