CT	VRLK1	Campo
-1.44	-0.873927746	C1
-1.44	-1.494791195	C1
0.52173913	-0.930495524	C1
0.52173913	-1.494791195	C1
2.608695652	-0.746477482	C1
2.608695652	-1.494791195	C1
4.695652174	0.428809426	C1
4.695652174	-1.494791195	C1
6.782608696	1.753857798	C1
6.782608696	-0.448632828	C1
8.869565217	0.871973048	C1
8.869565217	-0.102611778	C1
10.95652174	2.47334465	C1
10.95652174	-0.602145734	C1
12.96	0.055738512	C1
12.96	-0.559300331	C1
14.88	-0.406281036	C1
14.88	-0.77520562	C1
16.8	-0.138645353	C1
16.8	-1.494791195	C1
18.72	-1.494791195	C1
20.64	-1.494791195	C1
-1.953488372	-0.201672484	C2
-1.953488372	-0.428223963	C2
0.226415094	-0.751093736	C2
0.226415094	-0.43229375	C2
2.037735849	-0.053803554	C2
2.037735849	-1.566407743	C2
3.849056604	0.716742795	C2
3.849056604	-1.083459679	C2
5.660377358	1.462870422	C2
5.660377358	0.857828747	C2
7.471698113	0.669261946	C2
7.471698113	1.55783212	C2
9.283018868	1.584964034	C2
9.283018868	0.486121529	C2
11.09433962	1.381474681	C2
11.09433962	0.563447483	C2
13.11627907	0.780502793	C2
13.11627907	-0.239250184	C2
15.34883721	-0.05516015	C2
15.34883721	-0.285374437	C2
17.58139535	-0.030741427	C2
17.58139535	-0.833846073	C2
19.81395349	1.544266163	C2
19.81395349	-1.368344773	C2
