Pathway	expressed C1	expressed C2	expressed_all	rhythmic_C1	rhythmic_C2	prop_C1	prop_C2	C1_C2
Transcription Factors	333	372	517	197	275	0.591591592	0.739247312	0.80026208
Protein Synthesis	308	326	380	125	267	0.405844156	0.819018405	0.495525074
Chromatin remodelling	176	202	270	68	137	0.386363636	0.678217822	0.569674851
RNA synthesis and proccessing	194	205	233	76	141	0.391752577	0.687804878	0.56956935
Carbohydrate Metabolism	130	134	176	69	96	0.530769231	0.71641791	0.740865385
Cell Wall Synthesis/ Cell Expansion	87	95	168	55	73	0.632183908	0.768421053	0.822705086
Amino Acid Metabolism	113	118	141	61	95	0.539823009	0.805084746	0.670517
Transporters	111	117	123	66	101	0.594594595	0.863247863	0.688787798
Protein Degradation	96	97	113	41	67	0.427083333	0.690721649	0.618314677
ABA/drought signalling	89	91	102	60	75	0.674157303	0.824175824	0.817977528
Auxin Signalling	60	67	84	37	48	0.616666667	0.71641791	0.860763889
Photosynthesis	56	59	77	26	32	0.464285714	0.542372881	0.856026786
Lipid Metabolism	49	52	66	27	43	0.551020408	0.826923077	0.666350261
Jasmonate Signalling	39	42	51	13	28	0.333333333	0.666666667	0.5
Light Harvesting	41	43	48	21	21	0.512195122	0.488372093	1.048780488
DNA replication	24	29	45	16	23	0.666666667	0.793103448	0.84057971
Redox	28	30	44	16	23	0.571428571	0.766666667	0.745341615
RNA degradation	25	28	35	10	18	0.4	0.642857143	0.622222222
Vesicle Trafficking	33	33	34	21	24	0.84	0.857142857	0.98
Flowering	25	26	32	18	21	0.72	0.807692308	0.891428571
Brassinosteroid Signalling	18	19	24	12	14	0.666666667	0.736842105	0.904761905
Photorespiration	17	19	24	9	15	0.529411765	0.789473684	0.670588235
Pigment Synthesis	22	23	24	13	20	0.590909091	0.869565217	0.679545455
Light Signalling	15	15	19	9	12	0.6	0.8	0.75
Cytokinin Signalling	8	8	16	3	5	0.375	0.625	0.6
Nitrogen Metabolism	9	9	14	5	8	0.555555556	0.888888889	0.625
Ethylene Signalling	7	9	12	5	5	0.714285714	0.555555556	1.285714286
Circadian Clock	11	11	11	11	11	1	1	1
Gibberellin Signalling	6	6	8	6	6	1	1	1
