CT	CDF1	Campo
-1.44	1.536409232	C1
-1.44	1.483378443	C1
0.52173913	1.948334526	C1
0.52173913	2.254558508	C1
2.608695652	0.476802202	C1
2.608695652	0.296670448	C1
4.695652174	-0.57754498	C1
4.695652174	-0.548363635	C1
6.782608696	-0.646139152	C1
6.782608696	-0.635547404	C1
8.869565217	-0.668475489	C1
8.869565217	-0.642248306	C1
10.95652174	-0.689658983	C1
10.95652174	-0.656514741	C1
12.96	-0.681444975	C1
12.96	-0.657595531	C1
14.88	-0.653776738	C1
14.88	-0.648733049	C1
16.8	-0.632881454	C1
16.8	-0.611409749	C1
18.72	1.201075958	C1
20.64	-0.246895132	C1
-1.953488372	0.889488466	C2
-1.953488372	1.115560179	C2
0.226415094	1.152688745	C2
0.226415094	1.495096631	C2
2.037735849	1.144437952	C2
2.037735849	1.301203009	C2
3.849056604	0.58404413	C2
3.849056604	0.612921903	C2
5.660377358	-0.369582461	C2
5.660377358	-0.150936461	C2
7.471698113	-1.153407742	C2
7.471698113	-0.769745894	C2
9.283018868	-1.182285516	C2
9.283018868	-1.23179027	C2
11.09433962	-1.322548987	C2
11.09433962	-1.293671214	C2
13.11627907	-0.860504611	C2
13.11627907	-0.996642686	C2
15.34883721	-0.716115743	C2
15.34883721	-0.938887139	C2
17.58139535	-0.777996686	C2
17.58139535	-0.868755403	C2
19.81395349	0.258715384	C2
19.81395349	-0.084930121	C2
