CT	FLD	Campo
-1.953488372	-0.454821606	C2
-1.953488372	-0.068489932	C2
0.226415094	-0.545895992	C2
0.226415094	-3.066599989	C2
2.037735849	-0.215384105	C2
2.037735849	-0.030297448	C2
3.849056604	-1.173134108	C2
3.849056604	-0.293238016	C2
5.660377358	0.372192584	C2
5.660377358	0.488238981	C2
7.471698113	0.967113982	C2
7.471698113	1.362259306	C2
9.283018868	1.081691437	C2
9.283018868	1.381355548	C2
11.09433962	1.463616285	C2
11.09433962	1.250619735	C2
13.11627907	-0.08317935	C2
13.11627907	1.250619735	C2
15.34883721	-0.146343844	C2
15.34883721	0.379537293	C2
17.58139535	0.14847276	C2
17.58139535	0.15451011	C2
19.81395349	-1.465453511	C2
19.81395349	-0.631094612	C2
