Time	Day_night	Orthophosphate	cis-Aconitate	Citrate	Isocitrate	Glutamine	Caffeate	Sucrose	Similar to 2-Hydroxybutanoate	Glutamate	C6H12O5 [Fucose|Epifucose]	Mannose	Shikimate	C6H12O6 [Mannose|Allose]	Alanine	3-Hydroxypyridine	Glycerol	Glycerate	Benzoate	Malate	C5H10O5 [Xylose|Arabinose|Lyxose]	Fructose [|Psicose]	Glucose	Stearate	2-Hydroxypyridine	Ketoglutarate	Tetradecanoate	myo-Inositol	Similar to 4-Caffeoylquite	Valine	Succite	Putrescine	Quite	Dehydroascorbate	Galactinol	Leucine	Threote	Glucarate	4-Coumarate	Serine	Nicotite	Itacote	Tryptophan	C18H32O16 [Raffinose|1-Kestose|Inulotriose]	Pyruvate	Glycine	Threonine	Lysine	Tyrosine	Ribote	Isoleucine	4-Aminobutanoate	5-Oxoproline	Phenylalanine	Melibiose	Aspartate	Tagatose	Trehalose	Methionine	C6H12O6 [Sorbose|Tagatose]
ZT01b	outlier	1.01211701	1.004402804	1.020596959	1.02372451	1.026492592	1.016359673	0.982754487	1.033005553	1.066571833	0.993392272	0.969871161	1.009774372	0.965638536	1.004447791	1.028397428	1.033538367	0.950299087	1.04942585	0.970535564	0.987243069		0.964090712	1.017670247	0.986548853	0.897316389	0.982018712	1.038024542	0.970926023	1.043657197	1.071918066	1.047927831	0.982838083	0.950966686	1.002309981	1.030070738	1.071212935	0.944508153	1.037470455	1.056300693	1.099473003	1.078876432	0.947294132	0.999642526	0.934854618	0.951206579	1.060192826	1.155402894	1.108913811	1.036679943	1.052934294	1.1048737	1.050202026	1.174333379	1.010785596	1.246104584	1.034903634	0.966168254	1.031462245	0.993993577
ZT01c	outlier	1.056109361	1.028254773	1.037490808	1.036670387	1.036697883	1.026377311	0.992344227	1.038216099	1.037045057	1.023243491	0.95240407	0.982035441	0.98642631	0.97221997	1.060089314	1.065995355	0.965154122	1.027152805	1.011642008	0.981702877	0.890140508	0.936866812	1.039400192	1.037355613	1.01642701	1.03247094	1.04762617	1.059108634	1.001158411	1.112650644	1.064099877	0.993147963	1.007946042	1.069718054	0.998833074	1.084806932	1.05554572	1.04109256	1.047496795	1.070416464	1.005417441		1.035962063	1	0.972502357	1.067071703	1.127966863	1.115540877		1.039530651	1.138292373	1.028761974	1.174869299	1.10772951	1.234532848	1.138286076	0.997543127	1.064248115	1.019626046
ZT03a	day	1.02651455	0.994947744	0.960239251	0.976024722	0.976950421	0.980882482	0.991703579	0.983947446	0.951066684	0.998792512	1.054944316	1.023825775	1.010517189	0.982247056	0.992913811	0.96787015	1.020702734	0.979928016	1.02182499	1.006710848	1.03468234	1.024805247	0.988263197	1.029073019	1.008214807	0.990992951	0.973765815	0.997532475	0.909228862	0.865376143	0.936802293	1.057211221	0.916956533	0.975790105	0.886384383	0.954045516	1.029168487	0.998914457	0.905938535	1.03474266	1.050302469	1.034430756	0.944795208	1.247665867	1.088588808	0.874665542	0.982838895	1.016919321	1.02981963	0.868553129	0.918345024	0.93663487	0.962484771	0.974707778		0.966624497	0.956586827	0.889206858	
ZT03b	day	0.997353888	0.98418228	0.964702928	0.987675448	0.988792875	1.003076011	0.989314493	1.010737244	0.948821256	0.994755532	1.036726767	1.010285527	1.011725003	1.032770138	1.019090669	1.001742752	1.031381947	1.032559409	1.002368364	1.036733905	1.018673649	1.013878782	1.036655657	1.009949902	0.990586626	1.017405362	1.003578376	1.001739358	0.981212491	0.948097653	1.016347179	1.022937373	0.950912614	0.997690019	0.970618343	0.983597287	1.026561648	1.05839277	0.937311977	1.066054918	1.095951049	1.0524843	0.963745479	1.317900028	1.08821859	0.865340471	1.041065743	1.025071174	1.030202713	0.921949806	1.027971819	0.948970772	1.006792049	0.980249239	0.862553541	1.003204359	1.020769322	0.992843173	1.003509277
ZT03c	day	1.005525441	0.98472932	0.981005901	1.008957255	1.011463545	0.99939297	0.969825494	1.007068863	0.950532755	1.006958311	1.023871586	1.021760581	1.007875672	1.044420409	1.012332198	1.009321497	1.034377385	1.005122259	0.99057777	1.008285419	1.008356748	1.00358677	1.000361812	0.961140534	1.025856593	1.008182833	1.023479288		0.985164083	0.917470829	1.042147954	1.051532733		1.004572741	1.010232415	0.97092322	1.044159929	1.051886616		1.032602843	0.940166649	0.973568657	1.000357474	1.336182679		0.893292671			0.996123084		1.037687087		1.025374395		0.872167875	1.04301827	1.030001511		1.000109496
ZT05a	day	1.046432582	1.00042802	0.973678626	0.996674417	0.99878637	1.006239918	0.983813312	0.992735805	0.96380718	0.985766528	1.022283252	1.020550004	1.01248566	1.075492509	0.955813523	0.99879255	1.071001082	0.995919055	1.032668292	1.005327821	1.016501046	1.009077325	0.967280975	0.955376084	0.993545207	1.000174203	0.977575674	0.969623634	1.073629738	0.903829584	0.969874398	0.985357876	0.910146006	1.024888113	1.159218673		1.01143332	1.006695997	0.959875579	1.022559123	1.04602254	1.027554621	0.992951968	1.341338055	1.038137895	1.014197231	1.124207376	1.067793893		1.111210576	0.996450555	0.957089901	1.14357798	0.982975764	0.956626569	0.957876908	0.960850908	0.978743491	1.01087175
ZT05b	day	1.009903077	1.014900124	0.993640157	1.004585276	1.004266897	0.969242145	1.009386083	1.016931255	0.965456494	1.018602002	1.019325776	1.028530548	1.000636294	1.088049121	0.999741	1.005772791	1.099876085	0.981849834	1.039233621	1.002397172	0.994687328	0.996984033	0.994654044	0.958498135	1.067604284	0.986184878	0.98544534	0.985736341	1.089416448	0.926045273	1.01331836	0.984484513	0.957501717	1.018228515	1.15992998	1	1	0.942437513	0.991576592	0.944457627	0.847372477	0.985292217	0.957522936	1.389730056		1.053737874	1.119429725		1.012119753	1.153152641		0.965440461		1.009554761			0.961583069	0.998214746	1.00750862
ZT05c	day	1.028801057	1.026331032	0.972757262	1.028087204	1.033399735	1.02290017	1.018909052	1.019849971	0.965816647	0.960600258	0.962894487	0.998317723	0.976460283	1.07582412		0.961579104	1.100128818	1.031613064	1.041891929	0.964383113	0.961883993	0.964060025	0.984236747		1.048889207	0.958813212	0.98244162	1.015889659	1.090564047	0.994092271	0.727399748	0.949495568	1.002382971	1.006908263	1.137812995	0.953471527	0.938680021		0.980247224			1.043576455	1.015475607	1.375789023	0.860457181	0.999104855	0.862038708	1.054880342		1.127374218	0.631246737	0.94581763	1.156884925		0.927412213	0.941269097	1.0039704	1.07550254	1.014699822
ZT07b	day	0.97140491	0.978037667	0.959766016	0.977197626	0.978508456	1.01145797	1.001154857	0.977598257	0.920092532	1.005455406	1.019571415	0.974750711	1.012592183	1.060960954	0.974796328	0.955749806	1.075791996	0.990414386	1.004118532	1.015813663	1.04030016	1.012246019	1.002402034	1.005697324	1.011811656	0.958567303	0.991961968	1.01282462	1.003085012	0.961635398	1.043602799	0.946138165	1.009116027	0.996759045	1.041057096	0.96626425	0.957386418	0.993554698	0.961922007	0.995947511	1.015180676	0.993108304	0.991719704	1.351435125	1.05378748	0.915897543	1.077980172	0.947178243	0.908717592	1.027715308	0.941383053		0.997532572	1.031004137	0.860636705	0.984194751		1.043320703	
ZT07c	day	1.044949609	0.996407109	0.99212334	0.988065993	0.990008059	0.993989087	0.986616775	0.983197635	0.951238395	1.003100863	1.021287479	1.000029339	0.995879237	1.116618702	0.970832508	0.991347354	1.069291891	0.988932188	1.033853811	1.002523327	1.022303964	1.015252665	0.997581214	0.981195724	1.036358623		0.986050878	0.973733437	1.05303704		1.001413327	0.99990128	1.01515288	0.982358048	1.09080893	0.961106086	1.047648727	0.996852104	0.966887892	0.956153066	0.994582559	1.013813881	0.977605742	1.337720603	1.028693171	1.025115719	1.116254629	1	1.039578317	1.076145319	0.997027259		1.04985099	0.988647564	0.909687301	0.982261975	0.992861073	1.049168443	
ZT09a	day	0.993941846	1.008235335	0.975170278	0.995873717	0.995021639	0.979337481	1.025999026	1.013448151	0.938094174	1.008754249	0.988329747	0.989308517	0.989297791	1.173010845	0.992006546	0.996452919	1.090853032	0.990520259	1.032305039	0.997602828	1.000456495	0.996737684	0.984057762	0.951301719	1.078885739	0.970376383	0.960162326	1.012637554	1.102273634	1.066142475	0.940796586	0.932076739	0.996798128	1.01888828	1.080556396	0.989155672	0.919689955	0.971189678	0.954828242	0.901397749	0.918781986	1.00485273	1.006929887		1.081847152	1.078258195	1.042374385	0.967487474	1.0086716	1.115922725		0.941032736	0.997838662	0.988179385	0.82441576	1.007368535	1.00846286	1.01456283	0.998432513
ZT09b	day	0.968900867	0.994430176	0.964078116	0.972248108	0.973589966	0.970661223	1.028816934	1.000588375	1.016741573	0.993976692	0.990604866	0.988813345	1.004875445	1.165290145	1.000622031	0.996986262	1.066874158	0.991490204	1.008214903	1.004952472	1.016837668	0.995592581	0.998339988	1.00581403	0.980969069	1.008746633	0.947935613	0.952134225	1.121597274	1.021243964	0.96196372	0.950857675	1.018622382	1.014880096	1.088577326	1.010878791	0.958569959	0.972698701	1.060724493	0.942772776	0.985480833	0.96461729	1.020113818	1.307886839	1.086295634		0.974041559	0.983639436	0.995083922		1.009282519	1.0087483	1.022207702	1.030717291		1.030227669		1.052709786	0.997359141
ZT09c	day	0.997990413	0.993993672	0.985720514	0.988393234	0.989579271	1.00568971	1.024759988	0.994576575	0.993499847	0.989302333	0.995104613	1.011218151	0.994084312	1.108354367	0.980307109	0.966523691	1.103251844	1.002973221	1.048047234	0.966658378	1.015584369	0.995191096	0.989561438	0.972442457	1.072967522	0.992172442	0.974627233	1	1.083192294	1.050059397	0.91585978		0.972250249	1.059432725	1.076608223	0.975840148		1.013431626	1.029307932			1.000692381	1.040943411	1.4024367	1.057310618	1.03173589	1	0.980314428	1.05107982	1.113692342	1.014555121	0.981507335			0.956230363	1.048240828	1.087144724	0.98296953	1.013071283
ZT11b	day	0.98595674	0.982590738	0.964611243	0.973187028	0.973699119	0.980650944	1.0130248	0.968182358	0.980651467	1.029200749	1.053328973	0.998655177	1.017328813	1.161206005	0.961650093	0.970931934	1.097196253	0.969932386	1.014360498	1.025823572	1.036530588	1.018561802	0.974376943	0.982100699	0.979657048	0.979691788	0.968791334	0.991921735	1.009040011	0.99008418	1.017768962	1.026578571	0.961101903	1.014909448	0.964186162	1.032744399	0.989027938	0.99988393	0.976027669			1.06193194	1.000838473	1.329657019	1.094489126	1.043083382	0.843549314	0.890627192	1.078840211	0.999119326	1.079763765	0.964950929	0.861825671	1.017204093	0.958818297	0.958784519	1.004387807	0.966022454	
ZT11c	day	1.007204694	1.003762709	0.953302152	0.988508001	0.988151596	0.974989099	1.031608103	0.998494428	0.998067361	1.017614315	1.012538441	1	1.002315841	1.13072509	0.994970776	0.998652408	1.096098625	0.936862388	1.029676891	0.994432101	1.002530427	1.003015967	0.962203217	0.972262599	1.099939806	0.986048126	0.981415098	1.080921947	1.031466715	1.019960949	0.987338686	1.012481262	1.0053233	0.968002185	1.029314886	0.980254385	1.072020336	0.917315224	0.969423587	0.855405975	0.772546265	0.966596345	1.020780398	1.364571314	1.041419742	1.05827814	0.887720788	0.940012912	0.998147013	1.123173824	0.950294081	0.981250107	1	1	0.917417227		1.063611637		1.01609238
ZT13a	day	0.990675687	0.993541631	0.953142988	0.977541988	0.9782187	1.00060703	1.007608224	0.964338659	0.964916957	1.035530907	1.070577659	1.006905754	1.004067134	1.028084916	0.982539009	0.960373279	1.060941069	0.994670534	0.99907571	1.019285803	1.035345027	1.031781591	0.980149269	0.970683892	0.971898938	0.982694356	0.975686254	1.012197668	0.966037829	0.973819284	0.961002841	1.066187739	0.962648472	0.981498078	1	0.983016888		0.99507684	1.02994694	1.03279726	1.040445671	1.0576257	0.95832854	1.176834959	1.121033892	0.976895255	0.890932243	0.886200111	1.081105854	1	0.981870918	0.9554081			0.902786342	0.996795641		0.886895234	
ZT13b	day	0.997428577	0.99957198	0.9466422	0.973115936	0.973246145	0.988449304	0.999892814	0.98363651	0.963072856	1.057562218	1.055012784	0.993920596	1.004516618	1.08820591	0.988016842	0.983587393	1.09510446	1.004899931	1.019383068	1.039168423	1.027652739	1.035835413	1.012638811	0.995693959	0.964453419	0.993886582	0.971026645	0.940436619	0.985608549	1.000933989	0.948180789	1.020079126	0.925264805	0.975432232	0.964905553		1.022929014	0.994812628	1.020114404	1.053117494			0.946029231	1.189055397	1.077773241	1.017246793	0.808317869	0.874741179		0.981262736	0.98560555		0.856419011	0.975743499		0.970204348	0.935426065		
ZT13c	day	0.956792625	1.003165676	0.961284133	0.971031253	0.971969523	0.974140008	1.010600393	0.980360724	0.962914674	0.983606714	1.048292782	1.032138613	1.019149906	1.064353287	0.975501266	0.947515025	1.03963376	0.966083904	1.010049719	0.992980414	1.034321325	1.01528403	0.996166751	0.971384497	0.975130077	1.003911532	0.957982661	0.98443851	0.955397334	0.985833892	0.937455107	1.06104759	0.990119733	0.997233523	0.921824413	0.960982853	1.021756673	1.007711385	0.973458624	0.968597137	0.956621137	1.012438651	0.996675379	1.187340212	1.036810759	1.006638778	0.890056162	0.889254364	0.967120807	0.95910294		0.946761212	0.833049138	0.976777512	0.899435067	0.984254081	0.943669004	0.875869883	
ZT15a	night	0.999857419	0.992184005	0.99403546	1.020187689	1.022778247	1.017697239	1.004912914	1.016893401	0.981526654	0.958883753	0.949815955	0.993995226	0.990692023	1.047453594	1.035103299	1.018755199	1.013098024	1.041355902	1.011277391	0.979106426	0.977320253	0.975496658	1.014832846	1.01466969	1.033751421	1.02552617	1.028119063	0.987774955	0.987264373	1.182845425	0.938622652	1.017760609	1.021433061	1.022686858	1.03058664	1.027845709	0.934137397	1.068467653	1.047941303	1.090300156	1.132701838	0.988716888	1.037944336		1.012979666	1.019622576	0.946084397	0.943133487	0.92993772	0.999634997	1.197396802		0.905416411	1.035018032	0.89049749		1.069967599	1.097266552	0.995700992
ZT15b	night	0.996483404	0.969587264	1.023568953	1.022885825	1.027831337	1.02706294	1.019159637	0.953895113	1.039622042	0.990361498	0.946712637	0.983799891	0.989393731	1.060101613	0.967230859	0.98019326	1.005488757	1.021192826	0.985049005	0.978404421	0.982448819	0.975447703	0.999638188		1.002824835	0.958460896	1.063317507	1.027261077	0.96695032			1.04985316	1.034571882	1.032263647	1.051727723	1.073772875	0.967416685	1.043892551		1.128990387	1.123384973			0.998764377	1		0.976142817	0.983414073	1.009267625	1.025368362	1.274358974	1.028954049	0.977911171		0.897602508	1.096000726			0.998095555
ZT15c	night	1.03985926	1.005641043	1.033808631	0.998847163	1.000091799	0.977573269	1.005196604	1.005613751	1	0.997609746	0.977700306	1.012806587	0.990968255	1.037981233	0.997315235	1.00843676	0.987158016	1.013287359	1.053253264	0.986996417	1.001193566	0.962709103	1.009617707	0.98380079	1.013187793	1.024310249	0.98906164	0.903840962	0.978515262	1.179608169	0.971613442	0.981220328	0.985582829	0.960388881	1.013663956	1.041944742	0.988126574	1.033243565	0.996013563	0.969454082	1.049347424	0.969726304	1.010454047	0.990475257	0.94992897	0.998386564	0.976443626	0.94104806		1.007390107	1.321728859	0.990464169	0.974173037	0.955857971		1.065303317	1.084821265	1	0.999890504
ZT17a	night	1.013844368	1.013852306	1.049125287	1.049417069	1.05495409	1.048192741	1.000107186	1.027464032	1.072957566	1.015360722	0.919159815	0.999385201	0.950222308	0.991308286	1.050876749	1.04229233	0.994511243	1.05250321	0.970195976	0.955031754	0.913622712	0.910306036	1.027874967	1.044178686	0.991461659	1.021852666	1.061474682	0.982905634	1.069407311	1.17638129	1.06167147	1.020218238	1.013972153	0.995541387	1.051262958	1.067588305	0.992546012	1.080823649	1.064265421	1.104104419	1.116956893	0.933939463	1.0522405	0.909620457	1.007266476	1.072148153	1.062095872	0.995466658	1.013356894	1.099267962		1.060886066	1.075490645	1.078567414	1.131455262	1.150640072	0.982479192	1.099988454	0.994512278
ZT17b	night	0.990563317	0.998911159	1.022700333	1.0154354	1.016111238	0.971146904	1.010795995	0.98435103	1.060694503	0.995928165	0.955653737	0.985417271	0.972395581	0.968324844	1.008188	1.017541949	0.929991892	0.945808939	0.933128415	0.974501614	0.996914222		0.98734163	1.053860714	1.002483859	0.978516041	1.068489155	1.003233241	1.021839842	1.1107849	1.136266855	0.996862788	1.036032784	0.991142161	1.025550817	1.054313229	0.916530721	0.94339824	1.045617987	0.913031646	0.800412104	0.93278296	1.06703918	0.915227051	1.052289311	1.058541853	0.985919682	0.989675388	0.97686032	1.071507564	1.078157281	1.045812624	0.987228525	1.039518474		1.057335701	1.082208484	1.209321363	0.98810513
ZT17c	night	1.006981563	0.978575816	1.021424852	1.020544202	1.022903603	1.018080104	0.993124825	1.016440777	1.061790254	1.015824527	0.922792825	0.996716436	0.97426081	0.993486216	1.061766973	1.033185297	0.95711642	1.03667095	0.933299201	0.984360099	0.974854435	0.932978551	1.032768106	1.07764724	0.983577709	1.014629891	1.05544182	0.992379904	1.026424089	1.181789759	1.14490887	1.043740925	1.072850335	1.012871127	1.02751967	1.073199397	0.956129564	1.045829418	1.082307481	1.114414752	1.083381133	0.907878695	1.053647454		1.029268613	1.082622727	1.023417897	1.003613926	0.996916279	1.044033304	1.036975176	1.045857627	1.071453041	1.046039887	1.158605437		1.066246621		0.99324116
ZT19b	night	1.029558312	1.010542193	1.035140333	1.016558978	1.017176343	0.981877957	0.995164905	0.989544291	1.060725712	0.986152576	0.994441513	1.022519533	0.996392126	0.965623497	0.980976202	1.008912171	0.924179649	0.959810272	0.969557468	0.993554602	0.993789926	0.994286318	0.991325365	0.973402775	1	0.982461721	1.046500715	1.00738057	0.996142907	1.055247691	0.998586673	1.007974622	0.967091233	1.009231479	0.931373456	0.974703405	0.975882463	0.984084252	1.022192967	0.930490066	0.900891096	0.964978144	1.027572591	0.895775411	0.975417079	0.972404678	1.021952451	1.006991892	0.92164582	0.976648348		1.046828584	0.935114216	0.99576231	1.041181703	1.033501253	1.002456873	1.059846592	0.996810716
ZT19c	night	1.078552367	1.007508977	1.053832088	1.002932185	1.005684455	1.009274466	0.988833045	0.981894748	1.042418461	1.031104534	1.009139816	1.04291063	0.997547603	0.933352141	1.000259	1.005442224	0.956607455	1.031733818		1.019331051	0.999543505	0.993700702	1.021990704	0.990224817	0.958697732	1.011922708	1.041383606	0.910272666	0.9901803	1.097597764	1.028031545		0.954014496	0.995790746	0.922009379	1.063585783			0.993543912			1.012458658	1.005355237	0.878020973	0.957698302	0.991885774	1.013935561	0.990553667	1.008974511	0.925895985	1.081793606	1.028590722	0.922588275	0.954630404	1.13112523	1.046640481	0.962060048	1.039487049	
ZT21a	night	1.028002669	1.004579925	1.026345557	1.006519119	1.007537273	1.014217414	0.976146873	1	1.052011786	1.002656267	1.031268514	1.026773497	1.022503029	0.866457173	1.002461782	1.094519759		1.021918902			0.996599722	1.00534012	1.002617688	1.005654934		0.99819595	1.009602023	0.985671883	1.004451288	0.991576389	0.98591459	1.015074238	0.956084275	0.985950559	0.930998234			1.047789427	1.036139025	1.122815291	1.148023132		0.930509292	0.765291411	0.986626059	1.007713771		1.006234212	1.035053696	0.983733226	1.010882738	1.040093875	1.005289929	0.99142843		0.953460115			1.002805327
ZT21b	night	0.995651955	1.009720733	1.005959709	0.998053863	0.996827619	0.963902305	0.982467451	0.981525361	1.014286696	0.9912549	1	0.983994346	0.988568987	0.828078823	0.973066974	0.977637666	0.945008164	0.930484807	0.979774777	0.963448625	1.026688951	1.012421235	0.979379792	0.971018119	0.929216666	0.966043262	1	0.958042765	0.932689821	0.906495853	0.948340778	0.95662468		0.930914387	0.844278739	1.022948582	0.985437862	0.945469023	0.945692143	0.885191831	0.907566391	1.013405397		0.764024541	0.815515755	0.89705921	0.961426769	0.935800031	1.008152719	0.883756304	0.812128486	1.008811065	0.931723752	0.943571022	1.142839374	0.977006684	0.905161656	0.90040289	
ZT21c	night	1.004249993	0.970033961	1.010674953	0.989733799	0.992567155	0.994286856	0.981845502		1.040800644	0.972298304	0.997991837	0.981830578	0.956331625	0.872937811		1.061905429	0.939747495		0.964816983	0.966065956	0.99263473	0.995049694			0.876489798		0.994177115	0.867148312	1.013069281	0.98615898	0.950969481	0.999432404	0.930573656	0.99290615	0.959596082	0.989464349	1.009771932	1.062719984	1.013691019	1.156848617	1.136619422	0.940475487	0.929843911		0.989217041	0.98806006	0.979668271	0.978185042	0.924337999	1.001547542	1.035991439	1.036122706	1.001827497	0.972022464	1.15934298		0.884405831	0.932474563	0.993154128
ZT23a	night	0.998108694	0.988001617	1.014979911	1.009887132	1.009510901	0.995823699	0.999810336	1.016079977	0.986135584	0.9742813	0.991027502	0.985232505	0.993278091	0.863011324	1.011391485	1.030956643	0.930179804	0.982489481	0.965420888	0.99097235	0.994140175	1.009445573	1.01428456	1.008149904	1.008834946	1.01513079	1.029824194	1.042324831	0.933466073	1.014285562	1.074022084		0.99996587	0.950663713	0.910389875	0.999433912	1.00921314	1	1.007197954	0.926629999	0.85159274	1.00609853	1.014669992	0.889077215	0.957390192	0.97016309	1.093715525	1.002852019	0.970055738	0.944950587	0.888506616	0.977962803	0.979865231	1.062125207	1.177020456	1.106510415	1.047581566	1.101657024	0.987815425
ZT23b	night	0.996665228	0.986096829	1.046257926	1.018777544	1.021542135	1.042328875	1.010601445	1.013010624	1.017537872	0.995425634	0.990106455	0.98263084	1	0.904239315	1.023477787	1.023932621	0.987819792	1.067157231	0.995474145	1.01244907	0.96360382	0.976826366	1.011788079	1.046509819	0.984559285	1.021806832	1.057989196	1.038104766	0.998841589	1.090268226	1.108374439	0.975057974		1.026804836		1.114076815	1.016444017	1.090025572	1.029026368		1.128994233	1.056026221	1.032323756	0.900471129	0.944522051	1.021418652	1.13876461	1.070606864	1.022046642		0.873271043			1.091991947	1.241026124	1.080578378		1.114026191	0.998746672
ZT23c	night	1.030021124	1.023247295	1.055646258	1.017978541	1.020137246	1.002850185	1.000806199	1.009641637	1.004821377	0.980231563	0.954565512	1.012357495	0.985727849	0.877094759	1.019600376	0.98948386	0.946762781	1.035438165	1.015114373	1.006765426	0.976758017	0.944483292	1.013006825	1.010678262	0.963636277	0.989190316	1.028566699	1.003104485	0.977075461	1.062436683	1.034970917	0.954707746	1.00273303	1.029488625	0.943553295	1.117474211	1.049245863	1.070631218	1.003986437	1.062153419	1.151498544	1.065422777	1.013760303	0.83504706	0.90755297	1	1.150177903	1.065390597		0.932428461		1.002111378	1.036652603	1.0461204	1.237143495	0.931332696	1.072988556	1.04466959	0.993850556
