ZT	CT	Sucrose	Campo	Organ	Temperature	Light	LHYTOC1
-1.5	-1.44	-1.136775717	C1	L1	10	0	-1.690259285
-1.5	-1.44	0.372202089	C1	L1	10	0	-1.690259285
-1.5	-1.44	-0.152891254	C1	L1	10	0	-1.690259285
0.5	0.52173913	-0.707329211	C1	L1	10	0.073333333	-0.00840925
0.5	0.52173913	-0.485186113	C1	L1	10	0.073333333	-0.00840925
0.5	0.52173913	-0.763520747	C1	L1	10	0.073333333	-0.00840925
2.5	2.608695652	-1.594894128	C1	L1	19	1.166666667	2.454265159
2.5	2.608695652	-0.909306981	C1	L1	19	1.166666667	2.454265159
2.5	2.608695652		C1	L1	19	1.166666667	2.454265159
4.5	4.695652174	-0.936719627	C1	L1	24	2.313333333	4.920863309
4.5	4.695652174	0.642376872	C1	L1	24	2.313333333	4.920863309
4.5	4.695652174	1.546239092	C1	L1	24	2.313333333	4.920863309
6.5	6.782608696		C1	L1	26	2.786666667	7.387461459
6.5	6.782608696	-0.467226823	C1	L1	26	2.786666667	7.387461459
6.5	6.782608696	-0.288630775	C1	L1	26	2.786666667	7.387461459
8.5	8.869565217	1.800740636	C1	L1	27	2.206666667	9.854059609
8.5	8.869565217		C1	L1	27	2.206666667	9.854059609
8.5	8.869565217	1.679017654	C1	L1	27	2.206666667	9.854059609
10.5	10.95652174	-0.043052279	C1	L1	26	0.866666667	12.2186405
10.5	10.95652174	-0.167395795	C1	L1	26	0.866666667	12.2186405
10.5	10.95652174		C1	L1	26	0.866666667	12.2186405
12.5	12.96	1.668295789	C1	L1	21	0	13.90049054
12.5	12.96	0.470901308	C1	L1	21	0	13.90049054
12.5	12.96		C1	L1	21	0	13.90049054
14.5	14.88	2.136423585	C1	L1	18	0	15.58234057
14.5	14.88	1.439948895	C1	L1	18	0	15.58234057
14.5	14.88	0.101331068	C1	L1	18	0	15.58234057
16.5	16.8	1.20251738	C1	L1	14	0	17.26419061
16.5	16.8	0.526005905	C1	L1	14	0	17.26419061
16.5	16.8		C1	L1	14	0	17.26419061
18.5	18.72	-0.294206612	C1	L1	14	0	18.94604064
18.5	18.72	-0.625585103	C1	L1	14	0	18.94604064
18.5	18.72	-0.160231273	C1	L1	14	0	18.94604064
20.5	20.64	-0.75810343	C1	L1	13	0	20.62789068
20.5	20.64	0.327273425	C1	L1	13	0	20.62789068
20.5	20.64	-0.085657382	C1	L1	13	0	20.62789068
22.5	22.56	-1.275124677	C1	L1	12	0	22.30974071
22.5	22.56	-0.474865792	C1	L1	12	0	22.30974071
22.5	22.56	-1.200732689	C1	L1	12	0	22.30974071
24.5	24.52173913	0.529428989	C1	L1	12	0.073333333	23.99159075
24.5	24.52173913	-0.322678111	C1	L1	12	0.073333333	23.99159075
24.5	24.52173913	-1.592588169	C1	L1	12	0.073333333	23.99159075
-1.5	-1.953488372	-0.090949305	C2	L1	10	0	-5.069607167
-1.5	-1.953488372	0.521524566	C2	L1	10	0	-5.069607167
-1.5	-1.953488372	-0.034426826	C2	L1	10	0	-5.069607167
0.5	0.226415094	-0.263891818	C2	L1	10	0.073333333	-3.415575465
0.5	0.226415094	-1.058992703	C2	L1	10	0.073333333	-3.415575465
0.5	0.226415094	-0.514705248	C2	L1	10	0.073333333	-3.415575465
2.5	2.037735849	-0.551066683	C2	L1	19	1.166666667	-1.761543763
2.5	2.037735849	-0.686664699	C2	L1	19	1.166666667	-1.761543763
2.5	2.037735849	-1.792807097	C2	L1	19	1.166666667	-1.761543763
4.5	3.849056604	-0.998896693	C2	L1	24	2.313333333	2.36459431
4.5	3.849056604	0.45254393	C2	L1	24	2.313333333	2.36459431
4.5	3.849056604	0.993041692	C2	L1	24	2.313333333	2.36459431
6.5	5.660377358	1.445864709	C2	L1	26	2.786666667	4.893572181
6.5	5.660377358	-0.014637985	C2	L1	26	2.786666667	4.893572181
6.5	5.660377358	-0.839779784	C2	L1	26	2.786666667	4.893572181
8.5	7.471698113	1.395449241	C2	L1	27	2.206666667	7.422550053
8.5	7.471698113	1.555385991	C2	L1	27	2.206666667	7.422550053
8.5	7.471698113	1.325124822	C2	L1	27	2.206666667	7.422550053
10.5	9.283018868	2.560513961	C2	L1	26	0.866666667	9.951527924
10.5	9.283018868	0.659067609	C2	L1	26	0.866666667	9.951527924
10.5	9.283018868	1.713805125	C2	L1	26	0.866666667	9.951527924
12.5	11.09433962	0.351637517	C2	L1	21	0	12.31426602
12.5	11.09433962	-0.086268078	C2	L1	21	0	12.31426602
12.5	11.09433962	0.521464881	C2	L1	21	0	12.31426602
14.5	13.11627907	0.198659071	C2	L1	18	0	13.96829773
14.5	13.11627907	1.00726421	C2	L1	18	0	13.96829773
14.5	13.11627907	0.214760536	C2	L1	18	0	13.96829773
16.5	15.34883721	-0.074100908	C2	L1	14	0	15.62232943
16.5	15.34883721	0.532566727	C2	L1	14	0	15.62232943
16.5	15.34883721	-0.470400663	C2	L1	14	0	15.62232943
18.5	17.58139535	0.878831309	C2	L1	14	0	17.27636113
18.5	17.58139535	-0.354611281	C2	L1	14	0	17.27636113
18.5	17.58139535	-0.713990381	C2	L1	14	0	17.27636113
20.5	19.81395349	-1.434022846	C2	L1	13	0	18.93039283
20.5	19.81395349	-1.075284099	C2	L1	13	0	18.93039283
20.5	19.81395349	-1.110584253	C2	L1	13	0	18.93039283
22.5	22.04651163	-0.091555508	C2	L1	12	0	20.58442453
