CT	SVP	Campo
-1.44	0.872574222	C1
-1.44	1.121931272	C1
0.52173913	1.159759431	C1
0.52173913	0.72743761	C1
2.608695652	0.049618754	C1
2.608695652	0.751369711	C1
4.695652174	-0.428251259	C1
4.695652174	0.902682348	C1
6.782608696	0.735157643	C1
6.782608696	0.356104046	C1
8.869565217	-0.886049187	C1
8.869565217	-1.880389377	C1
10.95652174	-1.759956869	C1
10.95652174	-1.444979542	C1
12.96	-0.669116274	C1
12.96	-1.277454836	C1
14.88	0.010246589	C1
14.88	-0.341786894	C1
16.8	-0.692276371	C1
16.8	0.478852563	C1
18.72	1.037782918	C1
20.64	1.176743503	C1
-1.953488372	0.342603165	C2
-1.953488372	0.796530422	C2
0.226415094	-0.003380432	C2
0.226415094	0.599170745	C2
2.037735849	1.01805659	C2
2.037735849	0.425977559	C2
3.849056604	1.392637202	C2
3.849056604	0.724030949	C2
5.660377358	1.444997933	C2
5.660377358	0.394158346	C2
7.471698113	-0.0887687	C2
7.471698113	-1.297898803	C2
9.283018868	-0.605126059	C2
9.283018868	-2.043032277	C2
11.09433962	-1.785256373	C2
11.09433962	-1.52345272	C2
13.11627907	-0.770263748	C2
13.11627907	-1.257621318	C2
15.34883721	-0.303044921	C2
15.34883721	-1.108594623	C2
17.58139535	-0.435960622	C2
17.58139535	-0.104879694	C2
19.81395349	-0.166101472	C2
19.81395349	0.752225189	C2
