ZT	CT	LHY	Campo	Organ	Temperature	Light
-1.5	-1.44		4-months old	L1	10	0
0.5	0.52173913	3.825683656	4-months old	L1	10	0.073333333
2.5	2.608695652	1.750389124	4-months old	L1	19	1.166666667
4.5	4.695652174	0.247681435	4-months old	L1	24	2.313333333
6.5	6.782608696	0.12836488	4-months old	L1	26	2.786666667
8.5	8.869565217	0.09494471	4-months old	L1	27	2.206666667
10.5	10.95652174	0.001981019	4-months old	L1	26	0.866666667
12.5	12.96	0.001435266	4-months old	L1	21	0
14.5	14.88	0.023636642	4-months old	L1	18	0
16.5	16.8	0.010663291	4-months old	L1	14	0
18.5	18.72	0.132588688	4-months old	L1	14	0
20.5	20.64	1.23861725	4-months old	L1	13	0
22.5	22.56	0.853543079	4-months old	L1	12	0
24.5	24.52173913	0.21110374	4-months old	L1	12	0.073333333
-1.5	-1.44	0.543785521	4-months old	L1	10	0
0.5	0.52173913	0.560504099	4-months old	L1	10	0.073333333
2.5	2.608695652	0.453142489	4-months old	L1	19	1.166666667
4.5	4.695652174	0.115088494	4-months old	L1	24	2.313333333
6.5	6.782608696	0.008613013	4-months old	L1	26	2.786666667
8.5	8.869565217	0.000351025	4-months old	L1	27	2.206666667
10.5	10.95652174	0.001389711	4-months old	L1	26	0.866666667
12.5	12.96	0.00031848	4-months old	L1	21	0
14.5	14.88	0.002369332	4-months old	L1	18	0
16.5	16.8	0.009662584	4-months old	L1	14	0
18.5	18.72	0.01388428	4-months old	L1	14	0
20.5	20.64	0.303733125	4-months old	L1	13	0
22.5	22.56	3.524560891	4-months old	L1	12	0
24.5	24.52173913	0.058437748	4-months old	L1	12	0.073333333
-1.5	-1.44	0.863561843	4-months old	L1	10	0
0.5	0.52173913	1.534704872	4-months old	L1	10	0.073333333
2.5	2.608695652	1.365312149	4-months old	L1	19	1.166666667
4.5	4.695652174	0.19901696	4-months old	L1	24	2.313333333
6.5	6.782608696	0.076637681	4-months old	L1	26	2.786666667
8.5	8.869565217	0.00734203	4-months old	L1	27	2.206666667
10.5	10.95652174	0.005140376	4-months old	L1	26	0.866666667
12.5	12.96	0.007003875	4-months old	L1	21	0
14.5	14.88	0.007515523	4-months old	L1	18	0
16.5	16.8	0.024987566	4-months old	L1	14	0
18.5	18.72	0.117289769	4-months old	L1	14	0
20.5	20.64	1.76883837	4-months old	L1	13	0
22.5	22.56	1.610437103	4-months old	L1	12	0
24.5	24.52173913		4-months old	L1	12	0.073333333
-1.5	-1.953488372	0.495064978	9-months old	L1	10	0
0.5	0.226415094	0.555270601	9-months old	L1	10	0.073333333
2.5	2.037735849	0.938121345	9-months old	L1	19	1.166666667
4.5	3.849056604	0.486649609	9-months old	L1	24	2.313333333
6.5	5.660377358	0.565061942	9-months old	L1	26	2.786666667
8.5	7.471698113	0.131038656	9-months old	L1	27	2.206666667
10.5	9.283018868	0.006884439	9-months old	L1	26	0.866666667
12.5	11.09433962	0.000404612	9-months old	L1	21	0
14.5	13.11627907	0.001369086	9-months old	L1	18	0
16.5	15.34883721	0.002822099	9-months old	L1	14	0
18.5	17.58139535	0.004354593	9-months old	L1	14	0
20.5	19.81395349	0.009915667	9-months old	L1	13	0
22.5	22.04651163	0.055823489	9-months old	L1	12	0
24.5	24.22641509	0.148997574	9-months old	L1	12	0.073333333
-1.5	-1.953488372	0.238809791	9-months old	L1	10	0
0.5	0.226415094	0.874707571	9-months old	L1	10	0.073333333
2.5	2.037735849	0.825668585	9-months old	L1	19	1.166666667
4.5	3.849056604	0.594696326	9-months old	L1	24	2.313333333
6.5	5.660377358	0.280638144	9-months old	L1	26	2.786666667
8.5	7.471698113	0.020697198	9-months old	L1	27	2.206666667
10.5	9.283018868	0.002351019	9-months old	L1	26	0.866666667
12.5	11.09433962	0.000943606	9-months old	L1	21	0
14.5	13.11627907	0.001193767	9-months old	L1	18	0
16.5	15.34883721	0.00126688	9-months old	L1	14	0
18.5	17.58139535	0.003576279	9-months old	L1	14	0
20.5	19.81395349	0.026234518	9-months old	L1	13	0
22.5	22.04651163	0.135081343	9-months old	L1	12	0
24.5	24.22641509	0.261289782	9-months old	L1	12	0.073333333
-1.5	-1.953488372	0.197532243	9-months old	L1	10	0
0.5	0.226415094	0.639798716	9-months old	L1	10	0.073333333
2.5	2.037735849	1.1883867	9-months old	L1	19	1.166666667
4.5	3.849056604	2.156109168	9-months old	L1	24	2.313333333
6.5	5.660377358	0.381048917	9-months old	L1	26	2.786666667
8.5	7.471698113	0.042145517	9-months old	L1	27	2.206666667
10.5	9.283018868	0.004345299	9-months old	L1	26	0.866666667
12.5	11.09433962	0.00182405	9-months old	L1	21	0
14.5	13.11627907	0.001164282	9-months old	L1	18	0
16.5	15.34883721	0.001954818	9-months old	L1	14	0
18.5	17.58139535	0.00642767	9-months old	L1	14	0
20.5	19.81395349	0.025755463	9-months old	L1	13	0
22.5	22.04651163	0.061118587	9-months old	L1	12	0
24.5	24.22641509	0.074118495	9-months old	L1	12	0.073333333
