ZT	CT	TOC1	Campo	Organ	Temperature	Light
-1.25	-1.25	0.002916257	before the wall	L1	17.8	0
0.75	0.75	0.001199515	before the wall	L1	22	0.3785364
2.75	2.75	0.000366644	before the wall	L1	33.1	2.292264
4.75	4.75	0.000836508	before the wall	L1	39.5	3.751236
6.75	6.75	0.005077497	before the wall	L1	31.9	1.80022356
8.75	8.75	0.035896824	before the wall	L1	32	0.477792
10.75	10.75	0.084983898	before the wall	L1	29.3	0.349812
12.75	12.75	0.007839623	before the wall	L1	22.3	0
16.75	16.75	0.007106394	before the wall	L1	22	0
20.75	20.75	0.001300546	before the wall	L1	22	0
22.75	22.75	0.002127439	before the wall	L1	22	0
24.75	24.75	0.000568718	before the wall	L1	21	0.3785364
-1.25	-1.25	0.000465155	before the wall	L1	17.8	0
0.75	0.75	0.000668555	before the wall	L1	22	0.3785364
2.75	2.75	0.00053309	before the wall	L1	33.1	2.292264
4.75	4.75	0.006045176	before the wall	L1	39.5	3.751236
6.75	6.75	0.011841536	before the wall	L1	31.9	1.80022356
8.75	8.75	0.022797193	before the wall	L1	32	0.477792
10.75	10.75	0.027141921	before the wall	L1	29.3	0.349812
12.75	12.75	0.018115059	before the wall	L1	22.3	0
16.75	16.75	0.003307599	before the wall	L1	22	0
20.75	20.75	0.002559362	before the wall	L1	22	0
22.75	22.75	0.000484349	before the wall	L1	22	0
24.75	24.75	0.000808013	before the wall	L1	21	0.3785364
-1.25	-1.25	0.000307598	after the wall	L1	17.4	0
0.75	0.75	0.008431471	after the wall	L1	20.5	0.1794564
2.75	2.75	0.000713236	after the wall	L1	26.8	2.064744
4.75	4.75	0.000133427	after the wall	L1	32.7	3.92472
6.75	6.75	0.014461223	after the wall	L1	30.9	1.768968
8.75	8.75	0.00372985	after the wall	L1	34	0.489168
10.75	10.75	0.099098017	after the wall	L1	30	0.998244
12.75	12.75	0.019800308	after the wall	L1	24	0
16.75	16.75	0.001168063	after the wall	L1	23	0
20.75	20.75	0.000180798	after the wall	L1	22	0
22.75	22.75	0.00011887	after the wall	L1	22	0
24.75	24.75	0.000510784	after the wall	L1	21	0.1794564
-1.25	-1.25	0.001063719	after the wall	L1	17.4	0
0.75	0.75	0.000426057	after the wall	L1	20.5	0.1794564
2.75	2.75	0.000364953	after the wall	L1	26.8	2.064744
4.75	4.75	0.000818347	after the wall	L1	32.7	3.92472
6.75	6.75	0.00112567	after the wall	L1	30.9	1.768968
8.75	8.75	0.005030788	after the wall	L1	34	0.489168
10.75	10.75	0.046552421	after the wall	L1	30	0.998244
12.75	12.75	0.022823544	after the wall	L1	24	0
16.75	16.75	0.001776598	after the wall	L1	23	0
20.75	20.75	0.001008668	after the wall	L1	22	0
22.75	22.75	0.000510194	after the wall	L1	22	0
24.75	24.75	0.000271831	after the wall	L1	21	0.1794564
