ZT	CT	LHY	Campo	Organ	Temperature	Light
-1.5	-1.411764706	1.765405993	east side	L1	16	0
0.5	0.533333333	4.326898664	east side	L1	18	2677
2.5	2.666666667	2.143546925	east side	L1	26.1	21200
4.5	4.8	0.607799194	east side	L1	31	38400
6.5	6.933333333	0.288504688	east side	L1	27.7	32050
8.5	9.066666667	0.06410882	east side	L1	27.1	35100
10.5	11.2	0.007476956	east side	L1	24.4	5980
12.5	13.17647059	0.005524272	east side	L1	30.1	0
16.5	16.94117647	0.118257206	east side	L1	16.8	0
20.5	20.70588235	0.890898718	east side	L1	14.2	0
22.5	22.58823529	0.670511199	east side	L1	13.5	0
24.5	24.53333333	1.178267139	east side	L1	20.2	2677
-1.5	-1.411764706	3.538779141	east side	L1	16	0
0.5	0.533333333	7.404822974	east side	L1	18	2677
2.5	2.666666667		east side	L1	26.1	21200
4.5	4.8	0.431733354	east side	L1	31	38400
6.5	6.933333333	0.334028654	east side	L1	27.7	32050
8.5	9.066666667	0.061663325	east side	L1	27.1	35100
10.5	11.2	0.019011785	east side	L1	24.4	5980
12.5	13.17647059	0.00899497	east side	L1	30.1	0
16.5	16.94117647	0.032820427	east side	L1	16.8	0
20.5	20.70588235	2.053078837	east side	L1	14.2	0
22.5	22.58823529	3.001353502	east side	L1	13.5	0
24.5	24.53333333	4.872575362	east side	L1	20.2	2677
-1.5	-1.411764706	0.370171177	west side	L1	15.2	0
0.5	0.533333333	0.833966093	west side	L1	17	1760
2.5	2.666666667	0.881904167	west side	L1	20.2	9660
4.5	4.8	0.179219266	west side	L1	26.8	31600
6.5	6.933333333	0.125012009	west side	L1	29.1	30400
8.5	9.066666667	0.010471689	west side	L1	35.8	31700
10.5	11.2	0.003374023	west side	L1	26.4	6170
12.5	13.17647059	0.001419053	west side	L1	19.7	0
16.5	16.94117647	0.009493053	west side	L1	16.4	0
20.5	20.70588235	0.260806377	west side	L1	14.2	0
22.5	22.58823529	0.511205784	west side	L1	13.2	0
24.5	24.53333333	0.392683886	west side	L1	13.8	1760
-1.5	-1.411764706	0.99928039	west side	L1	15.2	0
0.5	0.533333333	1.673189395	west side	L1	17	1760
2.5	2.666666667	1.710244965	west side	L1	20.2	9660
4.5	4.8	1.0067343	west side	L1	26.8	31600
6.5	6.933333333	5.48676E-05	west side	L1	29.1	30400
8.5	9.066666667	0.019471168	west side	L1	35.8	31700
10.5	11.2	0.030424985	west side	L1	26.4	6170
12.5	13.17647059	0.005941192	west side	L1	19.7	0
16.5	16.94117647	0.008432273	west side	L1	16.4	0
20.5	20.70588235	0.227619569	west side	L1	14.2	0
22.5	22.58823529	1.007338301	west side	L1	13.2	0
24.5	24.53333333	0.99828498	west side	L1	13.8	1760
