ZT	CT	TOC1	Campo	Organ	Temperature	Light
-1.5	-1.411764706	0.000418504	leste	L1	16	0
0.5	0.533333333	0.000190069	leste	L1	18	2677
2.5	2.666666667	0.000413433	leste	L1	26.1	21200
4.5	4.8	0.000242673	leste	L1	31	38400
6.5	6.933333333	0.000433236	leste	L1	27.7	32050
8.5	9.066666667	0.001118561	leste	L1	27.1	35100
10.5	11.2	0.002767476	leste	L1	24.4	5980
12.5	13.17647059	0.001143835	leste	L1	30.1	0
16.5	16.94117647	0.000388737	leste	L1	16.8	0
20.5	20.70588235	0.000671947	leste	L1	14.2	0
22.5	22.58823529	0.000406738	leste	L1	13.5	0
24.5	24.53333333	0.000297833	leste	L1	20.2	2677
-1.5	-1.411764706	0.000147413	leste	L1	16	0
0.5	0.533333333	0.000174294	leste	L1	18	2677
2.5	2.666666667	0.000192475	leste	L1	26.1	21200
4.5	4.8	0.000148948	leste	L1	31	38400
6.5	6.933333333	0.000190168	leste	L1	27.7	32050
8.5	9.066666667	0.00173448	leste	L1	27.1	35100
10.5	11.2	0.002187022	leste	L1	24.4	5980
12.5	13.17647059	0.000924503	leste	L1	30.1	0
16.5	16.94117647	0.000595814	leste	L1	16.8	0
20.5	20.70588235	0.000340357	leste	L1	14.2	0
22.5	22.58823529	0.000241593	leste	L1	13.5	0
24.5	24.53333333	0.000208868	leste	L1	20.2	2677
-1.5	-1.411764706	0.000289163	oeste	L1	15.2	0
0.5	0.533333333	0.000281448	oeste	L1	17	1760
2.5	2.666666667	0.000742685	oeste	L1	20.2	9660
4.5	4.8	0.001114774	oeste	L1	26.8	31600
6.5	6.933333333	0.000704729	oeste	L1	29.1	30400
8.5	9.066666667	0.004666145	oeste	L1	35.8	31700
10.5	11.2	0.003524898	oeste	L1	26.4	6170
12.5	13.17647059	0.002033221	oeste	L1	19.7	0
16.5	16.94117647	0.00056992	oeste	L1	16.4	0
20.5	20.70588235	0.000756651	oeste	L1	14.2	0
22.5	22.58823529	0.000746004	oeste	L1	13.2	0
24.5	24.53333333	0.000657235	oeste	L1	13.8	1760
-1.5	-1.411764706	0.000179327	oeste	L1	15.2	0
0.5	0.533333333	0.000169393	oeste	L1	17	1760
2.5	2.666666667	0.000496173	oeste	L1	20.2	9660
4.5	4.8	0.000224741	oeste	L1	26.8	31600
6.5	6.933333333	0.000511973	oeste	L1	29.1	30400
8.5	9.066666667	0.00191561	oeste	L1	35.8	31700
10.5	11.2	0.003360989	oeste	L1	26.4	6170
12.5	13.17647059	0.000787992	oeste	L1	19.7	0
16.5	16.94117647	0.000784163	oeste	L1	16.4	0
20.5	20.70588235	0.00051434	oeste	L1	14.2	0
22.5	22.58823529	0.000447033	oeste	L1	13.2	0
24.5	24.53333333	0.000307807	oeste	L1	13.8	1760
