ZT	CT	LHY	Campo	Organ	Temperature	Light
-1.25	-1.25	0.368567304	before the wall	L1	17.8	0
0.75	0.75	3.017457254	before the wall	L1	22	0.3785364
2.75	2.75	0.821690315	before the wall	L1	33.1	2.292264
4.75	4.75	0.880665874	before the wall	L1	39.5	3.751236
6.75	6.75	0.078020659	before the wall	L1	31.9	1.80022356
8.75	8.75	0.031686234	before the wall	L1	32	0.477792
10.75	10.75	0.008392599	before the wall	L1	29.3	0.349812
12.75	12.75	0.174948233	before the wall	L1	22.3	0
16.75	16.75	0.622724811	before the wall	L1	22	0
20.75	20.75	0.305660069	before the wall	L1	22	0
22.75	22.75	3.555370725	before the wall	L1	22	0
24.75	24.75	4.046477761	before the wall	L1	21	0.3785364
-1.25	-1.25		before the wall	L1	17.8	0
0.75	0.75	2.904587585	before the wall	L1	22	0.3785364
2.75	2.75	0.878633452	before the wall	L1	33.1	2.292264
4.75	4.75	0.03205441	before the wall	L1	39.5	3.751236
6.75	6.75	0.07162796	before the wall	L1	31.9	1.80022356
8.75	8.75	0.004487103	before the wall	L1	32	0.477792
10.75	10.75	0.005989564	before the wall	L1	29.3	0.349812
12.75	12.75	0.003951638	before the wall	L1	22.3	0
16.75	16.75	0.027969533	before the wall	L1	22	0
20.75	20.75	0.261219288	before the wall	L1	22	0
22.75	22.75	0.205897754	before the wall	L1	22	0
24.75	24.75	2.239743208	before the wall	L1	21	0.3785364
-1.25	-1.25	0.732042848	after the wall	L1	17.4	0
0.75	0.75	0.326464947	after the wall	L1	20.5	0.1794564
2.75	2.75	2.744734621	after the wall	L1	26.8	2.064744
4.75	4.75	0.069188049	after the wall	L1	32.7	3.92472
6.75	6.75	0.10036536	after the wall	L1	30.9	1.768968
8.75	8.75	0.001247567	after the wall	L1	34	0.489168
10.75	10.75	0.007340021	after the wall	L1	30	0.998244
12.75	12.75	0.000736684	after the wall	L1	24	0
16.75	16.75	0.006360401	after the wall	L1	23	0
20.75	20.75	0.126306431	after the wall	L1	22	0
22.75	22.75	0.183646079	after the wall	L1	22	0
24.75	24.75	2.87786716	after the wall	L1	21	0.1794564
-1.25	-1.25	0.320115994	after the wall	L1	17.4	0
0.75	0.75	0.363913296	after the wall	L1	20.5	0.1794564
2.75	2.75	0.79922115	after the wall	L1	26.8	2.064744
4.75	4.75	0.622724811	after the wall	L1	32.7	3.92472
6.75	6.75	0.00837323	after the wall	L1	30.9	1.768968
8.75	8.75	0.002515394	after the wall	L1	34	0.489168
10.75	10.75	0.00288276	after the wall	L1	30	0.998244
12.75	12.75	0.009865902	after the wall	L1	24	0
16.75	16.75	0.004006801	after the wall	L1	23	0
20.75	20.75	0.115023456	after the wall	L1	22	0
22.75	22.75	0.242602558	after the wall	L1	22	0
24.75	24.75	3.317278183	after the wall	L1	21	0.1794564
