CT	Temperature	Light	Sampling
-0.941176471		0	leste
-0.31372549	16.8	0.000196805	leste
-0.235294118	16.69453125	0.000893016	leste
-0.156862745	16.5890625	0.002152908	leste
-0.078431373	16.48359375	0.006094692	leste
0	16.378125	0.01271268	leste
0.088888889	16.25859375	0.020619	leste
0.177777778	16.1390625	0.0337014	leste
0.266666667	16.01953125	0.04703976	leste
0.355555556	15.9	0.06134508	leste
0.444444444	15.80833333	0.07613388	leste
1.422222222	14.8	0.4686912	leste
2.488888889	26.1	0.602928	leste
3.786666667	30.4	1.296864	leste
4.728888889	31	1.092096	leste
6.808888889	27.7	0.911502	leste
7.911111111	29.4	0.2155752	leste
8.977777778	27.1	0.998244	leste
10.20444444	26.1	1.410624	leste
11.12888889	24.4	0.1700712	leste
13.03529412	30.1	0	leste
14.98039216	23.47670683	0	leste
16.94117647	16.8	0	leste
20.76862745	14.2	0	leste
22.58823529	13.5	0	leste
24.53333333	20.2	0	leste
-0.941176471		0	oeste
-0.31372549	16.8	0.000203346	oeste
-0.235294118	16.69453125	0.000972648	oeste
-0.156862745	16.5890625	0.002485656	oeste
-0.078431373	16.48359375	0.00574488	oeste
0	16.378125	0.00932832	oeste
0.088888889	16.25859375	0.0200502	oeste
0.177777778	16.1390625	0.02946384	oeste
0.266666667	16.01953125	0.0410958	oeste
0.355555556	15.9	0.04320036	oeste
0.444444444	16.00833333	0.0500544	oeste
1.422222222	17.2	0.1871352	oeste
2.488888889	20.2	0.2747304	oeste
3.786666667	25.8	1.148976	oeste
4.728888889	26.8	0.898704	oeste
6.808888889	29.1	0.864576	oeste
7.911111111	38.7	0.2201256	oeste
8.977777778	35.8	0.901548	oeste
10.20444444	38.5	1.723464	oeste
11.12888889	26.4	0.1754748	oeste
13.03529412	19.7	0	oeste
14.98039216	18.05662651	0	oeste
16.94117647	16.4	0	oeste
20.76862745	14.2	0	oeste
22.58823529	13.2	0	oeste
24.53333333	13.8	0	oeste
