CT	Temperature	Light	Sampling
-1.44	10	0	C1
-0.48	10	0	C1
0.52173913	10	0.073333333	C1
1.565217391	15	0.533333333	C1
2.608695652	19	1.166666667	C1
3.652173913	22	1.846666667	C1
4.695652174	24	2.313333333	C1
5.739130435	26	2.586666667	C1
6.782608696	26	2.786666667	C1
7.826086957	26	2.48	C1
8.869565217	27	2.206666667	C1
9.913043478	26	1.533333333	C1
10.95652174	26	0.866666667	C1
12	24	0.226666667	C1
12.96	21	0	C1
13.92	19	0	C1
14.88	18	0	C1
15.84	15	0	C1
16.8	14	0	C1
23.52	12	0	C1
24.52173913	12	0.073333333	C1
-1.953488372	17	0	C2
-0.837209302	17	0	C2
0.226415094	17	0	C2
1.132075472	16	0.244444444	C2
2.037735849	18	0.744444444	C2
2.943396226	20	1.362962963	C2
3.849056604	22	1.907407407	C2
4.754716981	23	2.337037037	C2
5.660377358	26	2.533333333	C2
6.566037736	27	2.674074074	C2
7.471698113	28	2.559259259	C2
8.377358491	29	2.007407407	C2
9.283018868	29	1.385185185	C2
10.18867925	30	1.085185185	C2
11.09433962	29	0.496296296	C2
12	29	0.12962963	C2
13.11627907	26	0	C2
14.23255814	24	0	C2
15.34883721	23	0	C2
16.46511628	22	0	C2
24.22641509	18	0	C2
