Muro	CT	Temperature	Light	Sampling
	-0.42	17.4	0.000027018	antes
	-0.33	17.4	0.000143622	antes
	-0.25	17.4	0.000482627	antes
	-0.17	17.4	0.002138688	antes
	-0.08	17.4	0.00711	antes
	0.00	17.8	0.01399248	antes
	0.08	17.3	0.0216144	antes
	0.17	17.3	0.03961692	antes
	0.25	17.1	0.06108912	antes
	0.33	17.3	0.08571816	antes
	0.42	17.5	0.1072188	antes
	0.50	18.3	0.233208	antes
	0.58	19.5	0.3196656	antes
	0.67	21	0.3845088	antes
	0.73	22	0.3785364	antes
	1.75	31.3	1.498788	antes
	2.75	33.1	2.292264	antes
	3.75	42	3.006108	antes
	4.75	39.5	3.751236	antes
	6.25	34.8	1.54998	antes
	7.25	31.9	1.80022356	antes
	8.75	32	0.477792	antes
	10.25	30.4	0.395316	antes
	10.75	29.3	0.349812	antes
	11.25	28.1	0.140778	antes
	12.00	25.8	0.01717776	antes
	12.75	24	0	antes
	13.75	22.9	0	antes
	14.75	22.7	0	antes
	15.75	22.3	0	antes
	16.75	20.3	0	antes
	17.75	20.7	0	antes
	18.75	20.4	0	antes
	19.75	19.9	0	antes
	20.75	19.3	0	antes
	21.75	19.7	0	antes
	22.75	18.9	0	antes
	23.75	18.5	0	antes
	24.75	20.1	0.3785364	antes
	-0.416666667	17.4	0.000039816	depois
	-0.333333333	17.4	0.000162108	depois
	-0.25	17.4	0.000531828	depois
	-0.166666667	17.4	0.001774656	depois
	-0.083333333	17.4	0.00580176	depois
	0	17.4	0.0130824	depois
	0.083333333	16.9	0.01857132	depois
	0.166666667	17.7	0.03353076	depois
	0.25	16.7	0.0520452	depois
	0.333333333	16.7	0.07417152	depois
	0.416666667	16.7	0.09871524	depois
	0.5	17.1	0.1387872	depois
	0.583333333	17.3	0.150732	depois
	0.666666667	17.7	0.1666584	depois
	0.733333333	20.5	0.1794564	depois
	1.75	20.7	0.2784276	depois
	2.75	26.8	2.064744	depois
	3.75	33.1	2.807028	depois
	4.75	32.7	3.92472	depois
	6.25	34.2	1.538604	depois
	7.25	30.9	1.768968	depois
	8.75	34	0.489168	depois
	10.25	31.6	1.274112	depois
	10.75	30	0.998244	depois
	11.25	28	0.200502	depois
	12	24.7	0.01598328	depois
	12.75	24	0	depois
	13.75	22.9	0	depois
	14.75	22.5	0	depois
	15.75	21.6	0	depois
	16.75	20.7	0	depois
	17.75	20.7	0	depois
	18.75	20.4	0	depois
	19.75	19.7	0	depois
	20.75	19.3	0	depois
	21.75	19.5	0	depois
	22.75	18.9	0	depois
	23.75	18.3	0	depois
	24.75	20.1	0.1794564	depois
