ZT	CT	GABA	Campo	Organ	Temperature	Light
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	1.241939091	C1	L1	10	0
-1.5	-1.44	-0.775847142	C1	L1	10	0
0.5	0.52173913	-0.769421039	C1	L1	10	0.073333333
0.5	0.52173913	-0.563905902	C1	L1	10	0.073333333
0.5	0.52173913	-1.072387534	C1	L1	10	0.073333333
2.5	2.608695652	-0.017691115	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
2.5	2.608695652	0.86177083	C1	L1	19	1.166666667
4.5	4.695652174	-0.471258938	C1	L1	24	2.313333333
4.5	4.695652174		C1	L1	24	2.313333333
4.5	4.695652174	0.138723489	C1	L1	24	2.313333333
6.5	6.782608696	1.865067797	C1	L1	26	2.786666667
6.5	6.782608696	1.494919195	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
8.5	8.869565217	0.890770635	C1	L1	27	2.206666667
8.5	8.869565217	2.050104572	C1	L1	27	2.206666667
8.5	8.869565217	2.691396801	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	0.225255469	C1	L1	26	0.866666667
10.5	10.95652174	-0.341844932	C1	L1	26	0.866666667
12.5	12.96		C1	L1	21	0
12.5	12.96	-0.594399906	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-0.970856452	C1	L1	18	0
14.5	14.88		C1	L1	18	0
14.5	14.88	-0.050627464	C1	L1	18	0
16.5	16.8	0.270259753	C1	L1	14	0
16.5	16.8	0.519110015	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-0.59711659	C1	L1	14	0
18.5	18.72	-0.244775455	C1	L1	14	0
20.5	20.64	-0.813877722	C1	L1	13	0
20.5	20.64	-0.550784587	C1	L1	13	0
20.5	20.64	-0.352162102	C1	L1	13	0
22.5	22.56	-1.056379062	C1	L1	12	0
22.5	22.56	-0.820748951	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913	-0.495461891	C1	L1	12	0.073333333
24.5	24.52173913	-0.644184598	C1	L1	12	0.073333333
24.5	24.52173913	-1.045586264	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.843047187	C2	L1	10	0
-1.5	-1.953488372	-0.958513499	C2	L1	10	0
-1.5	-1.953488372		C2	L1	10	0
0.5	0.226415094	0.601412534	C2	L1	10	0.073333333
0.5	0.226415094	0.796740788	C2	L1	10	0.073333333
0.5	0.226415094	1.050011928	C2	L1	10	0.073333333
2.5	2.037735849	-0.616909911	C2	L1	19	1.166666667
2.5	2.037735849	0.213922106	C2	L1	19	1.166666667
2.5	2.037735849	0.287551508	C2	L1	19	1.166666667
4.5	3.849056604	-0.024969082	C2	L1	24	2.313333333
4.5	3.849056604		C2	L1	24	2.313333333
4.5	3.849056604	-2.792750663	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	-0.442310883	C2	L1	26	2.786666667
6.5	5.660377358	-0.020598397	C2	L1	26	2.786666667
8.5	7.471698113		C2	L1	27	2.206666667
8.5	7.471698113	0.072280925	C2	L1	27	2.206666667
8.5	7.471698113	0.112240555	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	0.606439343	C2	L1	26	0.866666667
10.5	9.283018868	-0.374776592	C2	L1	26	0.866666667
12.5	11.09433962	-0.135464234	C2	L1	21	0
12.5	11.09433962	-0.10716046	C2	L1	21	0
12.5	11.09433962		C2	L1	21	0
14.5	13.11627907	1.497948512	C2	L1	18	0
14.5	13.11627907	2.081224129	C2	L1	18	0
14.5	13.11627907	2.440227754	C2	L1	18	0
16.5	15.34883721		C2	L1	14	0
16.5	15.34883721	0.594264233	C2	L1	14	0
16.5	15.34883721	0.282156127	C2	L1	14	0
18.5	17.58139535	-0.292313255	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	0.621822957	C2	L1	14	0
20.5	19.81395349	0.084408553	C2	L1	13	0
20.5	19.81395349	-1.421896503	C2	L1	13	0
20.5	19.81395349	0.274700648	C2	L1	13	0
22.5	22.04651163	0.001931205	C2	L1	12	0
22.5	22.04651163	-0.633459574	C2	L1	12	0
22.5	22.04651163		C2	L1	12	0
24.5	24.22641509	-0.703220264	C2	L1	12	0.073333333
24.5	24.22641509	-1.472245174	C2	L1	12	0.073333333
24.5	24.22641509	-0.779648128	C2	L1	12	0.073333333
