ZT	CT	Glutamate	Campo	Organ	Temperature	Light
-1.5	-1.44	1.591215071	C1	L1	10	0
-1.5	-1.44	0.872927173	C1	L1	10	0
-1.5	-1.44	0.636462936	C1	L1	10	0
0.5	0.52173913	-1.404077618	C1	L1	10	0.073333333
0.5	0.52173913	-0.230169386	C1	L1	10	0.073333333
0.5	0.52173913	-0.748971438	C1	L1	10	0.073333333
2.5	2.608695652	0.501364262	C1	L1	19	1.166666667
2.5	2.608695652	0.052928839	C1	L1	19	1.166666667
2.5	2.608695652	2.249109529	C1	L1	19	1.166666667
4.5	4.695652174	1.902569908	C1	L1	24	2.313333333
4.5	4.695652174	1.17602272	C1	L1	24	2.313333333
4.5	4.695652174	2.225762742	C1	L1	24	2.313333333
6.5	6.782608696	0.815824095	C1	L1	26	2.786666667
6.5	6.782608696	-0.67519797	C1	L1	26	2.786666667
6.5	6.782608696	-0.447590262	C1	L1	26	2.786666667
8.5	8.869565217	0.592344527	C1	L1	27	2.206666667
8.5	8.869565217	1.348016461	C1	L1	27	2.206666667
8.5	8.869565217	0.505054037	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	-0.767270086	C1	L1	26	0.866666667
10.5	10.95652174	0.207790146	C1	L1	26	0.866666667
12.5	12.96	0.110848074	C1	L1	21	0
12.5	12.96	0.023606133	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.143448354	C1	L1	18	0
14.5	14.88	-0.358537933	C1	L1	18	0
14.5	14.88	-1.037826331	C1	L1	18	0
16.5	16.8	-0.029877613	C1	L1	14	0
16.5	16.8	-0.489771675	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.106082402	C1	L1	14	0
18.5	18.72	-0.040982322	C1	L1	14	0
18.5	18.72	0.047497425	C1	L1	14	0
20.5	20.64	-1.238811647	C1	L1	13	0
20.5	20.64	0.197150585	C1	L1	13	0
20.5	20.64	0.197064168	C1	L1	13	0
22.5	22.56	-1.792837868	C1	L1	12	0
22.5	22.56	-0.851822158	C1	L1	12	0
22.5	22.56	-0.327460411	C1	L1	12	0
24.5	24.52173913	-0.470756333	C1	L1	12	0.073333333
24.5	24.52173913	-1.099896145	C1	L1	12	0.073333333
24.5	24.52173913	-0.99217088	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.390527625	C2	L1	10	0
-1.5	-1.953488372	0.337929002	C2	L1	10	0
-1.5	-1.953488372	0.042937282	C2	L1	10	0
0.5	0.226415094	1.790367222	C2	L1	10	0.073333333
0.5	0.226415094	1.475397544	C2	L1	10	0.073333333
0.5	0.226415094	0.790448218	C2	L1	10	0.073333333
2.5	2.037735849	-1.204040755	C2	L1	19	1.166666667
2.5	2.037735849	-1.256129219	C2	L1	19	1.166666667
2.5	2.037735849	-1.216426614	C2	L1	19	1.166666667
4.5	3.849056604	-0.908492261	C2	L1	24	2.313333333
4.5	3.849056604	-0.870232179	C2	L1	24	2.313333333
4.5	3.849056604	-0.861877516	C2	L1	24	2.313333333
6.5	5.660377358	-0.335738067	C2	L1	26	2.786666667
6.5	5.660377358	-1.922565681	C2	L1	26	2.786666667
6.5	5.660377358	-1.200057481	C2	L1	26	2.786666667
8.5	7.471698113	-1.504971407	C2	L1	27	2.206666667
8.5	7.471698113	0.319456807	C2	L1	27	2.206666667
8.5	7.471698113	-0.219694651	C2	L1	27	2.206666667
10.5	9.283018868	0.17239718	C2	L1	26	0.866666667
10.5	9.283018868	-0.517745803	C2	L1	26	0.866666667
10.5	9.283018868	-0.113739447	C2	L1	26	0.866666667
12.5	11.09433962	-0.882748124	C2	L1	21	0
12.5	11.09433962	-0.925526791	C2	L1	21	0
12.5	11.09433962	-0.929196217	C2	L1	21	0
14.5	13.11627907	-0.497443581	C2	L1	18	0
14.5	13.11627907	0.850227996	C2	L1	18	0
14.5	13.11627907	-0.068906931	C2	L1	18	0
16.5	15.34883721	1.623531017	C2	L1	14	0
16.5	15.34883721	1.339057793	C2	L1	14	0
16.5	15.34883721	1.364476543	C2	L1	14	0
18.5	17.58139535	1.68260735	C2	L1	14	0
18.5	17.58139535	1.339781772	C2	L1	14	0
18.5	17.58139535	0.915098105	C2	L1	14	0
20.5	19.81395349	1.137639906	C2	L1	13	0
20.5	19.81395349	0.262509651	C2	L1	13	0
20.5	19.81395349	0.877568694	C2	L1	13	0
22.5	22.04651163	0.144740634	C2	L1	12	0
22.5	22.04651163	0.750777248	C2	L1	12	0
22.5	22.04651163	-0.039081048	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-0.510338223	C2	L1	12	0.073333333
24.5	24.22641509	-0.841470346	C2	L1	12	0.073333333
