ZT	CT	Oxoproline	Campo	Organ	Temperature	Light
-1.5	-1.44	1.545001419	C1	L1	10	0
-1.5	-1.44	1.050610117	C1	L1	10	0
-1.5	-1.44	0.377083524	C1	L1	10	0
0.5	0.52173913	-1.20541365	C1	L1	10	0.073333333
0.5	0.52173913	0.118440577	C1	L1	10	0.073333333
0.5	0.52173913	-0.858850198	C1	L1	10	0.073333333
2.5	2.608695652	0.821530756	C1	L1	19	1.166666667
2.5	2.608695652	0.059170545	C1	L1	19	1.166666667
2.5	2.608695652	2.344757678	C1	L1	19	1.166666667
4.5	4.695652174	1.323070653	C1	L1	24	2.313333333
4.5	4.695652174	1.268646974	C1	L1	24	2.313333333
4.5	4.695652174	1.974490322	C1	L1	24	2.313333333
6.5	6.782608696	0.738102239	C1	L1	26	2.786666667
6.5	6.782608696	-0.851611589	C1	L1	26	2.786666667
6.5	6.782608696	-0.723877675	C1	L1	26	2.786666667
8.5	8.869565217	0.259500807	C1	L1	27	2.206666667
8.5	8.869565217	1.644228881	C1	L1	27	2.206666667
8.5	8.869565217	0.403169948	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	-0.58651207	C1	L1	26	0.866666667
10.5	10.95652174	0.322798578	C1	L1	26	0.866666667
12.5	12.96	0.235102678	C1	L1	21	0
12.5	12.96	-0.078187602	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.302349439	C1	L1	18	0
14.5	14.88	-0.508675625	C1	L1	18	0
14.5	14.88	-0.993945759	C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-0.618389025	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.252267046	C1	L1	14	0
18.5	18.72	-0.259445935	C1	L1	14	0
18.5	18.72	-0.134375161	C1	L1	14	0
20.5	20.64	-1.229341356	C1	L1	13	0
20.5	20.64	0.120230805	C1	L1	13	0
20.5	20.64	0.587373587	C1	L1	13	0
22.5	22.56	-1.846906822	C1	L1	12	0
22.5	22.56	-0.808184878	C1	L1	12	0
22.5	22.56	-0.187392685	C1	L1	12	0
24.5	24.52173913	0.007943594	C1	L1	12	0.073333333
24.5	24.52173913	-0.860348726	C1	L1	12	0.073333333
24.5	24.52173913	-0.895178441	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.552593419	C2	L1	10	0
-1.5	-1.953488372		C2	L1	10	0
-1.5	-1.953488372	0.047716092	C2	L1	10	0
0.5	0.226415094	1.527408248	C2	L1	10	0.073333333
0.5	0.226415094	1.243201681	C2	L1	10	0.073333333
0.5	0.226415094	0.710223358	C2	L1	10	0.073333333
2.5	2.037735849	-1.579964643	C2	L1	19	1.166666667
2.5	2.037735849	-1.27330642	C2	L1	19	1.166666667
2.5	2.037735849		C2	L1	19	1.166666667
4.5	3.849056604	-1.071472946	C2	L1	24	2.313333333
4.5	3.849056604	-0.863886358	C2	L1	24	2.313333333
4.5	3.849056604	-1.351690382	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358		C2	L1	26	2.786666667
8.5	7.471698113	-1.470638085	C2	L1	27	2.206666667
8.5	7.471698113	0.212703356	C2	L1	27	2.206666667
8.5	7.471698113	-0.464479888	C2	L1	27	2.206666667
10.5	9.283018868	-0.004770654	C2	L1	26	0.866666667
10.5	9.283018868	-0.876055634	C2	L1	26	0.866666667
10.5	9.283018868	-0.470874321	C2	L1	26	0.866666667
12.5	11.09433962	-1.113280852	C2	L1	21	0
12.5	11.09433962		C2	L1	21	0
12.5	11.09433962	-1.32823388	C2	L1	21	0
14.5	13.11627907		C2	L1	18	0
14.5	13.11627907	0.714998148	C2	L1	18	0
14.5	13.11627907	-0.241821906	C2	L1	18	0
16.5	15.34883721	1.508796281	C2	L1	14	0
16.5	15.34883721	1.134085518	C2	L1	14	0
16.5	15.34883721	1.135204254	C2	L1	14	0
18.5	17.58139535	1.533177782	C2	L1	14	0
18.5	17.58139535	1.159341279	C2	L1	14	0
18.5	17.58139535	0.705966215	C2	L1	14	0
20.5	19.81395349	0.991923126	C2	L1	13	0
20.5	19.81395349	0.214263638	C2	L1	13	0
20.5	19.81395349	0.893203831	C2	L1	13	0
22.5	22.04651163		C2	L1	12	0
22.5	22.04651163	0.607171496	C2	L1	12	0
22.5	22.04651163	-0.150691515	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-0.594049922	C2	L1	12	0.073333333
24.5	24.22641509	-0.931573476	C2	L1	12	0.073333333
