ZT	CT	Threonine	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.18733113	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	-0.420150099	C1	L1	10	0
0.5	0.52173913	-0.26664564	C1	L1	10	0.073333333
0.5	0.52173913	0.395009682	C1	L1	10	0.073333333
0.5	0.52173913	-0.149280748	C1	L1	10	0.073333333
2.5	2.608695652	-1.260199198	C1	L1	19	1.166666667
2.5	2.608695652	0.35228627	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	2.500263161	C1	L1	24	2.313333333
4.5	4.695652174	2.700591844	C1	L1	24	2.313333333
4.5	4.695652174	0.92032148	C1	L1	24	2.313333333
6.5	6.782608696	0.781776986	C1	L1	26	2.786666667
6.5	6.782608696	1.624611516	C1	L1	26	2.786666667
6.5	6.782608696	-0.707363878	C1	L1	26	2.786666667
8.5	8.869565217	0.523867971	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	0.449591306	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	-1.054014939	C1	L1	26	0.866666667
10.5	10.95652174	0.539835219	C1	L1	26	0.866666667
12.5	12.96	1.158010393	C1	L1	21	0
12.5	12.96	-0.409077179	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.108072831	C1	L1	18	0
14.5	14.88	-0.032783432	C1	L1	18	0
14.5	14.88		C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-0.98467356	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.83961772	C1	L1	14	0
18.5	18.72	-0.036068834	C1	L1	14	0
18.5	18.72	-0.647020227	C1	L1	14	0
20.5	20.64	0.045201807	C1	L1	13	0
20.5	20.64	0.061652335	C1	L1	13	0
20.5	20.64	-0.143729908	C1	L1	13	0
22.5	22.56	-1.362487281	C1	L1	12	0
22.5	22.56	-0.575623385	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-1.015465203	C1	L1	12	0.073333333
24.5	24.52173913	-0.853414778	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.277344053	C2	L1	10	0
-1.5	-1.953488372	0.478793731	C2	L1	10	0
-1.5	-1.953488372	0.1628192	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	1.050802229	C2	L1	10	0.073333333
0.5	0.226415094	1.152281533	C2	L1	10	0.073333333
2.5	2.037735849	-1.686153174	C2	L1	19	1.166666667
2.5	2.037735849	-1.823719478	C2	L1	19	1.166666667
2.5	2.037735849	-1.411360047	C2	L1	19	1.166666667
4.5	3.849056604	0.372261107	C2	L1	24	2.313333333
4.5	3.849056604	0.95557681	C2	L1	24	2.313333333
4.5	3.849056604	0.149613743	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	-1.077886052	C2	L1	26	2.786666667
6.5	5.660377358	0.533333993	C2	L1	26	2.786666667
8.5	7.471698113	1.317308106	C2	L1	27	2.206666667
8.5	7.471698113		C2	L1	27	2.206666667
8.5	7.471698113	0.630996788	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	0.798398471	C2	L1	26	0.866666667
10.5	9.283018868	1.022556195	C2	L1	26	0.866666667
12.5	11.09433962	-0.178029093	C2	L1	21	0
12.5	11.09433962	0.417249185	C2	L1	21	0
12.5	11.09433962	0.260756492	C2	L1	21	0
14.5	13.11627907	0.452297466	C2	L1	18	0
14.5	13.11627907		C2	L1	18	0
14.5	13.11627907	0.139017295	C2	L1	18	0
16.5	15.34883721	1.227170891	C2	L1	14	0
16.5	15.34883721	1.026446571	C2	L1	14	0
16.5	15.34883721	1.381695016	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-0.244275459	C2	L1	14	0
18.5	17.58139535	0.04311565	C2	L1	14	0
20.5	19.81395349	0.276615117	C2	L1	13	0
20.5	19.81395349	-1.355794914	C2	L1	13	0
20.5	19.81395349	-0.013322462	C2	L1	13	0
22.5	22.04651163	-1.384109623	C2	L1	12	0
22.5	22.04651163	-0.458074406	C2	L1	12	0
22.5	22.04651163	-0.024043547	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.90734911	C2	L1	12	0.073333333
24.5	24.22641509	-2.00764417	C2	L1	12	0.073333333
