ZT	CT	PRR73	Campo	Organ	Temperature	Light
-1.5	-1.44		4-months old	L1	10	0
0.5	0.52173913	0.036143845	4-months old	L1	10	0.073333333
2.5	2.608695652	0.048603521	4-months old	L1	19	1.166666667
4.5	4.695652174	0.360819635	4-months old	L1	24	2.313333333
6.5	6.782608696	0.21794587	4-months old	L1	26	2.786666667
8.5	8.869565217	0.433507602	4-months old	L1	27	2.206666667
10.5	10.95652174	0.745000305	4-months old	L1	26	0.866666667
12.5	12.96	0.622456609	4-months old	L1	21	0
14.5	14.88	0.557214944	4-months old	L1	18	0
16.5	16.8	0.322763156	4-months old	L1	14	0
18.5	18.72	0.118874421	4-months old	L1	14	0
20.5	20.64	0.065192124	4-months old	L1	13	0
22.5	22.56	0.066815252	4-months old	L1	12	0
24.5	24.52173913		4-months old	L1	12	0.073333333
-1.5	-1.44		4-months old	L1	10	0
0.5	0.52173913	0.030724186	4-months old	L1	10	0.073333333
2.5	2.608695652	0.06053362	4-months old	L1	19	1.166666667
4.5	4.695652174	0.619104192	4-months old	L1	24	2.313333333
6.5	6.782608696	0.370175968	4-months old	L1	26	2.786666667
8.5	8.869565217	0.690829604	4-months old	L1	27	2.206666667
10.5	10.95652174	0.627215563	4-months old	L1	26	0.866666667
12.5	12.96	1.021857147	4-months old	L1	21	0
14.5	14.88	1.357661482	4-months old	L1	18	0
16.5	16.8	0.356697364	4-months old	L1	14	0
18.5	18.72	0.248479123	4-months old	L1	14	0
20.5	20.64	0.192212507	4-months old	L1	13	0
22.5	22.56	0.298164566	4-months old	L1	12	0
24.5	24.52173913		4-months old	L1	12	0.073333333
-1.5	-1.44		4-months old	L1	10	0
0.5	0.52173913		4-months old	L1	10	0.073333333
2.5	2.608695652		4-months old	L1	19	1.166666667
4.5	4.695652174		4-months old	L1	24	2.313333333
6.5	6.782608696		4-months old	L1	26	2.786666667
8.5	8.869565217		4-months old	L1	27	2.206666667
10.5	10.95652174		4-months old	L1	26	0.866666667
12.5	12.96		4-months old	L1	21	0
14.5	14.88		4-months old	L1	18	0
16.5	16.8		4-months old	L1	14	0
18.5	18.72		4-months old	L1	14	0
20.5	20.64		4-months old	L1	13	0
22.5	22.56		4-months old	L1	12	0
24.5	24.52173913		4-months old	L1	12	0.073333333
-1.5	-1.953488372		9-months old	L1	10	0
0.5	0.226415094	0.01472777	9-months old	L1	10	0.073333333
2.5	2.037735849	0.022357224	9-months old	L1	19	1.166666667
4.5	3.849056604	0.014422405	9-months old	L1	24	2.313333333
6.5	5.660377358	0.193043278	9-months old	L1	26	2.786666667
8.5	7.471698113	0.200164093	9-months old	L1	27	2.206666667
10.5	9.283018868	0.273264882	9-months old	L1	26	0.866666667
12.5	11.09433962	0.152037238	9-months old	L1	21	0
14.5	13.11627907	0.158968227	9-months old	L1	18	0
16.5	15.34883721	0.102403667	9-months old	L1	14	0
18.5	17.58139535	0.04544037	9-months old	L1	14	0
20.5	19.81395349	0.018550576	9-months old	L1	13	0
22.5	22.04651163	0.006756827	9-months old	L1	12	0
24.5	24.22641509		9-months old	L1	12	0.073333333
-1.5	-1.953488372		9-months old	L1	10	0
0.5	0.226415094	0.006523683	9-months old	L1	10	0.073333333
2.5	2.037735849	0.004541741	9-months old	L1	19	1.166666667
4.5	3.849056604	0.02470704	9-months old	L1	24	2.313333333
6.5	5.660377358	0.091798898	9-months old	L1	26	2.786666667
8.5	7.471698113	0.142498741	9-months old	L1	27	2.206666667
10.5	9.283018868	0.085060027	9-months old	L1	26	0.866666667
12.5	11.09433962	0.100693374	9-months old	L1	21	0
14.5	13.11627907	0.095818936	9-months old	L1	18	0
16.5	15.34883721	0.059615246	9-months old	L1	14	0
18.5	17.58139535	0.03172243	9-months old	L1	14	0
20.5	19.81395349	0.008327975	9-months old	L1	13	0
22.5	22.04651163	0.004191738	9-months old	L1	12	0
24.5	24.22641509		9-months old	L1	12	0.073333333
-1.5	-1.953488372		9-months old	L1	10	0
0.5	0.226415094		9-months old	L1	10	0.073333333
2.5	2.037735849		9-months old	L1	19	1.166666667
4.5	3.849056604		9-months old	L1	24	2.313333333
6.5	5.660377358		9-months old	L1	26	2.786666667
8.5	7.471698113		9-months old	L1	27	2.206666667
10.5	9.283018868		9-months old	L1	26	0.866666667
12.5	11.09433962		9-months old	L1	21	0
14.5	13.11627907		9-months old	L1	18	0
16.5	15.34883721		9-months old	L1	14	0
18.5	17.58139535		9-months old	L1	14	0
20.5	19.81395349		9-months old	L1	13	0
22.5	22.04651163		9-months old	L1	12	0
24.5	24.22641509		9-months old	L1	12	0.073333333
