ZT	CT	PRR73	Campo	Organ	Temperature	Light
-1.5	-1.411764706	0.008391971	east side	L1	16	0
0.5	0.533333333	0.019667604	east side	L1	18	2677
2.5	2.666666667	0.143220229	east side	L1	26.1	21200
4.5	4.8	0.157212666	east side	L1	31	38400
6.5	6.933333333	0.279105751	east side	L1	27.7	32050
8.5	9.066666667	0.312931843	east side	L1	27.1	35100
10.5	11.2	0.220197834	east side	L1	24.4	5980
12.5	13.17647059	0.192147719	east side	L1	30.1	0
16.5	16.94117647	0.038355802	east side	L1	16.8	0
20.5	20.70588235	0.016162816	east side	L1	14.2	0
22.5	22.58823529	0.011796545	east side	L1	13.5	0
24.5	24.53333333	0.042560532	east side	L1	20.2	2677
-1.5	-1.411764706	0.007464874	east side	L1	16	0
0.5	0.533333333	0.024059696	east side	L1	18	2677
2.5	2.666666667	0.171818223	east side	L1	26.1	21200
4.5	4.8	0.268695871	east side	L1	31	38400
6.5	6.933333333	0.199312815	east side	L1	27.7	32050
8.5	9.066666667	0.227640072	east side	L1	27.1	35100
10.5	11.2	0.148161068	east side	L1	24.4	5980
12.5	13.17647059	0.154628733	east side	L1	30.1	0
16.5	16.94117647	0.024680668	east side	L1	16.8	0
20.5	20.70588235	0.015550367	east side	L1	14.2	0
22.5	22.58823529	0.008919075	east side	L1	13.5	0
24.5	24.53333333	0.010932873	east side	L1	20.2	2677
-1.5	-1.411764706	0.004104215	west side	L1	15.2	0
0.5	0.533333333	0.007690855	west side	L1	17	1760
2.5	2.666666667	0.083676245	west side	L1	20.2	9660
4.5	4.8	0.179224218	west side	L1	26.8	31600
6.5	6.933333333	0.202048608	west side	L1	29.1	30400
8.5	9.066666667	0.127653292	west side	L1	35.8	31700
10.5	11.2	0.140022533	west side	L1	26.4	6170
12.5	13.17647059	0.102011178	west side	L1	19.7	0
16.5	16.94117647	0.025008929	west side	L1	16.4	0
20.5	20.70588235	0.010968192	west side	L1	14.2	0
22.5	22.58823529	0.009591566	west side	L1	13.2	0
24.5	24.53333333	0.007295932	west side	L1	13.8	1760
-1.5	-1.411764706	0.004897757	west side	L1	15.2	0
0.5	0.533333333	0.005539744	west side	L1	17	1760
2.5	2.666666667	0.156918031	west side	L1	20.2	9660
4.5	4.8	0.213220128	west side	L1	26.8	31600
6.5	6.933333333	1.91E-01	west side	L1	29.1	30400
8.5	9.066666667	0.137906451	west side	L1	35.8	31700
10.5	11.2	0.083744741	west side	L1	26.4	6170
12.5	13.17647059	0.254186972	west side	L1	19.7	0
16.5	16.94117647	0.012646887	west side	L1	16.4	0
20.5	20.70588235	0.007898378	west side	L1	14.2	0
22.5	22.58823529	0.011211271	west side	L1	13.2	0
24.5	24.53333333	0.008749677	west side	L1	13.8	1760
