ZT	CT	PRR37	Campo	Organ	Temperature	Light
-1.25	-1.25	0.00047491	before the wall	L1	17.8	0
0.75	0.75	0.001109791	before the wall	L1	22	0.3785364
2.75	2.75	0.005689954	before the wall	L1	33.1	2.292264
4.75	4.75	0.012953975	before the wall	L1	39.5	3.751236
6.75	6.75	0.004149573	before the wall	L1	31.9	1.80022356
8.75	8.75	0.003781748	before the wall	L1	32	0.477792
10.75	10.75	0.003251477	before the wall	L1	29.3	0.349812
12.75	12.75	0.002987272	before the wall	L1	22.3	0
16.75	16.75	0.000304933	before the wall	L1	22	0
20.75	20.75	7.41679E-05	before the wall	L1	22	0
22.75	22.75	0.000149906	before the wall	L1	22	0
24.75	24.75	0.001364107	before the wall	L1	21	0.3785364
-1.25	-1.25	0.00035067	before the wall	L1	17.8	0
0.75	0.75	0.000944023	before the wall	L1	22	0.3785364
2.75	2.75	0.009023931	before the wall	L1	33.1	2.292264
4.75	4.75	0.021698471	before the wall	L1	39.5	3.751236
6.75	6.75	0.003714209	before the wall	L1	31.9	1.80022356
8.75	8.75	0.001473084	before the wall	L1	32	0.477792
10.75	10.75	0.002049621	before the wall	L1	29.3	0.349812
12.75	12.75	0.003520549	before the wall	L1	22.3	0
16.75	16.75	0.000431925	before the wall	L1	22	0
20.75	20.75	0.000200783	before the wall	L1	22	0
22.75	22.75	0.000143041	before the wall	L1	22	0
24.75	24.75	0.000359446	before the wall	L1	21	0.3785364
-1.25	-1.25		after the wall	L1	17.4	0
0.75	0.75	0.000381444	after the wall	L1	20.5	0.1794564
2.75	2.75	0.004421762	after the wall	L1	26.8	2.064744
4.75	4.75	0.001714435	after the wall	L1	32.7	3.92472
6.75	6.75	0.002725348	after the wall	L1	30.9	1.768968
8.75	8.75	0.000896003	after the wall	L1	34	0.489168
10.75	10.75	0.002127746	after the wall	L1	30	0.998244
12.75	12.75	0.001252146	after the wall	L1	24	0
16.75	16.75	0.00021154	after the wall	L1	23	0
20.75	20.75	4.15807E-05	after the wall	L1	22	0
22.75	22.75	7.60052E-05	after the wall	L1	22	0
24.75	24.75	0.000608511	after the wall	L1	21	0.1794564
-1.25	-1.25	8.17071E-05	after the wall	L1	17.4	0
0.75	0.75	0.000350724	after the wall	L1	20.5	0.1794564
2.75	2.75	0.011367803	after the wall	L1	26.8	2.064744
4.75	4.75	0.005569175	after the wall	L1	32.7	3.92472
6.75	6.75	0.002170323	after the wall	L1	30.9	1.768968
8.75	8.75	0.002001286	after the wall	L1	34	0.489168
10.75	10.75	0.001000474	after the wall	L1	30	0.998244
12.75	12.75	0.000898009	after the wall	L1	24	0
16.75	16.75	0.00033997	after the wall	L1	23	0
20.75	20.75	0.000383688	after the wall	L1	22	0
22.75	22.75	0.000134896	after the wall	L1	22	0
24.75	24.75	0.000736663	after the wall	L1	21	0.1794564
