ZT	CT	PRR73	Campo	Organ	Temperature	Light
-1.25	-1.25	0.010433339	before the wall	L1	17.8	0
0.75	0.75	0.057628805	before the wall	L1	22	0.3785364
2.75	2.75	0.315253483	before the wall	L1	33.1	2.292264
4.75	4.75	0.554483878	before the wall	L1	39.5	3.751236
6.75	6.75	0.568919132	before the wall	L1	31.9	1.80022356
8.75	8.75	0.768507812	before the wall	L1	32	0.477792
10.75	10.75	0.384529332	before the wall	L1	29.3	0.349812
12.75	12.75	0.436402449	before the wall	L1	22.3	0
16.75	16.75	0.012167511	before the wall	L1	22	0
20.75	20.75	0.01184695	before the wall	L1	22	0
22.75	22.75	0.009630089	before the wall	L1	22	0
24.75	24.75	0.121802627	before the wall	L1	21	0.3785364
-1.25	-1.25	0.019941557	before the wall	L1	17.8	0
0.75	0.75	0.07146974	before the wall	L1	22	0.3785364
2.75	2.75	0.567267078	before the wall	L1	33.1	2.292264
4.75	4.75	2.095011108	before the wall	L1	39.5	3.751236
6.75	6.75	1.158827783	before the wall	L1	31.9	1.80022356
8.75	8.75	0.923103212	before the wall	L1	32	0.477792
10.75	10.75	0.229050654	before the wall	L1	29.3	0.349812
12.75	12.75	0.606287767	before the wall	L1	22.3	0
16.75	16.75	0.009484071	before the wall	L1	22	0
20.75	20.75	0.007179608	before the wall	L1	22	0
22.75	22.75	0.026179843	before the wall	L1	22	0
24.75	24.75	0.168520187	before the wall	L1	21	0.3785364
-1.25	-1.25	0.001616207	after the wall	L1	17.4	0
0.75	0.75	0.002015232	after the wall	L1	20.5	0.1794564
2.75	2.75	0.018311735	after the wall	L1	26.8	2.064744
4.75	4.75	0.153099607	after the wall	L1	32.7	3.92472
6.75	6.75	0.055637258	after the wall	L1	30.9	1.768968
8.75	8.75	0.057702424	after the wall	L1	34	0.489168
10.75	10.75	0.025703122	after the wall	L1	30	0.998244
12.75	12.75	0.057683222	after the wall	L1	24	0
16.75	16.75	0.001919744	after the wall	L1	23	0
20.75	20.75	0.00060825	after the wall	L1	22	0
22.75	22.75	0.001667865	after the wall	L1	22	0
24.75	24.75	0.002738965	after the wall	L1	21	0.1794564
-1.25	-1.25	0.000975252	after the wall	L1	17.4	0
0.75	0.75	0.002326067	after the wall	L1	20.5	0.1794564
2.75	2.75	0.008062164	after the wall	L1	26.8	2.064744
4.75	4.75	0.059458518	after the wall	L1	32.7	3.92472
6.75	6.75	0.098723849	after the wall	L1	30.9	1.768968
8.75	8.75	0.038535182	after the wall	L1	34	0.489168
10.75	10.75	0.022843809	after the wall	L1	30	0.998244
12.75	12.75	0.077060443	after the wall	L1	24	0
16.75	16.75	0.001662405	after the wall	L1	23	0
20.75	20.75	0.000225036	after the wall	L1	22	0
22.75	22.75	0.000503333	after the wall	L1	22	0
24.75	24.75	0.004631212	after the wall	L1	21	0.1794564
