ProbeName	Module	Phase	Phase_normalized	Phase_normalized_rounded	-2	0	2	4	6	8	10	12	14	16	18	20
GS1_SS_01533_09963	antiquewhite2_02 (40)	4	5.27	5	-1.44391788	-1.009953905	0.113246972	1.63576764	1.170806238	0.598265532	-0.238847329	-0.687215991	-0.592400332	-1.380099649	0.989562461	0.844786244
GS1_SS_01853_06264	antiquewhite2_02 (40)	4	5.27	5	-0.458195775	-0.708433173	0.839172369	0.477241025	1.734871899	0.564233425	0.172660225	-1.497808658	-0.793277613	-0.783611791	1.532104428	-1.07895636
GS1_SS_02333_00941	antiquewhite2_02 (40)	4	5.27	5	-1.740536081	-0.179637335	-0.048951174	1.418087065	1.169588751	0.645646523	0.278886963	-0.535468957	-1.321382299	-0.58786318	-0.616305758	1.517935483
GS1_SS_03567_07008	antiquewhite2_02 (40)	4	5.27	5	-0.824400173	-0.00722223	0.929256998	1.462407031	0.752337256	0.362635662	-0.640308009	-1.35874561	-1.049136062	-1.538056159	1.145027359	0.766203938
GS1_SS_03709_16433	antiquewhite2_02 (40)	4	5.27	5	-0.961162377	-1.155425395	0.487447936	1.67489671	1.319819937	0.487447936	-0.48772668	-0.983033048	-1.071802241	-0.983033048	0.818209669	0.854360602
GS1_SS_03935_06278	antiquewhite2_02 (40)	4	5.27	5	-0.631431848	-0.365293936	0.466808144	1.174263354	1.106886667	0.722839553	-0.132844367	-1.414685831	-1.729671841	-1.108121907	1.126257465	0.784994547
GS1_SS_05207_15881	antiquewhite2_02 (40)	4	5.27	5	-1.07924882	-0.749201548	-0.121766131	1.633705197	1.132586302	0.313516109	0.03185273	-0.686993685	-1.549263783	-1.0429609	1.005924181	1.111850348
GS1_SS_05716_08869	antiquewhite2_02 (40)	4	5.27	5	-0.897604866	-0.538499078	0.312821041	2.278805525	1.71381242	0.105976108	-0.172689983	-0.54232954	-0.771199629	-0.658201008	0.280262117	-1.111153107
GS1_SS_05886_04049	antiquewhite2_02 (40)	4	5.27	5	-0.356148263	-0.60523649	1.041706997	1.660072876	1.26815084	0.763006883	-0.634848377	-1.457884652	-1.588525331	-0.557334908	0.277720309	0.189320117
GS1_SS_06427_20084	antiquewhite2_02 (40)	4	5.27	5	-0.353481229	-0.979548332	0.613690369	1.623393699	1.640406392	0.781265395	-0.819629018	-1.217726034	-1.200713341	-0.840894884	0.463383226	0.289853757
GS1_SS_06683_14464	antiquewhite2_02 (40)	4	5.27	5	-0.830746306	-0.871593195	0.946093383	1.47029513	1.504334205	0.873249763	-0.823938491	-1.184752681	-1.123482346	-0.85116975	0.467640152	0.424070136
GS1_SS_07065_12951	antiquewhite2_02 (40)	4	5.27	5	-0.238521537	-0.232095272	-0.82973792	1.276791757	2.002959706	0.805103904	0.605889688	-0.172973634	-1.865651843	-0.692215848	0.080221208	-0.739770209
GS1_SS_07218_10721	antiquewhite2_02 (40)	4	5.27	5	-0.107456507	-0.593724334	1.826760611	1.175509056	0.318027842	0.515574147	-0.068381413	-1.209374137	-0.880275018	-1.954840083	0.55291257	0.425267265
GS1_SS_07351_20578	antiquewhite2_02 (40)	4	5.27	5	-0.388808492	0.360720668	0.117826374	0.265858383	0.818636139	0.86665285	0.462609788	-1.255451583	-1.069240432	0.272885219	1.658694367	-2.110383281
GS1_SS_08401_11313	antiquewhite2_02 (40)	4	5.27	5	-2.011553488	-0.940147695	-1.070806938	1.271913289	0.568966562	0.609470927	0.35703727	1.219649592	0.955717921	0.316402245	-0.349567916	-0.927081771
GS1_SS_09141_08833	antiquewhite2_02 (40)	4	5.27	5	0.544523277	-1.103578573	-0.706939953	2.443943563	0.80268031	0.404332041	0.344494318	0.346203967	-1.406186485	-0.3855259	-0.732584692	-0.551361874
GS1_SS_09614_09565	antiquewhite2_02 (40)	4	5.27	5	-1.122076139	-1.874503943	1.778587573	1.165195341	0.919838448	0.456386539	0.277821245	-0.749951518	-0.286499609	-0.908070404	0.019106032	0.324166436
GS1_SS_09899_12895	antiquewhite2_02 (40)	4	5.27	5	-1.000839723	-1.636638594	1.491895533	1.007477345	1.542355761	0.211467251	-0.19066292	-0.956687024	-1.055084468	-0.310796107	0.235183558	0.662329387
GS1_SS_10228_02302	antiquewhite2_02 (40)	4	5.27	5	-1.340019549	-1.287033698	0.451785337	1.7154979	1.353427913	0.896866491	-0.140773105	-0.818992007	-0.801330057	-0.986780538	0.481898962	0.47545235
GS1_SS_10381_13545	antiquewhite2_02 (40)	4	5.27	5	-0.446974518	-0.409933256	1.356695963	1.147592065	1.58969745	0.347620295	-0.638752665	-1.188397197	-1.050986064	-1.570758611	0.606789641	0.257406899
GS1_SS_10937_00918	antiquewhite2_02 (40)	4	5.27	5	-1.704378699	-1.226745184	-0.021697248	1.610070235	1.269803614	1.141258446	0.202374623	-0.533609475	-0.605443539	-1.00368151	0.399603238	0.4724455
GS1_SS_11337_05709	antiquewhite2_02 (40)	4	5.27	5	-0.582906865	-0.776867236	1.428810316	1.640177387	0.86806591	0.37819164	-0.517010072	-1.405995105	-1.231928106	-0.974557614	0.704815931	0.469203814
GS1_SS_12316_17514	antiquewhite2_02 (40)	4	5.27	5	-2.101682312	-1.75485288	0.545319917	0.620235074	1.269499772	0.722896586	0.689600961	-0.346725384	-0.29164887	-0.522914735	0.430033813	0.740238058
GS1_SS_13441_11131	antiquewhite2_02 (40)	4	5.27	5	-1.458967272	-1.061161133	0.363515249	1.256722631	1.384020595	0.88013282	0.679638527	-0.489381111	-1.034640724	-1.458967272	0.503436928	0.435650762
GS1_SS_14268_12617	antiquewhite2_02 (40)	4	5.27	5	-0.156276719	-0.147731701	1.205488354	1.283947151	1.090519026	0.364969353	-0.836770845	-0.728016076	-1.240717131	-1.551445042	1.381904125	-0.665870494
GS1_SS_14641_12206	antiquewhite2_02 (40)	4	5.27	5	-0.043708715	0.304159941	-0.474750156	0.984112637	-0.400987431	1.017503171	-0.269276951	0.285946922	-0.636846022	-0.7127336	-2.081745501	2.028325706
GS1_SS_14765_02725	antiquewhite2_02 (40)	4	5.27	5	-0.40198664	0.128139306	1.257848935	0.594936142	0.886045766	0.654179504	0.125074995	-0.750296752	-1.92903537	-1.85753476	0.855096217	0.437532658
GS1_SS_16225_20539	antiquewhite2_02 (40)	4	5.27	5	-0.751647485	-2.126036244	0.852802	2.086764081	0.806491074	-0.352775965	0.131247902	-0.573873287	-0.330367453	-0.487227039	0.582002598	0.162619819
GS1_SS_16813_07815	antiquewhite2_02 (40)	4	5.27	5	-1.118951212	-0.737198288	-0.044086597	1.68057023	1.369211462	0.814180615	0.022246358	-0.758858028	-1.07157053	-1.488520532	0.743515712	0.589460809
GS1_SS_16843_15376	antiquewhite2_02 (40)	4	5.27	5	-0.711275601	-0.7863721	0.956939494	1.546983419	1.402154455	0.723603943	-0.561082602	-1.172582669	-1.263771275	-1.135034419	0.528084842	0.472352512
GS1_SS_18539_07062	antiquewhite2_02 (40)	4	5.27	5	-1.03020208	-1.334181426	1.956871711	0.969780109	0.333779043	0.627663134	0.019704442	-1.621335346	-0.33228345	-0.693693579	0.715379683	0.388517759
GS1_SS_18712_11754	antiquewhite2_02 (40)	4	5.27	5	-0.76125636	-0.642104486	0.838854018	1.482770605	1.413265345	0.779278081	-0.612316517	-1.426520991	-1.093888676	-1.113747321	0.636841945	0.498824357
GS1_SS_19411_13637	antiquewhite2_02 (40)	4	5.27	5	-0.533296443	-0.413079938	1.525771846	1.477685245	0.901607755	0.395736704	-0.469822128	-1.022818049	-1.31133766	-1.58062263	0.670695893	0.359479406
GS1_SS_20675_19867	antiquewhite2_02 (40)	4	5.27	5	-0.576119819	-1.110223881	1.801670376	1.519211498	0.535741039	0.416337967	-0.617204747	-1.27071188	-0.83033281	-1.026770121	0.505697685	0.652704693
GS1_SS_21472_09691	antiquewhite2_02 (40)	4	5.27	5	-0.689760159	0.124560694	1.452853833	1.204157566	1.561259898	0.961838127	0.000850244	-1.384834341	-0.989471045	-0.842804016	-0.702513814	-0.696136987
GS1_SS_21974_20657	antiquewhite2_02 (40)	4	5.27	5	-0.810246931	-0.735231925	0.616968472	1.392411968	1.442333223	0.943120672	-0.361488128	-1.171876503	-0.990495943	-1.519661247	0.652911775	0.541254568
GS1_SS_23131_14415	antiquewhite2_02 (40)	4	5.27	5	-0.697737419	-0.906356363	0.545507556	1.652633833	1.084611955	0.613670181	-0.613257074	-1.288686724	-0.816505629	-1.350652747	0.931555879	0.845216553
GS1_SS_23514_11050	antiquewhite2_02 (40)	4	5.27	5	-0.676961145	-0.870201991	1.144631466	1.382748147	1.410223148	0.56490893	-0.70260448	-1.209060344	-1.071685336	-1.163268675	0.805040445	0.386229836
GS1_SS_24007_10800	antiquewhite2_02 (40)	4	5.27	5	-0.679626483	-0.637595267	0.517349441	1.098476684	1.334216981	0.581309987	-0.290380877	-1.423396256	-1.485529357	-1.061562312	1.040181215	1.006556243
GS1_SS_25929_08177	antiquewhite2_02 (40)	4	5.27	5	-1.290734161	-1.210527493	1.737067559	1.007186879	0.260162025	0.589109622	0.938008628	-0.076605723	-0.453577063	-0.6861764	-1.531354165	0.717440291
GS1_SS_00133_18900	antiquewhite4_01 (36)	12	10.3	10	0.257920468	0.165926503	-0.611002851	-1.318648737	-0.917100839	-1.083315338	-0.413520279	-0.017896858	-0.110713667	0.18024399	2.136473441	1.731634167
GS1_SS_00449_11300	antiquewhite4_01 (36)	12	10.3	10	0.208851098	0.360401421	-0.492572079	-1.19935987	-1.688880825	-1.346886733	-0.297434274	0.452940999	0.355036808	0.57498595	1.596810651	1.476106854
GS1_SS_01306_09932	antiquewhite4_01 (36)	12	10.3	10	-0.110990588	-0.467993624	-0.727947291	-1.065309383	-1.893695069	-0.985590259	0.105059793	0.882610095	1.075553484	0.71161835	1.123962633	1.35272186
GS1_SS_02633_11012	antiquewhite4_01 (36)	12	10.3	10	0.023301727	0.069032102	-0.865821367	-0.62655098	-1.674243797	-1.461873632	-0.356132969	0.497595096	0.697223052	0.660412223	1.561852786	1.475205759
GS1_SS_02959_16437	antiquewhite4_01 (36)	12	10.3	10	0.084174521	0.25229007	-0.402660088	-0.903504326	-2.410706916	-0.755235752	0.400558643	0.478779072	0.495123639	-0.027435524	1.544561601	1.244055058
GS1_SS_03201_21192	antiquewhite4_01 (36)	12	10.3	10	-0.499068605	0.316881641	-0.451903851	-1.575997158	-1.190818333	-1.426642103	0.232771163	0.429762619	0.637601969	0.57471563	1.771521267	1.181175761
GS1_SS_05550_13006	antiquewhite4_01 (36)	12	10.3	10	-0.095295157	-0.924005215	-0.706590694	-1.430980779	-1.235990178	-0.855758504	0.381456864	1.053199488	0.640794365	0.15353235	1.712462712	1.307174747
GS1_SS_06140_09921	antiquewhite4_01 (36)	12	10.3	10	0.074320479	0.47786896	-0.224163548	-1.306062961	-1.810949354	-1.390210694	-0.173674909	0.495900617	0.445411978	0.60769689	1.509760579	1.294101962
GS1_SS_06528_02894	antiquewhite4_01 (36)	12	10.3	10	-0.25406864	0.114077036	-0.614995774	-0.708836828	-1.619816914	-1.345512292	-0.41143287	0.380874373	0.638143234	0.450461124	1.664475631	1.70663192
GS1_SS_07178_19847	antiquewhite4_01 (36)	12	10.3	10	0.236862235	-0.271447688	-1.036742805	-1.957134714	-1.18278285	-0.581641271	-0.141596578	0.8063052	0.81649404	0.767814025	1.090687054	1.453183351
GS1_SS_09452_17912	antiquewhite4_01 (36)	12	10.3	10	-0.200394841	0.115449205	-0.874835966	-0.831602561	-0.682687497	-0.078860934	-0.303194271	-0.408875929	-0.526566866	-0.480931605	2.38376188	1.888739387
GS1_SS_09508_21559	antiquewhite4_01 (36)	12	10.3	10	-0.85301896	-0.787361285	-0.990214102	-0.567849058	-1.823184605	0.221806979	0.740404615	0.481693776	0.416036101	0.079908004	1.174921228	1.906857309
GS1_SS_11521_16969	antiquewhite4_01 (36)	12	10.3	10	-0.015421258	0.430376093	0.575695433	-1.799367533	-1.731249092	-1.156026704	-0.348444746	0.636245158	0.626405828	0.568126717	0.774979716	1.43868039
GS1_SS_12927_17042	antiquewhite4_01 (36)	12	10.3	10	-0.213006448	-0.070339251	-0.466435268	-1.734357555	-1.812176025	-0.493152943	0.365444186	0.76880326	0.548317593	0.238340683	1.450882158	1.41767961
GS1_SS_13493_02002	antiquewhite4_01 (36)	12	10.3	10	0.393200327	0.219035017	-0.955842838	-0.338884366	-1.618556603	-1.426679567	-0.082949919	0.382868487	0.083983103	-0.072322883	1.94578075	1.470368492
GS1_SS_14288_09143	antiquewhite4_01 (36)	12	10.3	10	-0.191133575	-1.074318757	-0.650211298	-1.364497545	-1.77372404	-0.472383785	0.794730255	1.023897092	0.825980278	0.840861242	1.06370367	0.977096462
GS1_SS_14512_14250	antiquewhite4_01 (36)	12	10.3	10	0.050109867	0.526101095	-0.682492757	-1.28621689	-2.088127502	-0.764974992	0.161002649	0.673881765	0.165241319	0.435599754	1.476708847	1.333166847
GS1_SS_15620_05080	antiquewhite4_01 (36)	12	10.3	10	0.385743926	0.142221049	-0.707895173	-0.747744371	-1.363193095	-1.077607176	-0.569308518	0.058094965	0.093516474	-0.063666473	1.912853744	1.936984648
GS1_SS_16175_18631	antiquewhite4_01 (36)	12	10.3	10	-0.373481778	-0.152923423	-1.00580835	-1.610565127	-1.655032537	-0.305891314	0.366633796	1.070819703	0.892060715	0.925855946	0.309092968	1.539239401
GS1_SS_17857_11856	antiquewhite4_01 (36)	12	10.3	10	-0.890714813	-1.47041059	0.113207394	-1.031721894	0.103565884	-0.224245449	-1.449922381	0.4759692	0.488021087	1.200287624	1.724665238	0.9612987
GS1_SS_17924_09495	antiquewhite4_01 (36)	12	10.3	10	0.046279876	0.363475282	-0.06433869	-0.380201342	-1.60500209	-1.591674552	-0.598772966	-0.097657535	0.21580616	0.208609289	1.83003757	1.673438998
GS1_SS_18314_06609	antiquewhite4_01 (36)	12	10.3	10	-0.218043369	0.550237571	0.000218262	-1.326812452	-1.353003848	-0.094070763	-0.393351111	0.143397891	-0.066133274	-0.77504705	2.483861008	1.048747135
GS1_SS_18919_10287	antiquewhite4_01 (36)	12	10.3	10	-0.225489472	0.003741604	-0.302226371	-1.283479054	-1.624713348	-0.857344361	-0.032830875	0.112152882	0.326363119	0.25778972	2.006737929	1.619298226
GS1_SS_20068_10354	antiquewhite4_01 (36)	12	10.3	10	0.882738896	-0.310952748	-0.596050441	-1.518279499	-2.100870436	-0.540270457	0.117933346	0.561694103	0.769939374	0.473685685	0.961822517	1.298609661
GS1_SS_20363_19225	antiquewhite4_01 (36)	12	10.3	10	0.055351333	0.049536778	-0.427256726	-1.14244698	-1.216098009	-0.904050229	-0.485402275	0.21815887	-0.11714713	-8.08E-05	2.117773962	1.851661165
GS1_SS_20404_02424	antiquewhite4_01 (36)	12	10.3	10	-0.435357408	0.137540709	-0.875869608	-1.386832793	-1.193286132	-1.557153854	0.434054193	0.930307832	0.723599998	0.698826026	1.283104686	1.241066351
GS1_SS_20816_04573	antiquewhite4_01 (36)	12	10.3	10	-1.018544909	-0.474293276	-0.76372189	-1.322130357	-0.107316669	-0.878549547	0.123439731	0.357813989	0.626793842	-0.208459386	2.237055103	1.427913369
GS1_SS_21557_10314	antiquewhite4_01 (36)	12	10.3	10	0.310262319	0.150707608	-1.172778271	-1.651442406	-1.080727476	-0.184766402	-0.299318503	0.195710219	0.222302671	-0.066123155	1.793098352	1.783075043
GS1_SS_22402_14792	antiquewhite4_01 (36)	12	10.3	10	0.009213374	0.211293372	-0.587199023	-1.089327895	-1.563816645	-0.968018473	-0.381433675	0.444698842	0.266573615	0.062343829	2.079458465	1.516214214
GS1_SS_22459_13615	antiquewhite4_01 (36)	12	10.3	10	0.316172813	-0.027024145	-0.44137169	-1.383070658	-1.979480004	-0.953028129	0.084546256	0.561014544	0.412435374	0.506605271	1.419320837	1.483879533
GS1_SS_23190_12453	antiquewhite4_01 (36)	12	10.3	10	0.1744866	0.145291456	-0.560774841	-0.825355829	-2.193878178	-1.190295122	0.36799566	0.851540223	0.591520977	0.262345734	0.632576647	1.744546673
GS1_SS_23503_17871	antiquewhite4_01 (36)	12	10.3	10	0.100223995	0.247272323	0.091018531	-0.852601344	-1.966821189	-1.369063762	-0.460472472	0.326176303	0.319003214	0.497134927	1.730069397	1.338060076
GS1_SS_24852_20045	antiquewhite4_01 (36)	12	10.3	10	-0.624945307	-0.687941761	-0.584996336	-1.254909843	-1.153500918	-0.314879835	-0.255263679	0.39836294	0.287735022	0.355340972	1.879240551	1.955758195
GS1_SS_24921_21463	antiquewhite4_01 (36)	12	10.3	10	0.077613694	-0.074925268	-0.560945963	-1.112891543	-1.705514179	-0.742940725	-0.094211804	0.472111012	-0.032845554	0.112680123	1.941043689	1.720826519
GS1_SS_25110_09074	antiquewhite4_01 (36)	12	10.3	10	-0.212905928	-0.037248841	-0.849512036	-0.730568572	-0.582320196	-1.45284845	-0.67023493	0.127892955	0.158921684	0.341646427	2.014612112	1.892565774
GS1_SS_30709_19863	antiquewhite4_01 (36)	12	10.3	10	-0.196958971	0.526124008	-1.995887266	-0.603194332	-1.102009853	-0.717323323	0.2276328	0.029702802	0.360118203	0.218055542	1.832621621	1.421118769
GS1_SS_00054_14737	blue1_01 (211)	20	20.36	20	-0.339252114	0.488152026	-0.335968765	-0.81862118	-0.094642557	-0.230244902	-1.135464432	-0.485361179	-0.771012608	-0.313149484	2.487547865	1.54801733
GS1_SS_00270_03274	blue1_01 (211)	20	20.36	20	0.70271784	-0.157860075	-0.385748303	-1.001946078	-0.949471815	-1.342279156	-0.691598294	-0.273303454	-0.029822873	0.419356819	1.937812066	1.772143321
GS1_SS_00292_13707	blue1_01 (211)	20	20.36	20	0.016246006	-0.027980619	-0.294654028	-0.527425736	-0.585042495	-0.49285568	-0.534339747	-0.73715074	-0.757892773	-0.412192217	2.177104948	2.17618308
GS1_SS_00435_10744	blue1_01 (211)	20	20.36	20	0.497682567	-0.266812918	-0.223453472	-0.791690415	-0.95143574	-0.420853053	0.119998977	0.702729384	1.075047814	0.596838772	-2.149525679	1.811473763
GS1_SS_00460_09519	blue1_01 (211)	20	20.36	20	0.419284887	0.907863355	0.419284887	-0.698808145	-0.721357921	-1.380938852	-0.89611868	-0.944976527	-0.056139545	-0.204592233	0.808268514	2.348230262
GS1_SS_00526_08262	blue1_01 (211)	20	20.36	20	-0.416558284	-0.063542789	-0.522859579	-1.46370537	-0.503820541	-0.783059764	-0.475261984	0.108919163	-0.148425166	0.240288524	2.248113732	1.779912058
GS1_SS_00658_00816	blue1_01 (211)	20	20.36	20	0.478256398	1.133759131	-0.505599081	-1.248903098	-1.074503288	-0.981890975	-0.805085651	-0.36728199	0.220866334	-0.206834165	1.823059345	1.534157039
GS1_SS_00683_02259	blue1_01 (211)	20	20.36	20	0.584722233	0.168815909	-0.075120159	-1.20507689	-1.150557335	-1.476116966	-0.448033919	-0.021846765	-0.183536189	0.242027884	1.677605666	1.88711653
GS1_SS_00756_00145	blue1_01 (211)	20	20.36	20	-0.374260387	0.457484018	0.12176106	-0.776574547	-1.285692879	-1.226664666	-0.512792223	-0.177438192	0.018461688	-0.133351495	1.939830001	1.949237622
GS1_SS_01009_16074	blue1_01 (211)	20	20.36	20	0.241906026	0.134366814	0.141231019	-0.355737427	-1.156103735	-1.352877613	-0.6092554	-0.597815058	-0.13859974	-0.253231965	2.051310477	1.894806602
GS1_SS_01021_13234	blue1_01 (211)	20	20.36	20	0.063492885	0.420246882	0.241170366	-0.054026079	-1.930132395	-0.852875226	-0.645818004	0.196401237	-0.290742849	-0.672399675	1.987586111	1.537096749
GS1_SS_01109_20881	blue1_01 (211)	20	20.36	20	-0.089822898	-1.911231652	0.014138789	-0.559729722	-1.705387512	-0.763286705	0.694048222	0.781376039	0.558898029	0.847911519	0.805703074	1.327382819
GS1_SS_01141_13649	blue1_01 (211)	20	20.36	20	-0.130773518	0.014987957	-1.641827764	-0.423637245	-1.009747778	-0.975270688	-0.30296743	0.177796439	0.493836432	0.124165409	1.896287844	1.777150343
GS1_SS_01161_10386	blue1_01 (211)	20	20.36	20	0.02480171	-0.089259629	-0.931456727	-1.137032396	-0.212074513	-0.651608557	-0.75240695	-0.052123379	1.09910037	-0.92084637	2.10628852	1.516617923
GS1_SS_01284_12339	blue1_01 (211)	20	20.36	20	1.097843829	-0.087197953	0.16380048	-1.418312594	-0.150976243	-0.519244436	-0.640628924	-0.93688937	0.513552395	-1.122463621	0.903011439	2.197504997
GS1_SS_01380_12152	blue1_01 (211)	20	20.36	20	-0.018021167	0.256615965	0.316636001	-0.715162974	-0.963791425	-1.33846195	-1.311180116	-0.319940134	0.145669839	0.294810533	1.810953008	1.84187242
GS1_SS_01464_21708	blue1_01 (211)	20	20.36	20	-0.038206193	0.226563147	-0.484080451	-1.020003164	-0.502560544	-1.495445571	-0.616801123	0.03168216	-0.097174492	0.050162254	2.024004247	1.92185973
GS1_SS_02248_01200	blue1_01 (211)	20	20.36	20	0.518561749	-0.190157638	-0.361288515	-1.271933538	-1.117959741	-1.323258136	-0.644307016	0.19888282	0.025845601	0.706263139	1.793024856	1.666326418
GS1_SS_02328_19965	blue1_01 (211)	20	20.36	20	0.140102618	0.249533551	-0.009847844	-2.080010336	-1.271500008	-0.666997518	-0.316329666	-0.01736887	0.377485011	0.445174248	1.828290987	1.321467826
