ZT	CT	Pyruvate	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.871112787	C1	L1	10	0
-1.5	-1.44	-0.815646758	C1	L1	10	0
-1.5	-1.44	-0.829516771	C1	L1	10	0
0.5	0.52173913	-0.302559527	C1	L1	10	0.073333333
0.5	0.52173913	0.001019321	C1	L1	10	0.073333333
0.5	0.52173913	0.048025157	C1	L1	10	0.073333333
2.5	2.608695652	1.399120587	C1	L1	19	1.166666667
2.5	2.608695652	0.822639971	C1	L1	19	1.166666667
2.5	2.608695652	2.07052924	C1	L1	19	1.166666667
4.5	4.695652174	1.031661365	C1	L1	24	2.313333333
4.5	4.695652174	2.115525368	C1	L1	24	2.313333333
4.5	4.695652174	1.415885795	C1	L1	24	2.313333333
6.5	6.782608696	1.67624485	C1	L1	26	2.786666667
6.5	6.782608696	1.272349137	C1	L1	26	2.786666667
6.5	6.782608696	1.08690679	C1	L1	26	2.786666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	0.423474596	C1	L1	27	2.206666667
8.5	8.869565217	0.663608942	C1	L1	27	2.206666667
10.5	10.95652174	0.440800628	C1	L1	26	0.866666667
10.5	10.95652174	0.207088933	C1	L1	26	0.866666667
10.5	10.95652174	0.272563519	C1	L1	26	0.866666667
12.5	12.96	-0.816700555	C1	L1	21	0
12.5	12.96	-0.819633122	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-0.921710297	C1	L1	18	0
14.5	14.88		C1	L1	18	0
14.5	14.88	-0.923942609	C1	L1	18	0
16.5	16.8	-0.885377807	C1	L1	14	0
16.5	16.8	-0.94431582	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.943481906	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-0.95273746	C1	L1	14	0
20.5	20.64	-0.194409256	C1	L1	13	0
20.5	20.64	-0.13748154	C1	L1	13	0
20.5	20.64		C1	L1	13	0
22.5	22.56	-0.886495352	C1	L1	12	0
22.5	22.56	-0.903259259	C1	L1	12	0
22.5	22.56	-0.907986855	C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-0.932221137	C1	L1	12	0.073333333
24.5	24.52173913	-0.958855382	C1	L1	12	0.073333333
-1.5	-1.953488372	-0.828556669	C2	L1	10	0
-1.5	-1.953488372	-0.778972419	C2	L1	10	0
-1.5	-1.953488372	-1.063686116	C2	L1	10	0
0.5	0.226415094	-0.326965229	C2	L1	10	0.073333333
0.5	0.226415094	-0.629341703	C2	L1	10	0.073333333
0.5	0.226415094	-0.3458408	C2	L1	10	0.073333333
2.5	2.037735849	0.731956192	C2	L1	19	1.166666667
2.5	2.037735849	1.037602537	C2	L1	19	1.166666667
2.5	2.037735849	1.117165321	C2	L1	19	1.166666667
4.5	3.849056604	1.139600585	C2	L1	24	2.313333333
4.5	3.849056604	1.350193806	C2	L1	24	2.313333333
4.5	3.849056604	1.289524957	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	1.183541204	C2	L1	26	2.786666667
6.5	5.660377358	1.123858089	C2	L1	26	2.786666667
8.5	7.471698113		C2	L1	27	2.206666667
8.5	7.471698113	0.994026953	C2	L1	27	2.206666667
8.5	7.471698113	1.40549082	C2	L1	27	2.206666667
10.5	9.283018868	1.163395962	C2	L1	26	0.866666667
10.5	9.283018868	1.08876683	C2	L1	26	0.866666667
10.5	9.283018868	1.240707521	C2	L1	26	0.866666667
12.5	11.09433962	0.423712911	C2	L1	21	0
12.5	11.09433962	0.47689404	C2	L1	21	0
12.5	11.09433962	0.469429868	C2	L1	21	0
14.5	13.11627907		C2	L1	18	0
14.5	13.11627907	-0.351218005	C2	L1	18	0
14.5	13.11627907	-0.387290754	C2	L1	18	0
16.5	15.34883721	-0.7391562	C2	L1	14	0
16.5	15.34883721	-0.714757317	C2	L1	14	0
16.5	15.34883721		C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	-0.799407333	C2	L1	14	0
18.5	17.58139535	-0.876671432	C2	L1	14	0
20.5	19.81395349	-1.367250063	C2	L1	13	0
20.5	19.81395349	-1.372763254	C2	L1	13	0
20.5	19.81395349		C2	L1	13	0
22.5	22.04651163	-1.275850186	C2	L1	12	0
22.5	22.04651163	-1.126266525	C2	L1	12	0
22.5	22.04651163	-1.263009577	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.076492072	C2	L1	12	0.073333333
24.5	24.22641509	-0.912371938	C2	L1	12	0.073333333
