ZT	CT	myoInositol	Campo	Organ	Temperature	Light
-1.5	-1.44	0.804706342	C1	L1	10	0
-1.5	-1.44	1.239942402	C1	L1	10	0
-1.5	-1.44	2.021631757	C1	L1	10	0
0.5	0.52173913	-0.941358371	C1	L1	10	0.073333333
0.5	0.52173913	1.372339161	C1	L1	10	0.073333333
0.5	0.52173913	-0.136868905	C1	L1	10	0.073333333
2.5	2.608695652	0.457715709	C1	L1	19	1.166666667
2.5	2.608695652	-0.758536661	C1	L1	19	1.166666667
2.5	2.608695652	2.040980707	C1	L1	19	1.166666667
4.5	4.695652174	-1.69570898	C1	L1	24	2.313333333
4.5	4.695652174	-0.218599054	C1	L1	24	2.313333333
4.5	4.695652174	-0.036666631	C1	L1	24	2.313333333
6.5	6.782608696	0.074181986	C1	L1	26	2.786666667
6.5	6.782608696	-2.058178925	C1	L1	26	2.786666667
6.5	6.782608696	-1.36172229	C1	L1	26	2.786666667
8.5	8.869565217	0.985899004	C1	L1	27	2.206666667
8.5	8.869565217	0.168759473	C1	L1	27	2.206666667
8.5	8.869565217	-1.04609017	C1	L1	27	2.206666667
10.5	10.95652174	0.361921033	C1	L1	26	0.866666667
10.5	10.95652174	-0.630015402	C1	L1	26	0.866666667
10.5	10.95652174	-0.603721445	C1	L1	26	0.866666667
12.5	12.96	0.82919175	C1	L1	21	0
12.5	12.96	-0.097226749	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	0.004972773	C1	L1	18	0
14.5	14.88	0.534743938	C1	L1	18	0
14.5	14.88	-0.597515898	C1	L1	18	0
16.5	16.8	1.002316883	C1	L1	14	0
16.5	16.8	-0.282185777	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	0.029487985	C1	L1	14	0
18.5	18.72	-0.083759764	C1	L1	14	0
18.5	18.72	-0.258304915	C1	L1	14	0
20.5	20.64	0.190977254	C1	L1	13	0
20.5	20.64	0.751694718	C1	L1	13	0
20.5	20.64	1.860323881	C1	L1	13	0
22.5	22.56	-0.56145685	C1	L1	12	0
22.5	22.56	-0.885956497	C1	L1	12	0
22.5	22.56	-1.11751934	C1	L1	12	0
24.5	24.52173913	1.028424755	C1	L1	12	0.073333333
24.5	24.52173913	-0.91104226	C1	L1	12	0.073333333
24.5	24.52173913	-1.477776626	C1	L1	12	0.073333333
-1.5	-1.953488372	0.702273595	C2	L1	10	0
-1.5	-1.953488372	1.544745667	C2	L1	10	0
-1.5	-1.953488372	0.664659386	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	0.947562559	C2	L1	10	0.073333333
0.5	0.226415094	1.234766659	C2	L1	10	0.073333333
2.5	2.037735849	-0.974545716	C2	L1	19	1.166666667
2.5	2.037735849	-0.082791806	C2	L1	19	1.166666667
2.5	2.037735849	0.512484652	C2	L1	19	1.166666667
4.5	3.849056604	-0.860585144	C2	L1	24	2.313333333
4.5	3.849056604	-0.625187543	C2	L1	24	2.313333333
4.5	3.849056604	-0.715034859	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	-0.430262041	C2	L1	26	2.786666667
6.5	5.660377358	-0.607074663	C2	L1	26	2.786666667
8.5	7.471698113	-1.38145354	C2	L1	27	2.206666667
8.5	7.471698113	-1.747179216	C2	L1	27	2.206666667
8.5	7.471698113	-0.948778965	C2	L1	27	2.206666667
10.5	9.283018868	-0.446124779	C2	L1	26	0.866666667
10.5	9.283018868	-1.123342496	C2	L1	26	0.866666667
10.5	9.283018868	-0.745740205	C2	L1	26	0.866666667
12.5	11.09433962	-0.917101489	C2	L1	21	0
12.5	11.09433962	-1.05647981	C2	L1	21	0
12.5	11.09433962	-1.446651709	C2	L1	21	0
14.5	13.11627907	0.651269685	C2	L1	18	0
14.5	13.11627907	1.704126223	C2	L1	18	0
14.5	13.11627907	-0.517016708	C2	L1	18	0
16.5	15.34883721	1.649003602	C2	L1	14	0
16.5	15.34883721	1.858820658	C2	L1	14	0
16.5	15.34883721	1.468548531	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	1.201102014	C2	L1	14	0
18.5	17.58139535	1.048038949	C2	L1	14	0
20.5	19.81395349	0.097387643	C2	L1	13	0
20.5	19.81395349	-0.189828267	C2	L1	13	0
20.5	19.81395349	-0.36400251	C2	L1	13	0
22.5	22.04651163	0.396813713	C2	L1	12	0
22.5	22.04651163	0.134088379	C2	L1	12	0
22.5	22.04651163	-0.823390194	C2	L1	12	0
24.5	24.22641509	0.913377954	C2	L1	12	0.073333333
24.5	24.22641509	0.033701326	C2	L1	12	0.073333333
24.5	24.22641509	-0.760199534	C2	L1	12	0.073333333
