Pathway	Counts	Group
Transcription Factors	197	C1 rhythmic
Protein Synthesis	125	C1 rhythmic
Chromatin remodelling	68	C1 rhythmic
RNA synthesis and processing	76	C1 rhythmic
Carbohydrate Metabolism	69	C1 rhythmic
Cell Wall Synthesis/ Cell Expansion	55	C1 rhythmic
Amino Acid Metabolism	61	C1 rhythmic
Transporters	66	C1 rhythmic
Protein Degradation	41	C1 rhythmic
ABA/drought signalling	60	C1 rhythmic
Auxin Signalling	37	C1 rhythmic
Photosynthesis	26	C1 rhythmic
Lipid Metabolism	27	C1 rhythmic
Jasmonate Signalling	13	C1 rhythmic
Light Harvesting	21	C1 rhythmic
DNA replication	16	C1 rhythmic
Redox	16	C1 rhythmic
RNA degradation	10	C1 rhythmic
Vesicle Trafficking	21	C1 rhythmic
Flowering	18	C1 rhythmic
Brassinosteroid Signalling	12	C1 rhythmic
Photorespiration	9	C1 rhythmic
Pigment Synthesis	13	C1 rhythmic
Light Signalling	9	C1 rhythmic
Cytokinin Signalling	3	C1 rhythmic
Nitrogen Metabolism	5	C1 rhythmic
Ethylene Signalling	5	C1 rhythmic
Circadian Clock	11	C1 rhythmic
Gibberellin Signalling	6	C1 rhythmic
Transcription Factors	275	C2 rhythmic
Protein Synthesis	267	C2 rhythmic
Chromatin remodelling	137	C2 rhythmic
RNA synthesis and processing	141	C2 rhythmic
Carbohydrate Metabolism	96	C2 rhythmic
Cell Wall Synthesis/ Cell Expansion	73	C2 rhythmic
Amino Acid Metabolism	95	C2 rhythmic
Transporters	101	C2 rhythmic
Protein Degradation	67	C2 rhythmic
ABA/drought signalling	75	C2 rhythmic
Auxin Signalling	48	C2 rhythmic
Photosynthesis	32	C2 rhythmic
Lipid Metabolism	43	C2 rhythmic
Jasmonate Signalling	28	C2 rhythmic
Light Harvesting	21	C2 rhythmic
DNA replication	23	C2 rhythmic
Redox	23	C2 rhythmic
RNA degradation	18	C2 rhythmic
Vesicle Trafficking	24	C2 rhythmic
Flowering	21	C2 rhythmic
Brassinosteroid Signalling	14	C2 rhythmic
Photorespiration	15	C2 rhythmic
Pigment Synthesis	20	C2 rhythmic
Light Signalling	12	C2 rhythmic
Cytokinin Signalling	5	C2 rhythmic
Nitrogen Metabolism	8	C2 rhythmic
Ethylene Signalling	5	C2 rhythmic
Circadian Clock	11	C2 rhythmic
Gibberellin Signalling	6	C2 rhythmic
