ZT	Timecourses	Group
0	53	4 months old
2	1151	4 months old
4	75	4 months old
6	205	4 months old
8	161	4 months old
10	671	4 months old
12	312	4 months old
14	0	4 months old
16	3	4 months old
18	0	4 months old
20	672	4 months old
22	840	4 months old
0	195	9 months old
2	1704	9 months old
4	980	9 months old
6	626	9 months old
8	652	9 months old
10	24	9 months old
12	1857	9 months old
14	43	9 months old
16	91	9 months old
18	0	9 months old
20	554	9 months old
22	0	9 months old
