ZT	CT	Aspartate	Campo	Organ	Temperature	Light
-1.5	-1.44	2.619922305	C1	L1	10	0
-1.5	-1.44	1.139904977	C1	L1	10	0
-1.5	-1.44	1.771994336	C1	L1	10	0
0.5	0.52173913		C1	L1	10	0.073333333
0.5	0.52173913	-0.85022849	C1	L1	10	0.073333333
0.5	0.52173913	-0.914807266	C1	L1	10	0.073333333
2.5	2.608695652	-0.83421633	C1	L1	19	1.166666667
2.5	2.608695652	-0.933113567	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	-0.901741717	C1	L1	24	2.313333333
4.5	4.695652174	-0.806376019	C1	L1	24	2.313333333
4.5	4.695652174	-0.872958759	C1	L1	24	2.313333333
6.5	6.782608696	-0.962849021	C1	L1	26	2.786666667
6.5	6.782608696	-1.013521659	C1	L1	26	2.786666667
6.5	6.782608696	-1.080915713	C1	L1	26	2.786666667
8.5	8.869565217	-1.075048255	C1	L1	27	2.206666667
8.5	8.869565217	-0.906882834	C1	L1	27	2.206666667
8.5	8.869565217	-0.942878514	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	-0.930568339	C1	L1	26	0.866666667
10.5	10.95652174	-0.929613646	C1	L1	26	0.866666667
12.5	12.96	0.740445363	C1	L1	21	0
12.5	12.96	0.227308328	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	0.198856182	C1	L1	18	0
14.5	14.88	0.406379965	C1	L1	18	0
14.5	14.88	0.299582151	C1	L1	18	0
16.5	16.8	1.079612782	C1	L1	14	0
16.5	16.8	0.607329783	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	0.745824593	C1	L1	14	0
18.5	18.72	0.752365959	C1	L1	14	0
18.5	18.72	0.958477314	C1	L1	14	0
20.5	20.64	-0.650088657	C1	L1	13	0
20.5	20.64	-0.649215179	C1	L1	13	0
20.5	20.64	-0.745353202	C1	L1	13	0
22.5	22.56	0.502138451	C1	L1	12	0
22.5	22.56	0.844806051	C1	L1	12	0
22.5	22.56	1.636146872	C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	0.605778467	C1	L1	12	0.073333333
24.5	24.52173913	0.863503288	C1	L1	12	0.073333333
-1.5	-1.953488372	0.956943923	C2	L1	10	0
-1.5	-1.953488372	1.401333531	C2	L1	10	0
-1.5	-1.953488372	1.374376539	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	1.436593134	C2	L1	10	0.073333333
0.5	0.226415094	1.356250894	C2	L1	10	0.073333333
2.5	2.037735849		C2	L1	19	1.166666667
2.5	2.037735849	-1.226391264	C2	L1	19	1.166666667
2.5	2.037735849	-1.159639207	C2	L1	19	1.166666667
4.5	3.849056604	-0.573244804	C2	L1	24	2.313333333
4.5	3.849056604		C2	L1	24	2.313333333
4.5	3.849056604	-0.776079273	C2	L1	24	2.313333333
6.5	5.660377358	-0.926149711	C2	L1	26	2.786666667
6.5	5.660377358	-1.2396998	C2	L1	26	2.786666667
6.5	5.660377358	-0.899142857	C2	L1	26	2.786666667
8.5	7.471698113	-1.491180834	C2	L1	27	2.206666667
8.5	7.471698113		C2	L1	27	2.206666667
8.5	7.471698113	-0.575995652	C2	L1	27	2.206666667
10.5	9.283018868	-0.722425463	C2	L1	26	0.866666667
10.5	9.283018868	-0.558027692	C2	L1	26	0.866666667
10.5	9.283018868	-0.845474192	C2	L1	26	0.866666667
12.5	11.09433962	-0.947056022	C2	L1	21	0
12.5	11.09433962		C2	L1	21	0
12.5	11.09433962	-0.970323834	C2	L1	21	0
14.5	13.11627907	-1.032377188	C2	L1	18	0
14.5	13.11627907	-0.983047244	C2	L1	18	0
14.5	13.11627907		C2	L1	18	0
16.5	15.34883721	0.640586028	C2	L1	14	0
16.5	15.34883721		C2	L1	14	0
16.5	15.34883721	0.829088951	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	0.013819178	C2	L1	14	0
18.5	17.58139535	0.63829463	C2	L1	14	0
20.5	19.81395349		C2	L1	13	0
20.5	19.81395349	0.719625609	C2	L1	13	0
20.5	19.81395349	0.834209693	C2	L1	13	0
22.5	22.04651163	1.2364866	C2	L1	12	0
22.5	22.04651163	0.944698185	C2	L1	12	0
22.5	22.04651163	0.900897101	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	1.008056503	C2	L1	12	0.073333333
24.5	24.22641509	0.63499454	C2	L1	12	0.073333333
