ZT	CT	Citrate	Campo	Organ	Temperature	Light
-1.5	-1.44	1.97492845	C1	L1	10	0
-1.5	-1.44	-0.04692811	C1	L1	10	0
-1.5	-1.44	2.72094923	C1	L1	10	0
0.5	0.52173913	-0.51267372	C1	L1	10	0.073333333
0.5	0.52173913	0.85073283	C1	L1	10	0.073333333
0.5	0.52173913	-0.55851364	C1	L1	10	0.073333333
2.5	2.608695652	-0.02908643	C1	L1	19	1.166666667
2.5	2.608695652	-0.97865626	C1	L1	19	1.166666667
2.5	2.608695652	0.95675242	C1	L1	19	1.166666667
4.5	4.695652174	-0.5700456	C1	L1	24	2.313333333
4.5	4.695652174	-0.99057377	C1	L1	24	2.313333333
4.5	4.695652174	-0.31031929	C1	L1	24	2.313333333
6.5	6.782608696	-0.81752407	C1	L1	26	2.786666667
6.5	6.782608696	-1.74907583	C1	L1	26	2.786666667
6.5	6.782608696	-0.98302414	C1	L1	26	2.786666667
8.5	8.869565217	-0.42502738	C1	L1	27	2.206666667
8.5	8.869565217	-1.07142168	C1	L1	27	2.206666667
8.5	8.869565217	-1.8879365	C1	L1	27	2.206666667
10.5	10.95652174	-0.07318269	C1	L1	26	0.866666667
10.5	10.95652174	-0.55329299	C1	L1	26	0.866666667
10.5	10.95652174	-1.10839986	C1	L1	26	0.866666667
12.5	12.96	0.76452668	C1	L1	21	0
12.5	12.96	0.86888565	C1	L1	21	0
12.5	12.96	1.14216993	C1	L1	21	0
14.5	14.88	0.81688112	C1	L1	18	0
14.5	14.88	0.72981284	C1	L1	18	0
14.5	14.88	-0.69081954	C1	L1	18	0
16.5	16.8	1.36222218	C1	L1	14	0
16.5	16.8	0.10584699	C1	L1	14	0
16.5	16.8	-0.27425686	C1	L1	14	0
18.5	18.72	0.56862036	C1	L1	14	0
18.5	18.72	0.30073322	C1	L1	14	0
18.5	18.72	0.76219116	C1	L1	14	0
20.5	20.64	0.01979455	C1	L1	13	0
20.5	20.64	0.66015357	C1	L1	13	0
20.5	20.64	0.40641475	C1	L1	13	0
22.5	22.56	-0.12138315	C1	L1	12	0
22.5	22.56	-0.54553823	C1	L1	12	0
22.5	22.56	-0.85332339	C1	L1	12	0
24.5	24.52173913	0.43089859	C1	L1	12	0.073333333
24.5	24.52173913	0.5845809	C1	L1	12	0.073333333
24.5	24.52173913	-0.00035091	C1	L1	12	0.073333333
-1.5	-1.953488372	0.424159703	C2	L1	10	0
-1.5	-1.953488372	1.346061282	C2	L1	10	0
-1.5	-1.953488372	1.622776984	C2	L1	10	0
0.5	0.226415094	1.333560603	C2	L1	10	0.073333333
0.5	0.226415094	0.589718969	C2	L1	10	0.073333333
0.5	0.226415094	1.087655507	C2	L1	10	0.073333333
2.5	2.037735849	-1.189289891	C2	L1	19	1.166666667
2.5	2.037735849	-1.057725582	C2	L1	19	1.166666667
2.5	2.037735849	-0.577204788	C2	L1	19	1.166666667
4.5	3.849056604	-0.793172026	C2	L1	24	2.313333333
4.5	3.849056604	-0.204817319	C2	L1	24	2.313333333
4.5	3.849056604	-0.820328703	C2	L1	24	2.313333333
6.5	5.660377358	-0.432779466	C2	L1	26	2.786666667
6.5	5.660377358	-1.203238236	C2	L1	26	2.786666667
6.5	5.660377358	-0.249524646	C2	L1	26	2.786666667
8.5	7.471698113	-0.749206431	C2	L1	27	2.206666667
8.5	7.471698113	-1.076141547	C2	L1	27	2.206666667
8.5	7.471698113	-0.438244266	C2	L1	27	2.206666667
10.5	9.283018868	0.009726222	C2	L1	26	0.866666667
10.5	9.283018868	-1.06042793	C2	L1	26	0.866666667
10.5	9.283018868	-1.393756936	C2	L1	26	0.866666667
12.5	11.09433962	-1.398448177	C2	L1	21	0
12.5	11.09433962	-1.590055196	C2	L1	21	0
12.5	11.09433962	-1.158492606	C2	L1	21	0
14.5	13.11627907	-0.193165985	C2	L1	18	0
14.5	13.11627907	0.67731681	C2	L1	18	0
14.5	13.11627907	0.979125461	C2	L1	18	0
16.5	15.34883721	1.430575122	C2	L1	14	0
16.5	15.34883721	0.651714738	C2	L1	14	0
16.5	15.34883721	0.614120658	C2	L1	14	0
18.5	17.58139535	2.150936991	C2	L1	14	0
18.5	17.58139535	1.018376606	C2	L1	14	0
18.5	17.58139535	1.569305373	C2	L1	14	0
20.5	19.81395349	0.75915562	C2	L1	13	0
20.5	19.81395349	0.158294432	C2	L1	13	0
20.5	19.81395349	0.297273541	C2	L1	13	0
22.5	22.04651163	0.492919258	C2	L1	12	0
22.5	22.04651163	0.341205875	C2	L1	12	0
22.5	22.04651163	-1.335061883	C2	L1	12	0
24.5	24.22641509	0.38295653	C2	L1	12	0.073333333
24.5	24.22641509	-0.044455407	C2	L1	12	0.073333333
24.5	24.22641509	-0.971399267	C2	L1	12	0.073333333
