ZT	CT	Valine	Campo	Organ	Temperature	Light
-1.5	-1.44	-0.660301119	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	-0.836446909	C1	L1	10	0
0.5	0.52173913	0.291896767	C1	L1	10	0.073333333
0.5	0.52173913	0.648976185	C1	L1	10	0.073333333
0.5	0.52173913	0.494850794	C1	L1	10	0.073333333
2.5	2.608695652	0.771113753	C1	L1	19	1.166666667
2.5	2.608695652	1.302282612	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	1.992296647	C1	L1	24	2.313333333
4.5	4.695652174	2.622752504	C1	L1	24	2.313333333
4.5	4.695652174	1.168651689	C1	L1	24	2.313333333
6.5	6.782608696	0.745162737	C1	L1	26	2.786666667
6.5	6.782608696		C1	L1	26	2.786666667
6.5	6.782608696	-0.448917308	C1	L1	26	2.786666667
8.5	8.869565217	0.654374728	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	0.070267252	C1	L1	27	2.206666667
10.5	10.95652174	0.909771256	C1	L1	26	0.866666667
10.5	10.95652174	-0.687868864	C1	L1	26	0.866666667
10.5	10.95652174	0.337777914	C1	L1	26	0.866666667
12.5	12.96	0.381265824	C1	L1	21	0
12.5	12.96	-0.826081319	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.356559224	C1	L1	18	0
14.5	14.88	-0.257494574	C1	L1	18	0
14.5	14.88	0.630969436	C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-1.068137942	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.050135029	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-1.087229076	C1	L1	14	0
20.5	20.64	-0.052859852	C1	L1	13	0
20.5	20.64	-0.118221476	C1	L1	13	0
20.5	20.64	-0.007140226	C1	L1	13	0
22.5	22.56	-1.43114718	C1	L1	12	0
22.5	22.56	-0.780160271	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-1.208463428	C1	L1	12	0.073333333
24.5	24.52173913	-1.145246302	C1	L1	12	0.073333333
-1.5	-1.953488372	-1.43786189	C2	L1	10	0
-1.5	-1.953488372	-0.1798705	C2	L1	10	0
-1.5	-1.953488372	-0.598706228	C2	L1	10	0
0.5	0.226415094	1.299710636	C2	L1	10	0.073333333
0.5	0.226415094	0.68249592	C2	L1	10	0.073333333
0.5	0.226415094	-0.135288947	C2	L1	10	0.073333333
2.5	2.037735849	-1.904247554	C2	L1	19	1.166666667
2.5	2.037735849	-0.519099238	C2	L1	19	1.166666667
2.5	2.037735849	-0.443060539	C2	L1	19	1.166666667
4.5	3.849056604	1.259243925	C2	L1	24	2.313333333
4.5	3.849056604	1.563020427	C2	L1	24	2.313333333
4.5	3.849056604	1.585103151	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	-0.098216228	C2	L1	26	2.786666667
6.5	5.660377358	0.862987967	C2	L1	26	2.786666667
8.5	7.471698113	1.810425412	C2	L1	27	2.206666667
8.5	7.471698113	2.182261452	C2	L1	27	2.206666667
8.5	7.471698113	1.443251853	C2	L1	27	2.206666667
10.5	9.283018868		C2	L1	26	0.866666667
10.5	9.283018868	0.016373106	C2	L1	26	0.866666667
10.5	9.283018868	0.447920003	C2	L1	26	0.866666667
12.5	11.09433962	-0.811098368	C2	L1	21	0
12.5	11.09433962	-0.434507891	C2	L1	21	0
12.5	11.09433962	-1.015848588	C2	L1	21	0
14.5	13.11627907	-0.402645614	C2	L1	18	0
14.5	13.11627907	-0.793539714	C2	L1	18	0
14.5	13.11627907	-0.571000785	C2	L1	18	0
16.5	15.34883721	1.177993678	C2	L1	14	0
16.5	15.34883721	0.26267445	C2	L1	14	0
16.5	15.34883721	0.350887026	C2	L1	14	0
18.5	17.58139535	0.140341876	C2	L1	14	0
18.5	17.58139535	-0.231800011	C2	L1	14	0
18.5	17.58139535	-0.346535752	C2	L1	14	0
20.5	19.81395349	-0.071925617	C2	L1	13	0
20.5	19.81395349	-1.452798953	C2	L1	13	0
20.5	19.81395349	0.093906518	C2	L1	13	0
22.5	22.04651163	-0.873192151	C2	L1	12	0
22.5	22.04651163	-0.527790047	C2	L1	12	0
22.5	22.04651163		C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.228590293	C2	L1	12	0.073333333
24.5	24.22641509	-1.10097249	C2	L1	12	0.073333333
