Phase difference	Counts	Method
-12	11	JTK_cycle
-11	22	JTK_cycle
-10	25	JTK_cycle
-9	18	JTK_cycle
-8	14	JTK_cycle
-7	12	JTK_cycle
-6	4	JTK_cycle
-5	5	JTK_cycle
-4	11	JTK_cycle
-3	22	JTK_cycle
-2	47	JTK_cycle
-1	75	JTK_cycle
0	104	JTK_cycle
1	112	JTK_cycle
2	166	JTK_cycle
3	141	JTK_cycle
4	112	JTK_cycle
5	60	JTK_cycle
6	28	JTK_cycle
7	16	JTK_cycle
8	1	JTK_cycle
9	1	JTK_cycle
10	2	JTK_cycle
11	4	JTK_cycle
12	1	JTK_cycle
-12	0	Dantas_20
-11	0	Dantas_20
-10	1	Dantas_20
-9	0	Dantas_20
-8	0	Dantas_20
-7	0	Dantas_20
-6	0	Dantas_20
-5	0	Dantas_20
-4	3	Dantas_20
-3	0	Dantas_20
-2	0	Dantas_20
-1	13	Dantas_20
0	20	Dantas_20
1	179	Dantas_20
2	53	Dantas_20
3	226	Dantas_20
4	334	Dantas_20
5	0	Dantas_20
6	0	Dantas_20
7	0	Dantas_20
8	0	Dantas_20
9	169	Dantas_20
10	9	Dantas_20
11	7	Dantas_20
12	0	Dantas_20
