Phase difference	Counts	Method
-12	0	Dantas_20
-11	0	Dantas_20
-10	1	Dantas_20
-9	0	Dantas_20
-8	0	Dantas_20
-7	0	Dantas_20
-6	0	Dantas_20
-5	0	Dantas_20
-4	4	Dantas_20
-3	0	Dantas_20
-2	0	Dantas_20
-1	100	Dantas_20
0	238	Dantas_20
1	408	Dantas_20
2	109	Dantas_20
3	287	Dantas_20
4	233	Dantas_20
5	0	Dantas_20
6	0	Dantas_20
7	0	Dantas_20
8	0	Dantas_20
9	133	Dantas_20
10	20	Dantas_20
11	6	Dantas_20
12	0	Dantas_20
-12	5	JTK
-11	8	JTK
-10	10	JTK
-9	7	JTK
-8	7	JTK
-7	7	JTK
-6	3	JTK
-5	5	JTK
-4	8	JTK
-3	14	JTK
-2	30	JTK
-1	44	JTK
0	45	JTK
1	50	JTK
2	90	JTK
3	67	JTK
4	66	JTK
5	32	JTK
6	18	JTK
7	8	JTK
8	0	JTK
9	1	JTK
10	1	JTK
11	1	JTK
12	0	JTK
