ZT	CT	Serine	Campo	Organ	Temperature	Light
-1.5	-1.44	0.307981055	C1	L1	10	0
-1.5	-1.44		C1	L1	10	0
-1.5	-1.44	-0.763015994	C1	L1	10	0
0.5	0.52173913	-0.648578977	C1	L1	10	0.073333333
0.5	0.52173913	0.287805363	C1	L1	10	0.073333333
0.5	0.52173913	0.139821322	C1	L1	10	0.073333333
2.5	2.608695652	-0.052192966	C1	L1	19	1.166666667
2.5	2.608695652	0.973229149	C1	L1	19	1.166666667
2.5	2.608695652		C1	L1	19	1.166666667
4.5	4.695652174	1.525433646	C1	L1	24	2.313333333
4.5	4.695652174	2.390885505	C1	L1	24	2.313333333
4.5	4.695652174	1.46547682	C1	L1	24	2.313333333
6.5	6.782608696	0.713275662	C1	L1	26	2.786666667
6.5	6.782608696	1.328813557	C1	L1	26	2.786666667
6.5	6.782608696	-0.478802884	C1	L1	26	2.786666667
8.5	8.869565217	0.698996946	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	0.456544375	C1	L1	27	2.206666667
10.5	10.95652174		C1	L1	26	0.866666667
10.5	10.95652174	-0.667598439	C1	L1	26	0.866666667
10.5	10.95652174	-0.00913911	C1	L1	26	0.866666667
12.5	12.96	0.922706167	C1	L1	21	0
12.5	12.96	0.167382233	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.48922605	C1	L1	18	0
14.5	14.88	-0.58620301	C1	L1	18	0
14.5	14.88	0.38501716	C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-1.036259172	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-1.470287359	C1	L1	14	0
18.5	18.72		C1	L1	14	0
18.5	18.72	-1.08186666	C1	L1	14	0
20.5	20.64	-0.396429808	C1	L1	13	0
20.5	20.64	0.175002004	C1	L1	13	0
20.5	20.64	0.839712723	C1	L1	13	0
22.5	22.56	-1.714850667	C1	L1	12	0
22.5	22.56	0.127262386	C1	L1	12	0
22.5	22.56		C1	L1	12	0
24.5	24.52173913		C1	L1	12	0.073333333
24.5	24.52173913	-1.343100168	C1	L1	12	0.073333333
24.5	24.52173913	-1.16779481	C1	L1	12	0.073333333
-1.5	-1.953488372	0.187892492	C2	L1	10	0
-1.5	-1.953488372	0.69562909	C2	L1	10	0
-1.5	-1.953488372	0.113191495	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	1.330039515	C2	L1	10	0.073333333
0.5	0.226415094	1.125257733	C2	L1	10	0.073333333
2.5	2.037735849	-2.167437247	C2	L1	19	1.166666667
2.5	2.037735849	-1.437679931	C2	L1	19	1.166666667
2.5	2.037735849		C2	L1	19	1.166666667
4.5	3.849056604	-0.9128426	C2	L1	24	2.313333333
4.5	3.849056604	-0.175465876	C2	L1	24	2.313333333
4.5	3.849056604	-0.438990974	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	-0.865241969	C2	L1	26	2.786666667
6.5	5.660377358	-0.749733732	C2	L1	26	2.786666667
8.5	7.471698113	-1.030245449	C2	L1	27	2.206666667
8.5	7.471698113	1.432938641	C2	L1	27	2.206666667
8.5	7.471698113	0.702178378	C2	L1	27	2.206666667
10.5	9.283018868	0.359151789	C2	L1	26	0.866666667
10.5	9.283018868	-0.537139303	C2	L1	26	0.866666667
10.5	9.283018868	-0.690752579	C2	L1	26	0.866666667
12.5	11.09433962	0.717041923	C2	L1	21	0
12.5	11.09433962	0.488333681	C2	L1	21	0
12.5	11.09433962	-0.596896202	C2	L1	21	0
14.5	13.11627907	1.135597138	C2	L1	18	0
14.5	13.11627907		C2	L1	18	0
14.5	13.11627907	-0.07226038	C2	L1	18	0
16.5	15.34883721	1.515301894	C2	L1	14	0
16.5	15.34883721	1.081556004	C2	L1	14	0
16.5	15.34883721	1.934966544	C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	0.536681774	C2	L1	14	0
18.5	17.58139535	-0.129705315	C2	L1	14	0
20.5	19.81395349	0.861072017	C2	L1	13	0
20.5	19.81395349	-1.242754326	C2	L1	13	0
20.5	19.81395349	0.338923474	C2	L1	13	0
22.5	22.04651163	0.221746007	C2	L1	12	0
22.5	22.04651163	-0.31228519	C2	L1	12	0
22.5	22.04651163	-0.164062665	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.553102005	C2	L1	12	0.073333333
24.5	24.22641509	-1.700903848	C2	L1	12	0.073333333
