ZT	CT	Tagatose	Campo	Organ	Temperature	Light
-1.5	-1.44	1.652208242	C1	L1	10	0
-1.5	-1.44	0.475524309	C1	L1	10	0
-1.5	-1.44	1.156573355	C1	L1	10	0
0.5	0.52173913	0.137210428	C1	L1	10	0.073333333
0.5	0.52173913	-0.275384396	C1	L1	10	0.073333333
0.5	0.52173913	-0.631424824	C1	L1	10	0.073333333
2.5	2.608695652	2.076848594	C1	L1	19	1.166666667
2.5	2.608695652	0.777796346	C1	L1	19	1.166666667
2.5	2.608695652	1.456733466	C1	L1	19	1.166666667
4.5	4.695652174	0.354963846	C1	L1	24	2.313333333
4.5	4.695652174	0.801304362	C1	L1	24	2.313333333
4.5	4.695652174	0.902423449	C1	L1	24	2.313333333
6.5	6.782608696	-0.448075367	C1	L1	26	2.786666667
6.5	6.782608696	-0.548155814	C1	L1	26	2.786666667
6.5	6.782608696	0.063450833	C1	L1	26	2.786666667
8.5	8.869565217	0.5132004	C1	L1	27	2.206666667
8.5	8.869565217		C1	L1	27	2.206666667
8.5	8.869565217	-0.864883585	C1	L1	27	2.206666667
10.5	10.95652174	-1.012768322	C1	L1	26	0.866666667
10.5	10.95652174	0.174213162	C1	L1	26	0.866666667
10.5	10.95652174	-0.505794432	C1	L1	26	0.866666667
12.5	12.96	1.302105584	C1	L1	21	0
12.5	12.96	-0.761577156	C1	L1	21	0
12.5	12.96		C1	L1	21	0
14.5	14.88	-1.700692747	C1	L1	18	0
14.5	14.88	-1.488400868	C1	L1	18	0
14.5	14.88	-1.853688311	C1	L1	18	0
16.5	16.8		C1	L1	14	0
16.5	16.8	-1.229845608	C1	L1	14	0
16.5	16.8		C1	L1	14	0
18.5	18.72	-0.232727325	C1	L1	14	0
18.5	18.72	0.307342533	C1	L1	14	0
18.5	18.72	-1.273064375	C1	L1	14	0
20.5	20.64	0.135149708	C1	L1	13	0
20.5	20.64	-0.053336096	C1	L1	13	0
20.5	20.64		C1	L1	13	0
22.5	22.56	0.752581276	C1	L1	12	0
22.5	22.56	1.604553563	C1	L1	12	0
22.5	22.56	-1.048036198	C1	L1	12	0
24.5	24.52173913	0.560371162	C1	L1	12	0.073333333
24.5	24.52173913	-1.006516815	C1	L1	12	0.073333333
24.5	24.52173913	-0.270182379	C1	L1	12	0.073333333
-1.5	-1.953488372	1.585794467	C2	L1	10	0
-1.5	-1.953488372	1.150311491	C2	L1	10	0
-1.5	-1.953488372	-1.356007429	C2	L1	10	0
0.5	0.226415094		C2	L1	10	0.073333333
0.5	0.226415094	0.383284436	C2	L1	10	0.073333333
0.5	0.226415094	2.119410847	C2	L1	10	0.073333333
2.5	2.037735849	-0.763343659	C2	L1	19	1.166666667
2.5	2.037735849	-0.149049172	C2	L1	19	1.166666667
2.5	2.037735849	0.519555498	C2	L1	19	1.166666667
4.5	3.849056604	-0.910244039	C2	L1	24	2.313333333
4.5	3.849056604		C2	L1	24	2.313333333
4.5	3.849056604	-1.189143047	C2	L1	24	2.313333333
6.5	5.660377358		C2	L1	26	2.786666667
6.5	5.660377358	-0.468282124	C2	L1	26	2.786666667
6.5	5.660377358	-0.500739694	C2	L1	26	2.786666667
8.5	7.471698113	-0.079119148	C2	L1	27	2.206666667
8.5	7.471698113	0.304759825	C2	L1	27	2.206666667
8.5	7.471698113	0.607259172	C2	L1	27	2.206666667
10.5	9.283018868	0.135268469	C2	L1	26	0.866666667
10.5	9.283018868	-0.895002318	C2	L1	26	0.866666667
10.5	9.283018868		C2	L1	26	0.866666667
12.5	11.09433962	-0.256672322	C2	L1	21	0
12.5	11.09433962	-0.703226359	C2	L1	21	0
12.5	11.09433962	-0.467285785	C2	L1	21	0
14.5	13.11627907		C2	L1	18	0
14.5	13.11627907	1.409302724	C2	L1	18	0
14.5	13.11627907	0.893793685	C2	L1	18	0
16.5	15.34883721	2.326874507	C2	L1	14	0
16.5	15.34883721	0.759991577	C2	L1	14	0
16.5	15.34883721		C2	L1	14	0
18.5	17.58139535		C2	L1	14	0
18.5	17.58139535	0.359733919	C2	L1	14	0
18.5	17.58139535	0.580384154	C2	L1	14	0
20.5	19.81395349	-0.984416323	C2	L1	13	0
20.5	19.81395349	-0.588993072	C2	L1	13	0
20.5	19.81395349		C2	L1	13	0
22.5	22.04651163		C2	L1	12	0
22.5	22.04651163	-0.653948561	C2	L1	12	0
22.5	22.04651163	-1.186366533	C2	L1	12	0
24.5	24.22641509		C2	L1	12	0.073333333
24.5	24.22641509	-1.570220063	C2	L1	12	0.073333333
24.5	24.22641509	-0.413665124	C2	L1	12	0.073333333
