CT	ELF3	Campo
-1.44	-1.128636076	C1
-1.44	-0.959975252	C1
0.52173913	-0.843585344	C1
0.52173913	-2.191710361	C1
2.608695652	-1.775169235	C1
2.608695652	-2.191710361	C1
4.695652174	-1.223652986	C1
4.695652174	-2.191710361	C1
6.782608696	-0.952076535	C1
6.782608696	-0.719993666	C1
8.869565217	1.16175933	C1
8.869565217	-0.020028014	C1
10.95652174	1.309279473	C1
10.95652174	1.254917719	C1
12.96	0.908535779	C1
12.96	0.442046888	C1
14.88	1.212171725	C1
14.88	0.674129758	C1
16.8	0.773096026	C1
16.8	0.107977652	C1
18.72	-0.743689815	C1
20.64	0.522892572	C1
-1.953488372	0.586139581	C2
-1.953488372	0.343313626	C2
0.226415094	-0.28135167	C2
0.226415094	-0.504489034	C2
2.037735849	-1.290839425	C2
2.037735849	-1.720408682	C2
3.849056604	-1.398231739	C2
3.849056604	-1.851665955	C2
5.660377358	-1.815868517	C2
5.660377358	-1.803936038	C2
7.471698113	-0.096398239	C2
7.471698113	-0.300443637	C2
9.283018868	0.624323515	C2
9.283018868	1.034800806	C2
11.09433962	1.049119781	C2
11.09433962	1.03241431	C2
13.11627907	1.25197193	C2
13.11627907	0.967978921	C2
15.34883721	0.824789169	C2
15.34883721	0.784218739	C2
17.58139535	0.755580788	C2
17.58139535	0.847460879	C2
19.81395349	0.28317393	C2
19.81395349	0.593299069	C2
