CT	GDH1	Campo
-1.44	-0.86222644	C1
0.52173913	-1.555031388	C1
4.695652174	1.874308636	C1
6.782608696	-0.542949192	C1
6.782608696	0.76195204	C1
8.869565217	-0.778405046	C1
8.869565217	1.037651056	C1
10.95652174	0.781517777	C1
12.96	-0.979176184	C1
12.96	-0.020455088	C1
14.88	-0.7406076	C1
14.88	0.76195204	C1
16.8	0.26146939	C1
-1.953488372	0.936679545	C2
-1.953488372	-0.094118955	C2
0.226415094	0.197686992	C2
0.226415094	1.208996165	C2
2.037735849	0.2115698	C2
2.037735849	0.509516219	C2
3.849056604	-3.19612563	C2
3.849056604	-0.587759573	C2
5.660377358	-0.990894962	C2
5.660377358	-1.236513874	C2
7.471698113	-0.774643528	C2
7.471698113	0.093832908	C2
9.283018868	1.027451752	C2
9.283018868	0.198220946	C2
11.09433962	1.467963931	C2
11.09433962	1.470633702	C2
13.11627907	0.498837136	C2
13.11627907	1.067498313	C2
15.34883721	-0.068489156	C2
15.34883721	0.771153756	C2
17.58139535	0.707079257	C2
17.58139535	-0.242024257	C2
19.81395349	-0.958857712	C2
19.81395349	-0.654503843	C2
