CT	GI	Campo
-1.44	-1.312468552	C1
-1.44	-1.385892575	C1
0.52173913	-1.421982349	C1
0.52173913	-1.424471299	C1
2.608695652	-0.509426635	C1
2.608695652	-0.758677193	C1
4.695652174	0.695402914	C1
4.695652174	0.533087822	C1
6.782608696	1.20065975	C1
6.782608696	0.085965745	C1
8.869565217	1.315684793	C1
8.869565217	0.277259325	C1
10.95652174	1.664137783	C1
10.95652174	0.930608682	C1
12.96	1.195148503	C1
12.96	0.780027211	C1
14.88	0.879762991	C1
14.88	-0.318666401	C1
16.8	-0.082216158	C1
16.8	-0.584272915	C1
18.72	-0.850412776	C1
20.64	-0.909258664	C1
-1.953488372	-0.417537343	C2
-1.953488372	-0.500553408	C2
0.226415094	-0.376029311	C2
0.226415094	-0.939352605	C2
2.037735849	-1.010509232	C2
2.037735849	-0.761461038	C2
3.849056604	0.499612276	C2
3.849056604	0.440089758	C2
5.660377358	0.993142779	C2
5.660377358	1.058962659	C2
7.471698113	1.026942177	C2
7.471698113	0.99670061	C2
9.283018868	1.088611253	C2
9.283018868	1.082681534	C2
11.09433962	1.136049004	C2
11.09433962	1.076751815	C2
13.11627907	1.147908442	C2
13.11627907	0.920800209	C2
15.34883721	0.547820891	C2
15.34883721	0.526473903	C2
17.58139535	0.084116874	C2
17.58139535	-0.399748187	C2
19.81395349	-1.265487144	C2
19.81395349	-1.034228107	C2
