CT	LHY	Campo
-1.44	1.074814269	C1
-1.44	0.870950599	C1
0.52173913	1.71510163	C1
0.52173913	1.123239363	C1
2.608695652	0.990040461	C1
2.608695652	1.895529946	C1
4.695652174	0.279566604	C1
4.695652174	0.253859455	C1
6.782608696	-0.435450842	C1
6.782608696	-0.629629493	C1
8.869565217	-0.789133385	C1
8.869565217	-0.799177108	C1
10.95652174	-0.822014622	C1
10.95652174	-0.814362261	C1
12.96	-0.871157125	C1
12.96	-0.820340668	C1
14.88	-0.818427578	C1
14.88	-0.806949037	C1
16.8	-0.747643242	C1
16.8	-0.807666446	C1
18.72	1.610120808	C1
20.64	-0.651271326	C1
-1.953488372	0.478596581	C2
-1.953488372	0.823225286	C2
0.226415094	0.450373113	C2
0.226415094	1.488593547	C2
2.037735849	0.487164419	C2
2.037735849	1.700269558	C2
3.849056604	0.713960145	C2
3.849056604	1.609551268	C2
5.660377358	0.644409456	C2
5.660377358	1.103544803	C2
7.471698113	-0.230014065	C2
7.471698113	-0.320732356	C2
9.283018868	-1.177516209	C2
9.283018868	-0.870082003	C2
11.09433962	-1.489990321	C2
11.09433962	-0.965840198	C2
13.11627907	-1.147276779	C2
13.11627907	-0.975920008	C2
15.34883721	-1.24807488	C2
15.34883721	-0.965840198	C2
17.58139535	-0.980959914	C2
17.58139535	-1.106957539	C2
19.81395349	-0.517288652	C2
19.81395349	-0.517288652	C2
