CT	PRR59	Campo
-1.44	-1.117781439	C1
-1.44	-1.155275972	C1
0.52173913	-1.120995256	C1
0.52173913	-1.139340796	C1
2.608695652	-0.023342782	C1
2.608695652	-0.122301569	C1
4.695652174	0.516444594	C1
4.695652174	0.266034673	C1
6.782608696	1.237410914	C1
6.782608696	0.903575655	C1
8.869565217	2.001495947	C1
8.869565217	1.45193321	C1
10.95652174	1.378149324	C1
10.95652174	1.236205732	C1
12.96	0.225460231	C1
12.96	-0.006068515	C1
14.88	-0.518538445	C1
14.88	-0.76278855	C1
16.8	-0.620175413	C1
16.8	-0.798274448	C1
18.72	-1.009984654	C1
20.64	-0.821842441	C1
-1.953488372	-0.766063145	C2
-1.953488372	-0.6407426	C2
0.226415094	-1.09382457	C2
0.226415094	-0.910663773	C2
2.037735849	-1.49870633	C2
2.037735849	-1.190224989	C2
3.849056604	0.5324505	C2
3.849056604	0.288075438	C2
5.660377358	0.65198702	C2
5.660377358	0.564262639	C2
7.471698113	1.692147542	C2
7.471698113	1.393306243	C2
9.283018868	1.856028255	C2
9.283018868	1.595747123	C2
11.09433962	1.354746075	C2
11.09433962	1.000956537	C2
13.11627907	0.868887963	C2
13.11627907	0.308994329	C2
15.34883721	-0.051736039	C2
15.34883721	-0.283097045	C2
17.58139535	-0.472041866	C2
17.58139535	-0.503854005	C2
19.81395349	-0.316837192	C2
19.81395349	-0.737143019	C2
