CT	RVE8	Campo
-1.44	1.585862491	C1
-1.44	0.91861796	C1
0.52173913	1.861220254	C1
0.52173913	1.720539454	C1
2.608695652	1.465512864	C1
2.608695652	0.492754938	C1
4.695652174	-0.503745432	C1
4.695652174	-0.489690997	C1
6.782608696	-0.730117349	C1
6.782608696	-0.743898882	C1
8.869565217	-0.714971307	C1
8.869565217	-0.661619035	C1
10.95652174	-1.052004843	C1
10.95652174	-0.833683525	C1
12.96	-0.845281845	C1
12.96	-0.828225492	C1
14.88	-0.284332506	C1
14.88	-0.608539665	C1
16.8	-0.720975144	C1
16.8	-0.371797485	C1
18.72	1.407794165	C1
20.64	-0.063418622	C1
-1.953488372	1.021968315	C2
-1.953488372	0.754454362	C2
0.226415094	1.296142366	C2
0.226415094	1.429344334	C2
2.037735849	1.296142366	C2
2.037735849	1.202900988	C2
3.849056604	0.531341065	C2
3.849056604	0.347078343	C2
5.660377358	-0.172409333	C2
5.660377358	-0.690786993	C2
7.471698113	-0.792908502	C2
7.471698113	-1.156993881	C2
9.283018868	-0.95386088	C2
9.283018868	-1.45669831	C2
11.09433962	-0.817328863	C2
11.09433962	-1.612100606	C2
13.11627907	-0.742957764	C2
13.11627907	-1.312396178	C2
15.34883721	-0.871719666	C2
15.34883721	-0.958300946	C2
17.58139535	-0.480993893	C2
17.58139535	-0.418832974	C2
19.81395349	1.451544662	C2
19.81395349	-0.064737742	C2
