CT	TOC1	Campo
-1.44	-0.758920079	C1
-1.44	-0.608052479	C1
0.52173913	-0.752431779	C1
0.52173913	-0.871500861	C1
2.608695652	-0.660251149	C1
2.608695652	-0.871500861	C1
4.695652174	-0.733434502	C1
4.695652174	-0.871500861	C1
6.782608696	-0.437486164	C1
6.782608696	-0.491613789	C1
8.869565217	0.635772265	C1
8.869565217	0.770039169	C1
10.95652174	3.12891635	C1
10.95652174	1.25689552	C1
12.96	0.653425119	C1
12.96	0.345493884	C1
14.88	-0.343785753	C1
14.88	-0.449410609	C1
16.8	-0.355125665	C1
16.8	-0.62751738	C1
18.72	-0.871500861	C1
20.64	-0.572512959	C1
-1.953488372	-0.354043024	C2
-1.953488372	-0.458236804	C2
0.226415094	-0.694409374	C2
0.226415094	-0.360989276	C2
2.037735849	-1.215378276	C2
2.037735849	-0.694409374	C2
3.849056604	-0.597161845	C2
3.849056604	-1.15980826	C2
5.660377358	-0.875011927	C2
5.660377358	-0.854173171	C2
7.471698113	0.22180127	C2
7.471698113	0.651774271	C2
9.283018868	1.340842473	C2
9.283018868	1.486713766	C2
11.09433962	1.854865124	C2
11.09433962	1.729832587	C2
13.11627907	1.708993831	C2
13.11627907	1.639531311	C2
15.34883721	0.478326358	C2
15.34883721	0.61426451	C2
17.58139535	0.131499993	C2
17.58139535	-0.40961304	C2
19.81395349	-0.088001571	C2
19.81395349	-0.604108097	C2
