CT	AP1	Campo
-1.44	-0.756556991	C1
-1.44	0.00968762	C1
0.52173913	-0.482535739	C1
0.52173913	-0.615921745	C1
2.608695652	3	C1
2.608695652	2.446157002	C1
4.695652174	-0.300579829	C1
4.695652174	-0.424541824	C1
6.782608696	-0.142546409	C1
6.782608696	-1.216158773	C1
8.869565217	0.005338076	C1
8.869565217	-0.659417182	C1
10.95652174	-0.371622376	C1
10.95652174	0.642546225	C1
12.96	0.100303113	C1
12.96	-0.057730307	C1
14.88	-0.03815736	C1
14.88	-0.489060055	C1
16.8	-0.620271289	C1
16.8	-0.350599581	C1
18.72	0.606300027	C1
20.64	-0.411493193	C1
-1.953488372	0.814189363	C2
-1.953488372	0.656749145	C2
0.226415094	-0.469362732	C2
0.226415094	0.735469254	C2
2.037735849	0.100322268	C2
2.037735849	0.006272454	C2
3.849056604	0.9467706	C2
3.849056604	1.369373291	C2
5.660377358	1.464666054	C2
5.660377358	-0.187171856	C2
7.471698113	1.203646745	C2
7.471698113	-0.309850932	C2
9.283018868	0.950913763	C2
9.283018868	-0.801644456	C2
11.09433962	0.32115289	C2
11.09433962	-0.967371001	C2
13.11627907	0.091207308	C2
13.11627907	-0.86379191	C2
15.34883721	-1.841578529	C2
15.34883721	-0.880364565	C2
17.58139535	-1.85400802	C2
17.58139535	-0.843076092	C2
19.81395349	2.318157764	C2
19.81395349	-0.321037474	C2
