CT	AP1	Campo
-1.44	-0.279294094	C1
-1.44	-0.214457411	C1
0.52173913	0.558805344	C1
0.52173913	-0.451964418	C1
2.608695652	-1.321117214	C1
2.608695652	1.173388848	C1
4.695652174	1.937437969	C1
4.695652174	2.294722216	C1
6.782608696	-0.271786688	C1
6.782608696	-1.394485039	C1
8.869565217	-0.652616889	C1
8.869565217	-1.146399416	C1
10.95652174	-0.445821995	C1
10.95652174	-0.449234452	C1
12.96	-0.304546275	C1
12.96	-0.079324114	C1
14.88	0.717143348	C1
14.88	0.120645866	C1
16.8	1.041668008	C1
16.8	0.794947368	C1
18.72	-0.372795415	C1
20.64	-1.254915548	C1
-1.953488372	0.420941198	C2
-1.953488372	0.88590022	C2
0.226415094	-1.088387319	C2
0.226415094	0.796485023	C2
2.037735849	1.143415986	C2
2.037735849	-0.304394876	C2
3.849056604	1.493923556	C2
3.849056604	1.551149282	C2
5.660377358	0.828674494	C2
5.660377358	-0.121630214	C2
7.471698113	-1.549769733	C2
7.471698113	-0.34266458	C2
9.283018868	-0.522567956	C2
9.283018868	-1.453201321	C2
11.09433962	-1.22072181	C2
11.09433962	-0.705690278	C2
13.11627907	-1.306560399	C2
13.11627907	-1.750059773	C2
15.34883721	-1.406705419	C2
15.34883721	-0.173848689	C2
17.58139535	0.0943969	C2
17.58139535	1.003928279	C2
19.81395349	0.206344726	C2
19.81395349	0.639114278	C2
