CT	COP1	Campo
-1.44	0.232664172	C1
-1.44	0.094511696	C1
0.52173913	0.939511576	C1
0.52173913	0.527198817	C1
2.608695652	3	C1
2.608695652	1.660299333	C1
4.695652174	0.648372658	C1
4.695652174	0.509684014	C1
6.782608696	0.006758959	C1
6.782608696	-0.230048325	C1
8.869565217	-0.186082595	C1
8.869565217	-0.255426917	C1
10.95652174	-0.972104057	C1
10.95652174	-0.925814935	C1
12.96	-0.905619295	C1
12.96	-1.07326098	C1
14.88	-0.393043226	C1
14.88	-1.02643569	C1
16.8	-0.729935098	C1
16.8	-0.804462372	C1
18.72	0.604943096	C1
20.64	-0.740122279	C1
-1.953488372	0.816606959	C2
-1.953488372	0.229498997	C2
0.226415094	0.59832323	C2
0.226415094	0.629936735	C2
2.037735849	0.429717866	C2
2.037735849	0.937039362	C2
3.849056604	1.31941224	C2
3.849056604	1.203496052	C2
5.660377358	0.86779073	C2
5.660377358	0.566709724	C2
7.471698113	0.635958356	C2
7.471698113	-0.444922457	C2
9.283018868	-0.780627779	C2
9.283018868	-1.051600685	C2
11.09433962	-1.30751954	C2
11.09433962	-1.637203242	C2
13.11627907	-0.508149468	C2
13.11627907	-0.797187234	C2
15.34883721	-0.994395294	C2
15.34883721	-0.82277912	C2
17.58139535	-0.779122374	C2
17.58139535	-0.917619637	C2
19.81395349	2.863957802	C2
19.81395349	-0.643635921	C2
