CT	SVP	Campo
-1.44	1.550220705	C1
-1.44	0.336504416	C1
0.52173913	2.046769905	C1
0.52173913	-0.17657523	C1
2.608695652	0.337775989	C1
2.608695652	0.546949723	C1
4.695652174	-0.750054587	C1
4.695652174	-0.275122127	C1
6.782608696	-0.656593983	C1
6.782608696	-1.167130484	C1
8.869565217	-1.412544044	C1
8.869565217	-1.419537695	C1
10.95652174	-1.67130912	C1
10.95652174	-0.472215919	C1
12.96	-0.404186771	C1
12.96	-0.085657771	C1
14.88	0.484006867	C1
14.88	0.102535011	C1
16.8	-0.313269312	C1
16.8	1.262209454	C1
18.72	1.046042069	C1
20.64	1.091182905	C1
-1.953488372	0.669544011	C2
-1.953488372	0.448263256	C2
0.226415094	0.476108989	C2
0.226415094	-0.243796019	C2
2.037735849	1.486352169	C2
2.037735849	-0.871253195	C2
3.849056604	1.430660704	C2
3.849056604	-0.477700173	C2
5.660377358	-0.214093904	C2
5.660377358	-1.079167998	C2
7.471698113	-0.096027998	C2
7.471698113	-1.194263693	C2
9.283018868	-0.488838466	C2
9.283018868	-1.673210295	C2
11.09433962	-0.874965959	C2
11.09433962	-1.064316941	C2
13.11627907	-0.459136352	C2
13.11627907	-1.777167697	C2
15.34883721	0.396655832	C2
15.34883721	-1.331635974	C2
17.58139535	0.806916292	C2
17.58139535	0.04060173	C2
19.81395349	1.207894842	C2
19.81395349	0.806916292	C2
